Strain	Environment	Experiment	Avg_GR	DFE_mean	DFE_graph	pretend_series1	pretend_series2	Env_GR	Env_series
LK1-A02	30_SC3	LK1-A02_30_SC3	0.1054960214429438	-0.0019813108449790455	DFEs/LK1-A02_30_SC3_dfe.png	0.8643485727434669;0.1849686027690287;0.3304227536305524;0.7594118252241225;0.8322998967092154;0.7742780259812512	0.7970996642586056;0.8529474263629503;0.8065086246102677;0.7156208990784407;0.1848819344702276;0.6949887927458245	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-A02	30_SC5	LK1-A02_30_SC5	0.17240764833997252	0.016266445863446558	DFEs/LK1-A02_30_SC5_dfe.png	0.41771748792927266;0.12261529963517459;0.9494880880701896;0.6600402711135787;0.03732216834973401;0.314955308147444	0.8757399015932391;0.37177868215106913;0.6810558067924799;0.3965480714256773;0.3628346014510663;0.32921535072195285	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-A02	30_SC7	LK1-A02_30_SC7	0.22200265259185548	-0.02220659528158728	DFEs/LK1-A02_30_SC7_dfe.png	0.8797763583456853;0.5125002528949868;0.5888817656617658;0.6401401997605504;0.41856098352240745;0.2672444673214329	0.9510701702089573;0.6352545283978096;0.42901171396596716;0.3491297014372706;0.2801297257226948;0.1308938662664616	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-A02	37_SC3	LK1-A02_37_SC3	0.32238190016574597	-0.015121714469078831	DFEs/LK1-A02_37_SC3_dfe.png	0.4427981378613587;0.8996020883640858;0.3234064202363387;0.3258509203662122;0.25721887758867035;0.32202560257057655	0.05646863595806162;0.8234518294522878;0.9466491980658204;0.42100994468328334;0.7874018674422528;0.5042377124026411	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-A02	37_SC5	LK1-A02_37_SC5	0.3538022026570745	-0.014372531297672995	DFEs/LK1-A02_37_SC5_dfe.png	0.9009468882618494;0.8141138031204653;0.8207794957231;0.27485322510419685;0.7938222658480112;0.6632995250614886	0.9927168129311424;0.5739475394715817;0.7120486453972311;0.8381129972147536;0.5449343524703713;0.20232930843725372	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-A02	37_SC7	LK1-A02_37_SC7	0.21175006289332704	-0.015692427842438256	DFEs/LK1-A02_37_SC7_dfe.png	0.2881238567013906;0.8641170820665374;0.857114992488968;0.6051194422918981;0.605276944284668;0.8484310212564898	0.8400611617758004;0.47815466713265986;0.3421500244225898;0.19671997638611527;0.8685075883328385;0.6815409576761657	0.3538022026570745;0.32238190016574597;0.17240764833997252;0.22200265259185548;0.21175006289332704;0.1054960214429438	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B03	30_SC3	LK1-B03_30_SC3	0.15574839219686798	0.008941365776728757	DFEs/LK1-B03_30_SC3_dfe.png	0.5223725119139883;0.6017192911035236;0.5277917368673224;0.5183894824254786;0.7951988211384733;0.7357608340563323	0.750032657253819;0.10197413319063253;0.6844289510456972;0.96419014992341;0.43923855365390896;0.8557468808248256	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B03	30_SC5	LK1-B03_30_SC5	0.2323401309157015	0.004217548911262098	DFEs/LK1-B03_30_SC5_dfe.png	0.7616209304557379;0.048216746787747344;0.3985689671581627;0.04259542459199661;0.4444927672764858;0.6727050071580415	0.7441553503529472;0.9740488892229778;0.53762413485989;0.7084344246683043;0.6779697799780398;0.6126545132268021	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B03	30_SC7	LK1-B03_30_SC7	0.23459194519068	-0.005266064001695578	DFEs/LK1-B03_30_SC7_dfe.png	0.9796589166008082;0.6886294027700193;0.20261394188544857;0.2278533222033602;0.9745261512819721;0.22748168180653394	0.6021833340046814;0.844435855093016;0.36885417966064604;0.5749983534925887;0.7484932767593906;0.7313042875071806	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B03	37_SC3	LK1-B03_37_SC3	0.23637238628424298	0.004017532948662988	DFEs/LK1-B03_37_SC3_dfe.png	0.6459438043730024;0.8424249050406437;0.6563553303233615;0.2713856749753156;0.8776877830306483;0.5098291148041598	0.21936516904377468;0.19603239377821036;0.0398128436809404;0.38522427779361323;0.4066714018496529;0.5401916368180656	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
