"Environment","Bio_rep","Flask","Strain","Mut_ID","Sel_coef"
"30_SC3","1","1","LK1-A02","17","-0.0570524832061282"
"30_SC3","1","1","LK1-A02","27","-0.0432796189131803"
"30_SC3","1","1","LK1-A02","71","-0.0168014472372313"
"30_SC3","1","1","LK1-A02","110","-0.00927074614765976"
"30_SC3","1","1","LK1-A02","1","-0.0386787954518156"
"30_SC3","1","1","LK1-A02","51","-0.0109759840833708"
"30_SC3","1","1","LK1-A02","66","0.00147125672031454"
"30_SC3","1","1","LK1-A02","10","-0.0288202211370259"
"30_SC3","1","1","LK1-A02","124","0.0325409934191616"
"30_SC3","1","1","LK1-A02","115","-0.00503879283880433"
"30_SC3","1","1","LK1-A02","108","-0.0484161422304026"
"30_SC3","1","1","LK1-A02","94","-0.0343670536798447"
"30_SC3","1","1","LK1-A02","30","-0.0401849096505425"
"30_SC3","1","1","LK1-A02","96","-0.0226060113039989"
"30_SC3","1","1","LK1-A02","2","-0.0259163485568526"
"30_SC3","1","1","LK1-A02","114","-0.00762172733430467"
"30_SC3","1","1","LK1-A02","63","-0.0301710869902802"
"30_SC3","1","1","LK1-A02","61","-0.0116402034885472"
"30_SC3","1","1","LK1-A02","40","-0.0063154808573999"
"30_SC3","1","1","LK1-A02","55","0.0133197652582786"
"30_SC3","1","1","LK1-A02","104","-0.0221708266194455"
"30_SC3","1","1","LK1-A02","11","-0.056427311601201"
"30_SC3","1","1","LK1-A02","22","-0.0436562580848255"
"30_SC3","1","1","LK1-A02","99","-0.0406436014328714"
"30_SC3","1","1","LK1-A02","84","-0.0141583724416435"
"30_SC3","1","1","LK1-A02","60","-0.019381558322862"
"30_SC3","1","1","LK1-A02","58","-0.042323258169207"
"30_SC3","1","1","LK1-A02","53","0.0117175911570519"
"30_SC3","1","1","LK1-A02","102","-0.0146500350636706"
"30_SC3","1","1","LK1-A02","5","-0.050112765466128"
"30_SC3","1","1","LK1-A02","85","-0.0410594446076732"
"30_SC3","1","1","LK1-A02","7","-0.0263560958916597"
"30_SC3","1","1","LK1-A02","68","-0.0272529045913475"
"30_SC3","1","1","LK1-A02","86","0.0207216130767289"
"30_SC3","1","1","LK1-A02","29","-0.0416762801523292"
"30_SC3","1","1","LK1-A02","59","0.00756560755294712"
"30_SC3","1","1","LK1-A02","91","-0.0814518815981817"
"30_SC3","1","1","LK1-A02","123","0.0500842819039039"
"30_SC3","1","1","LK1-A02","44","-0.034216434643037"
"30_SC3","1","1","LK1-A02","70","-0.0442725005898481"
"30_SC3","1","1","LK1-A02","69","-0.0266874809723745"
"30_SC3","1","1","LK1-A02","81","0.00460176002342428"
"30_SC3","1","1","LK1-A02","3","-0.0237173888895286"
"30_SC3","1","1","LK1-A02","103","0.0374829888318214"
"30_SC3","1","1","LK1-A02","83","-0.123080901317562"
"30_SC3","1","1","LK1-A02","92","-0.0189976365874191"
"30_SC3","1","1","LK1-A02","6","0.0131591649387391"
"30_SC3","1","1","LK1-A02","15","0.0337779578400808"
"30_SC3","1","1","LK1-A02","18","-0.0116087328725906"
"30_SC3","1","1","LK1-A02","67","-9.7338618822059e-05"
"30_SC3","1","1","LK1-A02","101","-0.0549977905381585"
"30_SC3","1","1","LK1-A02","46","-0.0367520395477598"
"30_SC3","1","1","LK1-A02","35","-0.0327389995997164"
"30_SC3","1","1","LK1-A02","76","-0.000267470990499687"
"30_SC3","1","1","LK1-A02","93","0.0265262201506473"
"30_SC3","1","1","LK1-A02","25","-0.126507488744103"
"30_SC3","1","1","LK1-A02","43","-0.0163376580313619"
"30_SC3","1","1","LK1-A02","120","-0.00973251886847703"
"30_SC3","1","1","LK1-A02","80","-0.0464809208965997"
"30_SC3","1","1","LK1-A02","105","-0.0345955828244336"
"30_SC3","1","1","LK1-A02","49","0.0530523994173334"
"30_SC3","1","1","LK1-A02","36","-0.00455712292062657"
"30_SC3","1","1","LK1-A02","121","-0.041328257745186"
"30_SC3","1","1","LK1-A02","88","-0.0407183130238107"
"30_SC3","1","1","LK1-A02","14","-0.0243257767958516"
"30_SC3","1","1","LK1-A02","52","0.0175336265010517"
"30_SC3","1","1","LK1-A02","73","-0.0613683715852464"
"30_SC3","1","1","LK1-A02","62","0.0250586012444969"
"30_SC3","1","1","LK1-A02","21","-0.0246490479249362"
"30_SC3","1","1","LK1-A02","19","-0.0852724936318575"
"30_SC3","1","1","LK3-B10","70","-0.00146713979537521"
"30_SC3","1","1","LK3-B10","10","-0.000466126536701303"
"30_SC3","1","1","LK3-B10","33","-0.0334800580600018"
"30_SC3","1","1","LK3-B10","15","0.0354609801889399"
"30_SC3","1","1","LK3-B10","3","0.0237024204186768"
"30_SC3","1","1","LK3-B10","102","-0.00110391118048952"
"30_SC3","1","1","LK3-B10","108","-0.00420276027434119"
"30_SC3","1","1","LK3-B10","2","0.00671559432166256"
"30_SC3","1","1","LK3-B10","78","-0.00124203316480928"
"30_SC3","1","1","LK3-B10","40","-0.0134049961768846"
"30_SC3","1","1","LK3-B10","99","0.00323316524480127"
"30_SC3","1","1","LK3-B10","103","0.0208384328292061"
"30_SC3","1","1","LK3-B10","121","0.00226947277410099"
"30_SC3","1","1","LK3-B10","104","0.00725975224744826"
"30_SC3","1","1","LK3-B10","84","0.0114875282500593"
"30_SC3","1","1","LK3-B10","71","-0.0127534311520002"
"30_SC3","1","1","LK3-B10","93","-0.00576700970852843"
"30_SC3","1","1","LK3-B10","7","0.0080894711009284"
"30_SC3","1","1","LK3-B10","79","-0.00225794985055529"
"30_SC3","1","1","LK3-B10","91","-0.00312291231960032"
"30_SC3","1","1","LK3-B10","27","-0.00830595005202103"
"30_SC3","1","1","LK3-B10","45","-0.0786584330044403"
"30_SC3","1","1","LK3-B10","59","-0.00121808779234533"
"30_SC3","1","1","LK3-B10","94","-0.000996381387675705"
"30_SC3","1","1","LK3-B10","77","0.0378056923996878"
"30_SC3","1","1","LK3-B10","53","0.00768570970348863"
"30_SC3","1","1","LK3-B10","83","-0.0239533232668842"
"30_SC3","1","1","LK3-B10","96","-0.00344057500208425"
"30_SC3","1","1","LK3-B10","66","0.0448437656778655"
"30_SC3","1","1","LK3-B10","110","0.0237711705005187"
"30_SC3","1","1","LK3-B10","63","-0.0238012907136108"
"30_SC3","1","1","LK3-B10","55","0.02519386214432"
"30_SC3","1","1","LK3-B10","5","0.0279009118161776"
"30_SC3","1","1","LK3-B10","51","-0.00322212552106132"
"30_SC3","1","1","LK3-B10","58","0.0157599516424381"
"30_SC3","1","1","LK3-B10","101","-0.0226771740457306"
"30_SC3","1","1","LK3-B10","17","-0.0107358333603079"
"30_SC3","1","1","LK3-B10","105","0.0285700327426705"
"30_SC3","1","1","LK3-B10","67","0.0368227098604226"
"30_SC3","1","1","LK3-B10","85","-0.0179226360011039"
"30_SC3","1","1","LK3-B10","124","-0.00961740405863837"
"30_SC3","1","1","LK3-B10","35","0.00632872264278963"
"30_SC3","1","1","LK3-B10","11","-0.00756167256705894"
"30_SC3","1","1","LK3-B10","28","0.021566714183138"
"30_SC3","1","1","LK3-B10","117","0.0715834703911928"
"30_SC3","1","1","LK3-B10","92","0.0141544794417202"
"30_SC3","1","1","LK3-B10","1","-0.00331064202428401"
"30_SC3","1","1","LK3-B10","127","0.0104724280079246"
"30_SC3","1","1","LK3-B10","9","-0.0082152555380204"
"30_SC3","1","1","LK3-B10","46","-0.0298163482085692"
"30_SC3","1","1","LK3-B10","6","-0.00783151136635713"
"30_SC3","1","1","LK3-B10","52","0.01982304722248"
"30_SC3","1","1","LK3-B10","114","0.0249505063711839"
"30_SC3","1","1","LK3-B10","43","0.00719451353091702"
"30_SC3","1","1","LK3-B10","50","-0.0192674760531943"
"30_SC3","1","1","LK3-B10","47","-0.019989965967792"
"30_SC3","1","1","LK3-B10","25","0.00395116643831924"
"30_SC3","1","1","LK3-B10","68","0.0205169502625812"
"30_SC3","1","1","LK3-B10","29","0.00569690554523186"
"30_SC3","1","1","LK3-B10","16","-0.00730076294148177"
"30_SC3","1","1","LK3-B10","123","0.0188649650175908"
"30_SC3","1","1","LK3-B10","22","0.0189094396175503"
"30_SC3","1","1","LK3-B10","23","0.0164625046400634"
"30_SC3","1","1","LK3-B10","14","0.0354101942154001"
"30_SC3","1","1","LK3-B10","26","-0.00373578695985293"
"30_SC3","1","1","LK3-B10","30","0.00780748902452722"
"30_SC3","1","1","LK3-B10","69","0.0228886504989248"
"30_SC3","1","1","LK3-B10","49","-0.0347187180968463"
"30_SC3","1","1","LK3-B10","61","-0.0496775744011408"
"30_SC3","1","1","LK3-B10","115","0.0345983834888186"
"30_SC3","1","1","LK3-B10","107","-0.0556363629763445"
"30_SC3","1","1","LK3-B10","44","0.00962313572736594"
"30_SC3","1","1","LK3-B10","72","-0.00390208839354851"
"30_SC3","1","1","LK3-B10","82","-0.012029119472459"
"30_SC3","1","1","LK3-B10","120","-0.00562364265140588"
"30_SC3","1","1","LK3-B10","80","0.0074865211236546"
"30_SC3","1","1","LK3-B10","86","0.0447431020887586"
"30_SC3","1","1","LK3-B10","88","-0.00697459258847021"
"30_SC3","1","1","LK3-B10","62","-0.0256435418225653"
"30_SC3","1","1","LK3-B10","34","0.000476729674861562"
"30_SC3","1","1","LK3-B10","97","0.00626231018716846"
"30_SC3","1","1","LK3-B10","18","-0.0163641501726382"
"30_SC3","1","1","LK3-B10","24","-0.00284560023340068"
"30_SC3","1","1","LK3-B10","36","-0.00397930552046249"
"30_SC3","1","1","LK3-B10","81","0.0174606781760108"
"30_SC3","1","1","LK3-B10","39","0.028311696005703"
"30_SC3","1","1","LK3-B10","73","-0.00968534862173787"
"30_SC3","1","1","LK3-B10","57","-0.0453728622328287"
"30_SC3","1","1","LK3-B10","60","0.0155129615378147"
"30_SC3","1","1","LK3-B10","119","-0.0357348644343736"
"30_SC3","1","1","LK3-B10","95","0.000413670330537036"
"30_SC3","1","1","LK3-B10","41","-0.0781841747898639"
"30_SC3","1","1","LK3-B10","76","0.00852653290750563"
"30_SC3","1","1","LK3-B10","122","-0.00885258130895491"
"30_SC3","1","1","LK4-H11","124","-0.0138055495187398"
"30_SC3","1","1","LK4-H11","60","0.0236590005932247"
"30_SC3","1","1","LK4-H11","62","-0.00222146209454175"
"30_SC3","1","1","LK4-H11","117","0.0482068420123354"
"30_SC3","1","1","LK4-H11","85","-0.0333813620071095"
"30_SC3","1","1","LK4-H11","7","0.0419973146586185"
"30_SC3","1","1","LK4-H11","70","-0.0065350927416212"
"30_SC3","1","1","LK4-H11","15","0.0913600288618579"
"30_SC3","1","1","LK4-H11","114","0.0317306588770854"
"30_SC3","1","1","LK4-H11","42","0.0476707568883698"
"30_SC3","1","1","LK4-H11","16","-0.0124532058061853"
"30_SC3","1","1","LK4-H11","110","0.0348554513186241"
"30_SC3","1","1","LK4-H11","108","0.0459374064843223"
"30_SC3","1","1","LK4-H11","3","0.0328042028033528"
"30_SC3","1","1","LK4-H11","69","-0.0104891166054829"
"30_SC3","1","1","LK4-H11","63","-0.0237813842020918"
"30_SC3","1","1","LK4-H11","10","-0.0008791071519896"
"30_SC3","1","1","LK4-H11","17","0.0189981019762963"
"30_SC3","1","1","LK4-H11","2","0.0320685681598688"
"30_SC3","1","1","LK4-H11","66","0.0609824410402287"
"30_SC3","1","1","LK4-H11","35","0.0146704840811535"
"30_SC3","1","1","LK4-H11","103","0.0399669359218583"
"30_SC3","1","1","LK4-H11","99","-0.000354615742858993"
"30_SC3","1","1","LK4-H11","23","0.0241543694299974"
"30_SC3","1","1","LK4-H11","22","0.000478852573454464"
"30_SC3","1","1","LK4-H11","81","0.0643597052554804"
"30_SC3","1","1","LK4-H11","18","-0.00091432348273417"
"30_SC3","1","1","LK4-H11","127","0.0107753721263194"
"30_SC3","1","1","LK4-H11","1","-0.0230661396768841"
"30_SC3","1","1","LK4-H11","39","-0.00712828743585762"
"30_SC3","1","1","LK4-H11","115","0.0582286994863944"
"30_SC3","1","1","LK4-H11","45","-0.00498833534883764"
"30_SC3","1","1","LK4-H11","119","0.00327260399263836"
"30_SC3","1","1","LK4-H11","33","-0.0141687803217182"
"30_SC3","1","1","LK4-H11","29","0.00538699461523795"
"30_SC3","1","1","LK4-H11","11","0.00575235308566557"
"30_SC3","1","1","LK4-H11","104","0.0442703612025458"
"30_SC3","1","1","LK4-H11","92","0.0259987730751932"
"30_SC3","1","1","LK4-H11","72","0.0392038368998917"
"30_SC3","1","1","LK4-H11","68","0.0015878204762126"
"30_SC3","1","1","LK4-H11","58","0.0107436376826054"
"30_SC3","1","1","LK4-H11","105","0.0203526807483484"
"30_SC3","1","1","LK4-H11","46","0.0299421434792108"
"30_SC3","1","1","LK4-H11","26","-0.0052596708918119"
