Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1105311,in HOS4,851.0,146.0,40.0,,,-2.7222906644296763;-2.929565882058618;-3.8621641887831686;nan;-4.935028371074573
101,298057,in HOS4,5289.0,1054.0,425.0,4.0,4.0,-1.9288466574952796;-2.071078126966527;-2.8358352500608195;-4.059080389608291;-4.332968379746611
101,29832,in HOS4,442.0,73.0,32.0,1.0,1.0,-3.006797955165172;-3.230595877722599;-3.959074201791225;-4.661140380936254;nan
102,1141525,nearby YSP2,197.0,23.0,9.0,3.0,3.0,-3.357753998352671;-3.732190901825462;-4.509981670671806;-4.184019126216591;nan
102,187508,nearby YSP2,6.0,,,,,-4.874068974130621;nan;nan;nan;nan
102,269667,nearby YSP2,5.0,,,,,-4.953250220178245;nan;nan;nan;nan
102,276943,nearby YSP2,1554.0,244.0,121.0,4.0,4.0,-2.4607692100493685;-2.7065289115043254;-3.381438809794681;-4.059080389608291;nan
102,377543,nearby YSP2,33.0,,,,,-4.133706284636377;nan;nan;nan;nan
102,401144,nearby YSP2,332.0,61.0,12.0,1.0,1.0,-3.1310821408102276;-3.308588902832288;-4.385042934063506;-4.661140380936254;nan
102,428580,nearby YSP2,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
102,431986,nearby YSP2,112.0,22.0,13.0,,,-3.6030022018440824;-3.751496057020849;-4.350280827804294;nan;nan
102,546804,nearby YSP2,73.0,36.0,44.0,,,-3.7888973643938084;-3.5376162370757678;-3.8207715036249437;nan;nan
102,635599,nearby YSP2,39.0,15.0,8.0,,,-4.061155617487765;-3.9178274787873737;-4.561134193119187;nan;nan
102,752043,nearby YSP2,3112.0,561.0,226.0,11.0,11.0,-2.159180636196613;-2.3449558765868934;-3.11011574096373;-3.6197476957780284;-4.089930331060316
102,875705,nearby YSP2,6.0,,4.0,,,-4.874068974130621;nan;-4.862164188783169;nan;nan
102,925037,nearby YSP2,382.0,87.0,28.0,,,-3.0701568616025554;-3.1543994852244364;-4.017066148768912;nan;nan
102,979051,nearby YSP2,75.0,11.0,6.0,,,-3.777158961122564;-4.05252605268483;-4.686072929727487;nan;nan
102,9799,nearby YSP2,1061.0,145.0,84.0,1.0,1.0,-2.6265048406129234;-2.93255073560808;-3.539944894049249;-4.661140380936254;nan
103,1001564,in SUM1,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
103,1015289,in SUM1,63.0,9.0,14.0,,,-3.852879675060682;-4.13967622840373;-4.318096144432893;nan;nan
103,1099790,in SUM1,1.0,,,,,-5.652220224514264;nan;nan;nan;nan
103,1121134,in SUM1,211.0,50.0,8.0,,,-3.3279377692165713;-3.3949487335070363;-4.561134193119187;nan;nan
103,120387,in SUM1,11.0,3.0,,,,-4.610827539356039;-4.616797483123393;nan;nan;nan
103,187577,in SUM1,57.0,22.0,29.0,,,-3.896345368841773;-3.751496057020849;-4.001826182212175;nan;nan
103,249273,in SUM1,25.0,2.0,,,,-4.254280215842226;-4.792888742179074;nan;nan;nan
103,310710,in SUM1,75.0,18.0,3.0,,,-3.777158961122564;-3.838646232739749;-4.9871029253914685;nan;nan
103,396639,in SUM1,25.0,,,,,-4.254280215842226;nan;nan;nan;nan
103,524714,in SUM1,150.0,24.0,,,,-3.476128965458583;-3.713707496131449;nan;nan;nan
103,621217,in SUM1,9.0,,2.0,,,-4.6979777150749396;nan;-5.16319418444715;nan;nan
103,626115,in SUM1,89.0,15.0,,,,-3.7028302178693515;-3.9178274787873737;nan;nan;nan
103,818786,in SUM1,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
103,852223,in SUM1,273.0,23.0,25.0,,,-3.2160575774735083;-3.732190901825462;-4.066284171439094;nan;nan
103,85598,in SUM1,2.0,,,,,-5.351190228850283;nan;nan;nan;nan
103,892657,in SUM1,28.0,,11.0,,,-4.205062193172044;nan;-4.422831494952906;nan;nan
103,899155,in SUM1,6.0,,,,,-4.874068974130621;nan;nan;nan;nan
103,923942,in SUM1,9.0,,,,,-4.6979777150749396;nan;nan;nan;nan
103,960708,in SUM1,18.0,5.0,,,,-4.396947719410958;-4.394948733507036;nan;nan;nan
103,978260,in SUM1,47.0,18.0,13.0,,,-3.980122366578547;-3.838646232739749;-4.350280827804294;nan;nan
104,1003962,in FUN30,1741.0,333.0,147.0,2.0,2.0,-2.4114214533969327;-2.5714745043367353;-3.2969068453629546;-4.3601103852722725;nan
104,1034632,in FUN30,119.0,28.0,4.0,,,-3.5766732631217333;-3.6467607065008356;-4.862164188783169;nan;nan
104,1039636,in FUN30,126.0,10.0,1.0,,,-3.5518496793967014;-4.093918737843055;-5.464224180111131;nan;nan
104,1129851,in FUN30,186.0,43.0,13.0,5.0,5.0,-3.382707280296348;-3.4604502822634684;-4.350280827804294;-3.9621703766002345;-4.935028371074573
104,1154482,in FUN30,18.0,,,,,-4.396947719410958;nan;nan;nan;nan
104,1156652,in FUN30,28.0,3.0,5.0,,,-4.205062193172044;-4.616797483123393;-4.765254175775112;nan;nan
104,1157560,in FUN30,18.0,5.0,,,,-4.396947719410958;-4.394948733507036;nan;nan;nan
104,128459,in FUN30,962.0,209.0,85.0,9.0,9.0,-2.669045152476451;-2.773772451732001;-3.5348052543968382;-3.7068978714969285;-3.322244514354838
104,189299,in FUN30,135.0,28.0,,,,-3.521886456019258;-3.6467607065008356;nan;nan;nan
104,282078,in FUN30,2794.0,515.0,235.0,3.0,3.0,-2.205993822736101;-2.382111508801864;-3.093156317839395;-4.184019126216591;-4.457907116354911
104,336093,in FUN30,356.0,49.0,26.0,,,-3.100770226541389;-3.403722657814541;-4.049250832140313;nan;nan
104,349866,in FUN30,274.0,67.0,26.0,,,-3.214469661693876;-3.2678439351422286;-4.049250832140313;nan;nan
104,396838,in FUN30,737.0,114.0,64.0,,,-2.7847527366552125;-3.0370138865065823;-3.6580442061272436;nan;-4.935028371074573
104,66013,in FUN30,92.0,38.0,1.0,2.0,2.0,-3.6884323971687087;-3.514135141226245;-5.464224180111131;-4.3601103852722725;nan
