Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1058381,in HOS4,29.0,28.0,109.0,346.0,346.0,-4.008537034438702;-3.740419087712868;-3.807753429883898;-3.889789897955354;-3.9432069108240313
101,1070380,in HOS4,88.0,49.0,281.0,886.0,886.0,-3.5264523601874895;-3.4973810390265734;-3.396473607919442;-3.48143227486108;-3.5870216502589947
101,1085429,in HOS4,7.0,2.0,18.0,57.0,57.0,-4.625836992323401;-4.8865471233911055;-4.5899074227212155;-4.67299114107564;-4.563750307846006
101,1116485,in HOS4,14.0,2.0,39.0,90.0,90.0,-4.32480699665942;-4.8865471233911055;-4.2541153207980225;-4.474623487308806;-4.7079941996496935
101,1117421,in HOS4,31.0,17.0,79.0,259.0,259.0,-3.979573338503385;-3.957128197676813;-3.9475528365340806;-4.015566232666879;-3.983470090841286
101,114598,in HOS4,36.0,19.0,92.0,374.0,374.0,-3.914632531570371;-3.908823518102258;-3.881392100478967;-3.8559943945476505;-3.959336411124567
101,143920,in HOS4,8.0,1.0,29.0,51.0,51.0,-4.567845045345714;-5.187577119055087;-4.3827819299255655;-4.7212958206501945;-4.828568130855543
101,168663,in HOS4,67.0,24.0,123.0,470.0,470.0,-3.6448602296368318;-3.807365877343481;-3.755274816385124;-3.7567681388124132;-3.8591522185015616
101,178574,in HOS4,85.0,37.0,213.0,798.0,798.0,-3.5415161066233654;-3.619375394988092;-3.5168003243857844;-3.5268631053974016;-3.573295625752237
101,181804,in HOS4,98.0,45.0,154.0,735.0,735.0,-3.479708956645163;-3.5343646052797433;-3.657659206988059;-3.562578657663936;-3.704063906021261
101,193597,in HOS4,65.0,31.0,145.0,469.0,469.0,-3.6580216756948025;-3.696215425220814;-3.683811925589547;-3.7576931540330474;-3.7053700558235443
101,216132,in HOS4,56.0,41.0,156.0,497.0,497.0,-3.7227470053314575;-3.5747932623353513;-3.6520553294700604;-3.732509608014799;-3.7762590312082196
101,219975,in HOS4,37.0,18.0,103.0,276.0,276.0,-3.9027333082706632;-3.9323046139517808;-3.83234270311935;-3.987956914682913;-3.9546665329910815
101,222371,in HOS4,68.0,40.0,119.0,486.0,486.0,-3.6384261196314216;-3.5855171277271247;-3.7696329664319914;-3.7422297274858374;-3.8391183131888513
101,23151,in HOS4,51.0,41.0,143.0,498.0,498.0,-3.7633648562397215;-3.5747932623353513;-3.68984389035946;-3.731636653988413;-3.8499311824710687
101,304151,in HOS4,95.0,51.0,252.0,894.0,894.0,-3.49321142704881;-3.4800069429571505;-3.443779387042978;-3.4775284779522133;-3.5553352968124976
101,322311,in HOS4,69.0,40.0,201.0,643.0,643.0,-3.6320859416004025;-3.5855171277271247;-3.541983870404033;-3.620655023823909;-3.735146445693308
101,33297,in HOS4,58.0,32.0,121.0,453.0,453.0,-3.707507038774721;-3.682427140735181;-3.7623945575080717;-3.772767794735299;-3.870482282334458
101,34645,in HOS4,49.0,30.0,109.0,445.0,445.0,-3.7807389523091444;-3.7104558643354246;-3.807753429883898;-3.780505985767199;-3.7762590312082196
101,359245,in HOS4,35.0,18.0,141.0,413.0,413.0,-3.9268669879873825;-3.9323046139517808;-3.695960815169142;-3.8129159450917296;-3.825107598746037
101,369116,in HOS4,173.0,85.0,415.0,1441.0,1441.0,-3.2328889292088627;-3.2581581933407944;-3.227131831112429;-3.2702020159341414;-3.287988414351089
101,438562,in HOS4,3.0,2.0,7.0,21.0,21.0,-4.993813777617995;-4.8865471233911055;-5.000081887810265;-5.106646702014212;-4.478320112521381
101,454319,in HOS4,5.0,3.0,6.0,32.0,32.0,-4.771965028001639;-4.710455864335424;-5.067028677440878;-4.923716018428225;-4.749386884807918
101,460106,in HOS4,141.0,104.0,380.0,1488.0,1488.0,-3.321715919682278;-3.1705437797563065;-3.265396331207712;-3.256263065538271;-3.3084778027427006
101,481166,in HOS4,2.0,7.0,8.0,33.0,33.0,-5.1699050366736765;-4.34247907904083;-4.942089940832578;-4.910352056870243;-5.381410099513324
101,532946,in HOS4,43.0,37.0,159.0,525.0,525.0,-3.8374665767580716;-3.619375394988092;-3.6437828035040707;-3.708706693342174;-3.7213581612076747
101,589087,in HOS4,52.0,28.0,140.0,502.0,502.0,-3.7549316887028588;-3.740419087712868;-3.699051892146284;-3.7281622796031115;-3.7119603868672946
101,600220,in HOS4,79.0,31.0,122.0,604.0,604.0,-3.573307941047217;-3.696215425220814;-3.7588200971497736;-3.647829058126999;-3.791939235493382
101,605758,in HOS4,119.0,72.0,258.0,1028.0,1028.0,-3.395388070945127;-3.3302446226238187;-3.433560221861292;-3.416872882088874;-3.5571912589614687
101,667400,in HOS4,42.0,35.0,115.0,467.0,467.0,-3.8476857419397574;-3.6435090747048116;-3.78448208747091;-3.7595491161820185;-3.8535961365574742
101,68519,in HOS4,111.0,81.0,252.0,1178.0,1178.0,-3.4256120535510006;-3.2790921001764373;-3.443779387042978;-3.357720706297048;-3.3572764197966043
101,715758,in HOS4,205.0,126.0,455.0,1699.0,1699.0,-3.1591811712819036;-3.0872065739375243;-3.1871685311674094;-3.1986726178790854;-3.3148179807737197
101,772513,in HOS4,85.0,47.0,163.0,567.0,567.0,-3.5415161066233654;-3.5154792611193697;-3.6329923234205643;-3.6752829378552243;-3.796755859525173
101,796824,in HOS4,9.0,12.0,48.0,153.0,153.0,-4.5166925228983335;-4.108395873007463;-4.163938690448934;-4.244174565930532;-4.406964203985712
101,801150,in HOS4,91.0,34.0,272.0,934.0,934.0,-3.5118936400165643;-3.656098202012832;-3.4106110237903233;-3.4585191205180372;-3.4216874608064183
101,806037,in HOS4,50.0,20.0,89.0,328.0,328.0,-3.771965028001639;-3.886547123391106;-3.895789921179609;-3.9129921530364515;-4.03617644135729
101,811134,in HOS4,53.0,31.0,149.0,592.0,592.0,-3.746659162736869;-3.696215425220814;-3.671993659412248;-3.656544290025211;-3.785599057462363
101,825884,in HOS4,16.0,8.0,43.0,135.0,135.0,-4.266815049681734;-4.284487132063143;-4.211711472244936;-4.298532228253125;-4.248784534238733
101,835922,in HOS4,66.0,30.0,157.0,558.0,558.0,-3.6513910967957894;-3.7104558643354246;-3.6492802754152884;-3.682231797810552;-3.9387064095973545
