Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1022270,in HOS4,448.0,193.0,19.0,,,-2.9169741791976525;-3.0043525639761373;-3.533096103112806;nan;-3.66576855071938
101,1041259,in HOS4,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
101,1070647,in HOS4,3.0,,,,,-5.091130938476134;nan;nan;nan;nan
101,1086546,in HOS4,23.0,4.0,8.0,,,-4.206524357178203;-4.687849881655948;-3.908759717073691;nan;nan
101,181231,in HOS4,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
101,245023,in HOS4,3.0,,,,,-5.091130938476134;nan;nan;nan;nan
101,320215,in HOS4,19.0,31.0,,,,-4.289498592242968;-3.7985481791496385;nan;nan;nan
101,362628,in HOS4,313.0,86.0,28.0,,,-3.072707855649348;-3.3554114217403432;-3.3646916727234157;nan;nan
101,47533,in HOS4,552.0,294.0,87.0,,,-2.8263131154665975;-2.8215625425717534;-2.872330451447016;nan;-3.0637085593914173
101,482312,in HOS4,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
101,515527,in HOS4,604.0,171.0,60.0,2.0,2.0,-2.7872152545746647;-3.056913762591757;-3.0336984536819913;-3.392696953259666;nan
101,549040,in HOS4,2.0,,,,,-5.267222197531815;nan;nan;nan;nan
101,726138,in HOS4,162.0,99.0,17.0,,,-3.3587371786531657;-3.294274678386361;-3.5814007826873606;nan;nan
101,810739,in HOS4,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,1007236,nearby YSP2,694.0,292.0,96.0,2.0,2.0,-2.7268927227409416;-2.8245270215354927;-2.8295784710260663;-3.392696953259666;-3.66576855071938
102,1017568,nearby YSP2,3.0,,,,,-5.091130938476134;nan;nan;nan;nan
102,1078447,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,1079947,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,152178,nearby YSP2,41.0,33.0,2.0,,,-3.955468336476061;-3.7713959331060236;-4.5108197084016535;nan;nan
102,153510,nearby YSP2,17.0,21.0,9.0,,,-4.337803271817522;-3.9676905782499916;-3.85760719462631;nan;nan
102,186327,nearby YSP2,428.0,236.0,31.0,3.0,3.0,-2.9368084241826247;-2.9169978700138044;-3.320488010231362;-3.2166056942039845;nan
102,202368,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,231584,nearby YSP2,374.0,174.0,19.0,5.0,5.0,-2.9953805909953166;-3.049360624701311;-3.533096103112806;-2.9947569445876283;nan
102,245543,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,274502,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,278933,nearby YSP2,310.0,134.0,43.0,5.0,5.0,-3.076890499361524;-3.1628050746191034;-3.178381248486048;-2.9947569445876283;nan
102,305897,nearby YSP2,5.0,,,,,-4.869282188859778;nan;nan;nan;nan
102,372387,nearby YSP2,251.0,171.0,2.0,1.0,1.0,-3.1685784717147585;-3.056913762591757;-4.5108197084016535;-3.693726948923647;nan
102,37261,nearby YSP2,69.0,10.0,13.0,,,-3.7294031024585412;-4.289909872983911;-3.697906351758798;nan;nan
102,390370,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,407783,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,443222,nearby YSP2,21.0,11.0,14.0,,,-4.246032898461877;-4.248517187825686;-3.6657216683873965;nan;nan
102,445479,nearby YSP2,3.0,,,,,-5.091130938476134;nan;nan;nan;nan
102,454818,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,574119,nearby YSP2,715.0,281.0,85.0,2.0,2.0,-2.713946151394716;-2.841203553078831;-2.882430778351342;-3.392696953259666;nan
102,592694,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
102,627299,nearby YSP2,1.0,,,,,-5.5682521931957965;nan;nan;nan;nan
