Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1040262,in HOS4,3.0,,,,,-4.931684959865142;nan;nan;nan;nan
101,1047627,in HOS4,2.0,,,,,-5.107776218920823;nan;nan;nan;nan
101,1086130,in HOS4,3.0,,,,,-4.931684959865142;nan;nan;nan;nan
101,1110242,in HOS4,2.0,,,,,-5.107776218920823;nan;nan;nan;nan
101,1113429,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,130528,in HOS4,2.0,,,,,-5.107776218920823;nan;nan;nan;nan
101,158453,in HOS4,3.0,,,,,-4.931684959865142;nan;nan;nan;nan
101,191000,in HOS4,23.0,37.0,9.0,2.0,2.0,-4.047078378567211;-3.7830610467087404;-3.928486889775526;-4.147104100600798;-4.63881859682778
101,22027,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,230784,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,235721,in HOS4,5.0,,,,,-4.709836210248786;nan;nan;nan;nan
101,274221,in HOS4,31.0,9.0,4.0,6.0,6.0,-3.9174445207505313;-4.397020261336411;-4.280669407886888;-3.669982845881135;-4.3377886011637985
101,283174,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,293876,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,296823,in HOS4,3.0,,,,,-4.931684959865142;nan;nan;nan;nan
101,449460,in HOS4,5.0,,,,,-4.709836210248786;nan;nan;nan;nan
101,45110,in HOS4,59.0,40.0,13.0,8.0,8.0,-3.6379542029426597;-3.7492027794477734;-3.7687860469080143;-3.5450441092728346;-4.036758605499818
101,57780,in HOS4,42.0,26.0,8.0,5.0,5.0,-3.7855569241869036;-3.9362894228049177;-3.9796394122229075;-3.7491640919287597;-4.63881859682778
101,646924,in HOS4,1.0,,,,,-5.408806214584804;nan;nan;nan;nan
101,64922,in HOS4,4.0,,,,,-4.806746223256842;nan;nan;nan;nan
101,659406,in HOS4,6.0,,,,,-4.6306549642011605;nan;nan;nan;nan
101,691309,in HOS4,7.0,,,,,-4.5637081745705474;nan;nan;nan;nan
