Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,157195,in HOS4,3.0,2.0,,2.0,2.0,-5.538213347771107;-5.022729344717432;nan;-4.987087266635369;nan
101,187862,in HOS4,3188.0,1082.0,1155.0,517.0,517.0,-2.5118162897666942;-2.2895320796108627;-2.4481975352889895;-2.574626719205407;-2.8949003912898252
101,337778,in HOS4,1028.0,183.0,263.0,109.0,109.0,-3.0033414878315123;-3.061308250650984;-3.0908237710273947;-3.250690764358726;-3.247082909401188
101,608433,in HOS4,2.0,,,,,-5.714304606826788;nan;nan;nan;nan
101,76776,in HOS4,1.0,,,,,-6.0153346024907695;nan;nan;nan;nan
102,1156310,nearby YSP2,1966.0,306.0,402.0,227.0,227.0,-2.7217510889946523;-2.8380379138998335;-2.9065534664326824;-2.932091405106227;-3.372021646009488
102,126738,nearby YSP2,19.0,11.0,1.0,8.0,8.0,-4.736581001537941;-4.282366655223188;-5.510779519517152;-4.385027275307406;nan
102,406306,nearby YSP2,7.0,,,,,-5.1702365624765125;nan;nan;nan;nan
102,417114,nearby YSP2,2.0,,,,,-5.714304606826788;nan;nan;nan;nan
102,435845,nearby YSP2,5.0,,,,,-5.316364598154751;nan;nan;nan;nan
102,468268,nearby YSP2,3.0,,,,,-5.538213347771107;nan;nan;nan;nan
102,469959,nearby YSP2,11.0,1.0,6.0,,,-4.973941917332544;-5.323759340381414;-4.732628269133509;nan;nan
102,474432,nearby YSP2,2.0,,,,,-5.714304606826788;nan;nan;nan;nan
102,525035,nearby YSP2,3.0,,,,,-5.538213347771107;nan;nan;nan;nan
102,560465,nearby YSP2,9122.0,1813.0,2076.0,1000.0,1000.0,-2.05524453458585;-2.065361536285905;-2.193552170340732;-2.2881172622993495;-2.3306289608512625
102,590490,nearby YSP2,526.0,150.0,284.0,151.0,151.0,-3.29434885833703;-3.1476680813257323;-3.0574611794701148;-3.1091403150061803;-3.1959303869538065
102,696518,nearby YSP2,2.0,,,,,-5.714304606826788;nan;nan;nan;nan
102,816022,nearby YSP2,1198.0,234.0,267.0,134.0,134.0,-2.9368777844374767;-2.9545434829712707;-3.0842682581525773;-3.1610124639345423;-3.0709916503455066
102,917059,nearby YSP2,14.0,1.0,,,,-4.869206566812531;-5.323759340381414;nan;nan;nan
102,939859,nearby YSP2,22.0,2.0,1.0,3.0,3.0,-4.672911921668563;-5.022729344717432;-5.510779519517152;-4.810996007579687;-4.150172896393132
