Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1036786,in HOS4,,22.0,28.0,5.0,5.0,nan;-3.902381212826807;-3.705460495973418;-3.806749611748323;-4.133435112359819
101,1059352,in HOS4,,2.0,,,,nan;-4.943773897985032;nan;nan;nan
101,1070897,in HOS4,1.0,14.0,5.0,2.0,2.0,-4.0661394928706995;-4.098675857970775;-4.453648522979618;-4.2046896204203605;-4.735495103687781
101,1075773,in HOS4,4.0,111.0,92.0,20.0,20.0,-3.464079501542737;-3.199480914862356;-3.1888306999700817;-3.2046896204203605;-3.3205217557169635
101,121916,in HOS4,1.0,7.0,18.0,3.0,3.0,-4.0661394928706995;-4.399705853634757;-3.8973460222123313;-4.028598361364679;-3.8324051166958375
101,209138,in HOS4,15.0,96.0,112.0,16.0,16.0,-2.890048233815018;-3.2625326606094447;-3.1034005046454554;-3.301599633428417;-2.964643092045637
101,214514,in HOS4,4.0,15.0,19.0,7.0,7.0,-3.464079501542737;-4.068712634593332;-3.873864926362808;-3.660621576070085;-3.4802225985844752
101,255539,in HOS4,1.0,,,,,-4.0661394928706995;nan;nan;nan;nan
101,270493,in HOS4,3.0,108.0,100.0,26.0,26.0,-3.589018238151037;-3.2113801381620637;-3.1526185273156373;-3.0907462681135236;-3.2040161866455263
101,291853,in HOS4,4.0,119.0,124.0,27.0,27.0,-3.464079501542737;-3.1692569322564825;-3.059196842153402;-3.0743558519253544;-3.179192602920494
101,306193,in HOS4,2.0,28.0,37.0,15.0,15.0,-3.7651094972067183;-3.797645862306794;-3.5844168032486423;-3.3296283570286604;-3.4344651080238
101,311048,in HOS4,2.0,10.0,6.0,8.0,8.0,-3.7651094972067183;-4.244803893649014;-4.374467276931994;-3.602629629092398;-3.6215517513809443
101,321899,in HOS4,10.0,142.0,127.0,15.0,15.0,-3.0661394928706995;-3.092515549265957;-3.0488148063596805;-3.3296283570286604;-3.2303451253678754
101,370412,in HOS4,,2.0,6.0,1.0,1.0,nan;-4.943773897985032;-4.374467276931994;-4.505719616084342;-4.735495103687781
101,372464,in HOS4,1.0,14.0,10.0,2.0,2.0,-4.0661394928706995;-4.098675857970775;-4.152618527315637;-4.2046896204203605;-3.8324051166958375
101,388917,in HOS4,9.0,142.0,110.0,28.0,28.0,-3.1118969834313748;-3.092515549265957;-3.111225842157412;-3.0585615847421224;-3.045299023659268
101,408666,in HOS4,10.0,114.0,80.0,18.0,18.0,-3.0661394928706995;-3.187899042312541;-3.2495285403236935;-3.2504471109810353;-3.2441334098535086
101,412937,in HOS4,,29.0,36.0,12.0,12.0,nan;-3.7824058957500575;-3.59631602654835;-3.4265383700367167;-3.7354951036877813
101,501808,in HOS4,2.0,65.0,49.0,16.0,16.0,-3.7651094972067183;-3.431890537006158;-3.4624224472871235;-3.301599633428417;-3.5313751210318567
101,518927,in HOS4,34.0,374.0,318.0,71.0,71.0,-2.5346605758284446;-2.6719322914485333;-2.6501914073312043;-2.6544612673652663;-2.6351245585702183
101,66204,in HOS4,22.0,461.0,381.0,81.0,81.0,-2.7237168120484934;-2.581102968259365;-2.571693551640018;-2.597234597205692;-2.618223808032017
101,674478,in HOS4,,25.0,7.0,3.0,3.0,nan;-3.8468638849769756;-4.30752048730138;-4.028598361364679;-4.258373848968119
101,691362,in HOS4,5.0,65.0,60.0,8.0,8.0,-3.367169488534681;-3.431890537006158;-3.3744672769319934;-3.602629629092398;-3.393072422865575
101,7124,in HOS4,1.0,10.0,11.0,4.0,4.0,-4.0661394928706995;-4.244803893649014;-4.111225842157412;-3.9036596247563793;-4.258373848968119
101,74073,in HOS4,1.0,14.0,11.0,2.0,2.0,-4.0661394928706995;-4.098675857970775;-4.111225842157412;-4.2046896204203605;-4.258373848968119
101,790300,in HOS4,2.0,87.0,51.0,8.0,8.0,-3.7651094972067183;-3.305284641030395;-3.4450483512177006;-3.602629629092398;-3.7354951036877813
101,875422,in HOS4,14.0,154.0,170.0,36.0,36.0,-2.9200114571924614;-3.0572831728125505;-2.922169605937363;-2.9494171153170545;-3.0194917600529823
101,923034,in HOS4,1.0,,,,,-4.0661394928706995;nan;nan;nan;nan
101,986011,in HOS4,3.0,37.0,35.0,8.0,8.0,-3.589018238151037;-3.6766021695820186;-3.6085504829653616;-3.602629629092398;-3.6215517513809443
101,989177,in HOS4,,41.0,29.0,4.0,4.0,nan;-3.6320200369292777;-3.690220529416681;-3.9036596247563793;-3.4344651080238
101,990432,in HOS4,3.0,68.0,27.0,7.0,7.0,-3.589018238151037;-3.412294980942777;-3.72125476315665;-3.660621576070085;-3.8324051166958375
102,1035946,nearby YSP2,12.0,180.0,122.0,31.0,31.0,-2.9869582468230744;-2.989531388545707;-3.066258696640889;-3.014357922250069;-3.2040161866455263
102,1067950,nearby YSP2,1.0,,,,,-4.0661394928706995;nan;nan;nan;nan
102,1075455,nearby YSP2,6.0,142.0,114.0,25.0,25.0,-3.2879882424870557;-3.092515549265957;-3.0957136759791646;-3.107779607412304;-3.2040161866455263
102,1077563,nearby YSP2,2.0,22.0,20.0,2.0,2.0,-3.7651094972067183;-3.902381212826807;-3.851588531651656;-4.2046896204203605;-4.0365250993517625
102,110233,nearby YSP2,28.0,419.0,442.0,86.0,86.0,-2.61898146152848;-2.622589870682718;-2.5071962579665454;-2.571221164840774;-2.5801590662227194
102,1112881,nearby YSP2,5.0,41.0,38.0,7.0,7.0,-3.367169488534681;-3.6320200369292777;-3.572834930698827;-3.660621576070085;-3.5594038446321
102,1127320,nearby YSP2,29.0,468.0,385.0,109.0,109.0,-2.6037414949717435;-2.5745580405748894;-2.5671577978071363;-2.468293118143718;-2.518011159473875
102,120944,nearby YSP2,7.0,152.0,178.0,32.0,32.0,-3.2210414528564426;-3.062960305704241;-2.9021985250067432;-3.0005696377644355;-3.0633972457520637
102,123877,nearby YSP2,15.0,145.0,81.0,21.0,21.0,-2.890048233815018;-3.0834358914140383;-3.2441335084369873;-3.1835003213504223;-3.2040161866455263
102,135354,nearby YSP2,2.0,28.0,32.0,4.0,4.0,-3.7651094972067183;-3.797645862306794;-3.647468548995731;-3.9036596247563793;-3.4802225985844752
102,137987,nearby YSP2,4.0,166.0,152.0,34.0,34.0,-3.464079501542737;-3.024695805608958;-2.9707749393708647;-2.9742406990420864;-3.045299023659268
102,223758,nearby YSP2,2.0,33.0,41.0,7.0,7.0,-3.7651094972067183;-3.726289953771126;-3.539834670595902;-3.660621576070085;-3.6215517513809443
102,240620,nearby YSP2,6.0,58.0,49.0,15.0,15.0,-3.2879882424870557;-3.4813759000860762;-3.4624224472871235;-3.3296283570286604;-3.304131339528794
102,28407,nearby YSP2,16.0,214.0,180.0,43.0,43.0,-2.8620195102147745;-2.9143901202998226;-2.8973460222123313;-2.872251160504755;-2.8216812513040646
102,291301,nearby YSP2,1.0,1.0,2.0,,,-4.0661394928706995;-5.244803893649014;-4.851588531651656;nan;-4.4344651080238
102,32623,nearby YSP2,12.0,115.0,107.0,20.0,20.0,-2.9869582468230744;-3.1841060532954018;-3.1232347496304276;-3.2046896204203605;-3.1914270593375056
102,389033,nearby YSP2,4.0,111.0,81.0,18.0,18.0,-3.464079501542737;-3.199480914862356;-3.2441335084369873;-3.2504471109810353;-3.3205217557169635
102,441932,nearby YSP2,15.0,234.0,150.0,36.0,36.0,-2.890048233815018;-2.8755880362388706;-2.976527268259956;-2.9494171153170545;-3.0194917600529823
102,445925,nearby YSP2,,1.0,6.0,1.0,1.0,nan;-5.244803893649014;-4.374467276931994;-4.505719616084342;nan
102,478453,nearby YSP2,10.0,137.0,93.0,15.0,15.0,-3.0661394928706995;-3.1080833264926064;-3.184135578761702;-3.3296283570286604;-3.0633972457520637
102,480570,nearby YSP2,2.0,55.0,55.0,4.0,4.0,-3.7651094972067183;-3.5044412041547695;-3.412255837821393;-3.9036596247563793;-3.5594038446321
102,492035,nearby YSP2,11.0,216.0,169.0,43.0,43.0,-3.0247468077124746;-2.9103501424980824;-2.9247318227019634;-2.872251160504755;-2.8903970636735243
102,522986,nearby YSP2,18.0,390.0,234.0,77.0,77.0,-2.8108669877673935;-2.653739286622514;-2.7834026699054943;-2.61922889091186;-2.605161335192775
102,544917,nearby YSP2,1.0,27.0,27.0,7.0,7.0,-4.0661394928706995;-3.813440129490026;-3.72125476315665;-3.660621576070085;-3.8903970636735243
102,553630,nearby YSP2,1.0,,,,,-4.0661394928706995;nan;nan;nan;nan
102,56293,nearby YSP2,11.0,126.0,132.0,22.0,22.0,-3.0247468077124746;-3.1444333485314506;-3.0320445961097873;-3.163296935262135;-3.092042427201594
102,565750,nearby YSP2,4.0,99.0,63.0,13.0,13.0,-3.464079501542737;-3.2491686990514634;-3.3532779778620556;-3.391776263777505;-3.2303451253678754
102,566693,nearby YSP2,11.0,165.0,124.0,24.0,24.0,-3.0247468077124746;-3.0273199494351073;-3.059196842153402;-3.1255083743727354;-3.179192602920494
102,585269,nearby YSP2,11.0,125.0,119.0,12.0,12.0,-3.0247468077124746;-3.147893880640957;-3.0770715659231063;-3.4265383700367167;-3.0031013438648126
102,596422,nearby YSP2,8.0,274.0,264.0,45.0,45.0,-3.1630495058787558;-2.807053330828625;-2.731014600445806;-2.852507102308998;-2.8060761779734884
102,617606,nearby YSP2,8.0,212.0,187.0,49.0,49.0,-3.1630495058787558;-2.918468032720262;-2.8807769207791383;-2.815523536055828;-2.929315129703894
102,618026,nearby YSP2,2.0,34.0,24.0,8.0,8.0,-3.7651094972067183;-3.713324976606758;-3.772407285604031;-3.602629629092398;-3.6215517513809443
102,622621,nearby YSP2,8.0,108.0,89.0,16.0,16.0,-3.1630495058787558;-3.2113801381620637;-3.2032285206707245;-3.301599633428417;-3.1020266481081946
102,627646,nearby YSP2,11.0,28.0,24.0,5.0,5.0,-3.0247468077124746;-3.797645862306794;-3.772407285604031;-3.806749611748323;-3.6941024185295563
