Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,441579,in HOS4,68.0,8.0,4.0,,,-2.9911609005619;-3.49274293311004;-3.724623985053917;nan;-3.3230457354817013
101,471711,in HOS4,71.0,7.0,6.0,,,-2.972411464549061;-3.550734880087727;-3.5485327259982355;nan;nan
101,578752,in HOS4,48.0,25.0,8.0,,,-3.1424285758925494;-2.997892911429946;-3.4235939893899356;nan;nan
101,891946,in HOS4,31.0,6.0,,,,-3.3323081194338635;-3.61768166971834;nan;nan;nan
101,999120,in HOS4,15.0,5.0,8.0,,,-3.6475785542124552;-3.6968629157659647;-3.4235939893899356;nan;nan
102,1009572,nearby YSP2,55.0,2.0,,,,-3.0833071237738925;-4.094802924438002;nan;nan;nan
102,1024085,nearby YSP2,100.0,27.0,20.0,,,-2.823669813268136;-2.9644691559429965;-3.0256539807178977;nan;-3.02201573981772
102,1024847,nearby YSP2,132.0,55.0,51.0,2.0,2.0,-2.7030958820622866;-2.65547023060774;-2.6191138002839427;-3.2427898094786767;-3.14695447642602
102,1032738,nearby YSP2,78.0,35.0,2.0,,,-2.931575210577656;-2.851764875751708;-4.025653980717898;nan;nan
102,1115764,nearby YSP2,89.0,22.0,,,,-2.874279806623224;-3.0534102392797773;nan;nan;nan
102,1121029,nearby YSP2,45.0,6.0,17.0,5.0,5.0,-3.1704572994927926;-3.61768166971834;-3.0962350550036053;-2.8448498008066387;nan
102,1124698,nearby YSP2,239.0,109.0,53.0,3.0,3.0,-2.4452719123199986;-2.35840642216136;-2.6024081067810902;-3.0666985504229953;-2.3453221301928537
102,226443,nearby YSP2,2.0,,,,,-4.522639817604155;nan;nan;nan;nan
102,241026,nearby YSP2,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
102,290576,nearby YSP2,105.0,26.0,14.0,,,-2.8024805141981983;-2.9808595721311657;-3.1805559407036412;nan;nan
102,311659,nearby YSP2,58.0,9.0,4.0,,,-3.0602418197051993;-3.4415904106626587;-3.724623985053917;nan;-3.3230457354817013
102,393126,nearby YSP2,3.0,,,,,-4.3465485585484736;nan;nan;nan;nan
102,448187,nearby YSP2,9.0,12.0,,,,-3.8694273038288114;-3.316651674054359;nan;nan;nan
102,488029,nearby YSP2,3.0,,,,,-4.3465485585484736;nan;nan;nan;nan
102,494848,nearby YSP2,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
102,505116,nearby YSP2,44.0,1.0,8.0,,,-3.180217136781949;-4.3958329201019835;-3.4235939893899356;nan;nan
102,584687,nearby YSP2,6.0,1.0,16.0,,,-4.045518562884493;-4.3958329201019835;-3.1225639937259544;nan;nan
102,597225,nearby YSP2,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
102,632543,nearby YSP2,20.0,,,,,-3.5226398176041553;nan;nan;nan;nan
102,638408,nearby YSP2,32.0,6.0,5.0,,,-3.3185198349482303;-3.61768166971834;-3.62771397204586;nan;nan
102,657843,nearby YSP2,,,1.0,,,nan;nan;-4.326683976381879;nan;nan
102,70834,nearby YSP2,6.0,1.0,,,,-4.045518562884493;-4.3958329201019835;nan;nan;nan
102,739693,nearby YSP2,2.0,,,,,-4.522639817604155;nan;nan;nan;nan
102,774092,nearby YSP2,53.0,9.0,7.0,1.0,1.0,-3.0993939436673474;-3.4415904106626587;-3.4815859363676225;-3.543819805142658;nan
102,781101,nearby YSP2,63.0,17.0,22.0,6.0,6.0,-3.024329263814555;-3.16538399872371;-2.984261295559673;-2.765668554759014;nan
102,826921,nearby YSP2,94.0,42.0,1.0,3.0,3.0,-2.850541959668438;-2.772583629704083;-4.326683976381879;-3.0666985504229953;nan
102,850432,nearby YSP2,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
102,920613,nearby YSP2,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,1028091,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,150753,in SUM1,3.0,,5.0,,,-4.3465485585484736;nan;-3.62771397204586;nan;nan
103,225801,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,353043,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,39816,in SUM1,2.0,,,,,-4.522639817604155;nan;nan;nan;nan
103,400617,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,423085,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,423838,in SUM1,5.0,1.0,2.0,,,-4.124699808932117;-4.3958329201019835;-4.025653980717898;nan;nan
103,559546,in SUM1,3.0,1.0,,,,-4.3465485585484736;-4.3958329201019835;nan;nan;nan
103,621868,in SUM1,2.0,,,,,-4.522639817604155;nan;nan;nan;nan
103,660703,in SUM1,2.0,,,,,-4.522639817604155;nan;nan;nan;nan
103,66423,in SUM1,1.0,,,,,-4.823669813268136;nan;nan;nan;nan
103,807352,in SUM1,4.0,,,,,-4.221609821940174;nan;nan;nan;-3.3230457354817013
