Mut_ID,BC_ID,Gene,T0,T1,T2,T3,T3,Log10_freq_trajectory
101,1093984,in HOS4,,5.0,,,,nan;-4.644948413782948;nan;nan;nan
101,1098930,in HOS4,181.0,442.0,248.0,37.0,37.0,-2.6904653188739465;-2.6984961487698746;-2.8357979302974523;-3.2610312690810703;-3.065862703538459
101,413918,in HOS4,2.0,,,,,-4.64711389807915;nan;nan;nan;nan
101,605967,in HOS4,189.0,338.0,182.0,58.0,58.0,-2.671682089569887;-2.815001717841312;-2.9701782231385936;-3.065804999585128;-3.515831712214507
101,610782,in HOS4,194.0,355.0,251.0,69.0,69.0,-2.660342163812905;-2.7936900650638723;-2.8305758896426303;-2.99038390241081;-3.261657297410253
101,776818,in HOS4,,2.0,,,,nan;-5.042888422454985;nan;nan;-5.159284388700694
101,778367,in HOS4,313.0,771.0,402.0,73.0,73.0,-2.4525995561966827;-2.4568640400680093;-2.6260235580391984;-2.9659101330276094;-2.921238285571899
102,1035350,nearby YSP2,615.0,1538.0,897.0,320.0,320.0,-2.159268777967714;-2.1569620826535543;-2.2774571680795765;-2.3240830148281595;-2.483506047026609
102,1048669,nearby YSP2,3.0,3.0,1.0,1.0,1.0,-4.471022639023468;-4.866797163399304;-5.230249611123669;-4.829232993148065;nan
102,1102741,nearby YSP2,4.0,5.0,,,,-4.3460839024151685;-4.644948413782948;nan;nan;-4.557224397372732
102,1145725,nearby YSP2,1.0,22.0,,3.0,3.0,-4.948143893743131;-4.00149573729676;nan;-4.352111738428403;nan
102,253077,nearby YSP2,777.0,1593.0,1005.0,330.0,330.0,-2.057722874942217;-2.141702642317835;-2.228083549367161;-2.310719053270178;-2.447477159659503
102,278270,nearby YSP2,339.0,764.0,400.0,180.0,180.0,-2.417944195540049;-2.4608250595432763;-2.628189619795706;-2.5739604880447593;-2.6487393784940823
102,299359,nearby YSP2,353.0,811.0,525.0,165.0,165.0,-2.4003691883553087;-2.4348975639078105;-2.5100903077177117;-2.611749048934159;-2.732773127336119
102,359498,nearby YSP2,405.0,944.0,680.0,232.0,232.0,-2.3406888705284628;-2.3689464238208973;-2.397740698417432;-2.463745008257166;-2.5958033033062837
102,393292,nearby YSP2,2.0,,,,,-4.64711389807915;nan;nan;nan;nan
