Strain	Environment	Experiment	Flask	Avg_GR	DFE_mean	Env_GR	Env_DFE_mean	GR_std	GR_max	GR_std_max_excluded	Env_series	DFE_graph
LK1-A02	30_SC3	LK1-A02_30_SC3	1	0.1054960214429438	-0.0019813108449790455	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-A02	30_SC5	LK1-A02_30_SC5	1	0.17240764833997252	0.016266445863446558	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-A02	30_SC7	LK1-A02_30_SC7	1	0.22200265259185548	-0.02220659528158728	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-A02	37_SC3	LK1-A02_37_SC3	1	0.32238190016574597	-0.015121714469078831	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-A02	37_SC5	LK1-A02_37_SC5	2	0.3538022026570745	-0.014372531297672995	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-A02	37_SC7	LK1-A02_37_SC7	2	0.21175006289332704	-0.015692427842438256	0.424568945;0.1054960214429438;0.17240764833997252;0.22200265259185548;0.32238190016574597;0.3538022026570745;0.21175006289332704	-0.022128223594093752;-0.0019813108449790455;0.016266445863446558;-0.02220659528158728;-0.015121714469078831;-0.014372531297672995;-0.015692427842438256	0.08472139904313708	0.3538022026570745	0.0707956623606865	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-A02_dfes.png
LK1-B03	30_SC3	LK1-B03_30_SC3	2	0.15574839219686798	0.008941365776728757	0.288719558;0.15574839219686798;0.2323401309157015;0.23459194519068;0.23637238628424298;0.266178096944494;0.236619156975577	-0.006354702286143745;0.008941365776728757;0.004217548911262098;-0.005266064001695578;0.004017532948662988;0.011691276943705402;-0.00010069593755050384	0.03385812454370912	0.266178096944494	0.03173004227916897	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-B03_dfes.png
LK1-B03	30_SC5	LK1-B03_30_SC5	3	0.2323401309157015	0.004217548911262098	0.288719558;0.15574839219686798;0.2323401309157015;0.23459194519068;0.23637238628424298;0.266178096944494;0.236619156975577	-0.006354702286143745;0.008941365776728757;0.004217548911262098;-0.005266064001695578;0.004017532948662988;0.011691276943705402;-0.00010069593755050384	0.03385812454370912	0.266178096944494	0.03173004227916897	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-B03_dfes.png
LK1-B03	30_SC7	LK1-B03_30_SC7	2	0.23459194519068	-0.005266064001695578	0.288719558;0.15574839219686798;0.2323401309157015;0.23459194519068;0.23637238628424298;0.266178096944494;0.236619156975577	-0.006354702286143745;0.008941365776728757;0.004217548911262098;-0.005266064001695578;0.004017532948662988;0.011691276943705402;-0.00010069593755050384	0.03385812454370912	0.266178096944494	0.03173004227916897	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-B03_dfes.png
LK1-B03	37_SC3	LK1-B03_37_SC3	2	0.23637238628424298	0.004017532948662988	0.288719558;0.15574839219686798;0.2323401309157015;0.23459194519068;0.23637238628424298;0.266178096944494;0.236619156975577	-0.006354702286143745;0.008941365776728757;0.004217548911262098;-0.005266064001695578;0.004017532948662988;0.011691276943705402;-0.00010069593755050384	0.03385812454370912	0.266178096944494	0.03173004227916897	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK1-B03_dfes.png
