Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0312567814309,1,1
LK3-G08,0.093805708,-0.0868278481226,0,1
LK2-G07,-0.019194571,-0.0368957361295,0,1
LK4-A04,0.036559047,-0.060753968672,0,1
LK4-H03,0.02296139,-0.046806111069300015,0,0
LK4-D11,-0.060829465,-0.00577322357817,1,1
LK3-E06,0.032744933,-0.0215122567169,0,1
LK1-D10,-0.037986439,-0.0228407599943,1,1
LK1-D12,-0.057403752,-0.00200829269386,1,0
LK6-C05,-0.059662381,-0.000108324343423,1,1
LK4-C09,-0.087799295,-0.00522434026359,1,1
LK5-C04,0.054950025,-0.08248723569680001,0,1
LK1-B03,-0.061280442,-0.00497506286167,1,1
LK3-A05,-0.033288214,-0.0273255957817,0,0
LK4-B03,-0.037788014,-0.0229040151199,1,1
LK5-B06,-0.068915324,0.00828915929216,1,0
LK1-D08,-0.008491259000000001,-0.0386248195524,0,1
LK5-H12,-0.023919485,-0.0135048929982,1,1
LK1-E01,-0.043467154,-0.0105632674523,1,1
LK3-D08,0.023624539,-0.0364943938783,0,1
LK4-B08,-0.063909414,-0.013856794566799998,1,1
LK6-B07,-0.016711953,-0.03080168458,1,1
LK6-F03,-0.109289121,-0.0162893763017,1,1
LK6-B05,-0.006164366,-0.0562278833394,0,1
LK6-E02,-0.107711445,0.0026882605844200003,1,0
LK2-A11,-0.12701237599999998,-0.0101915430942,1,1
LK5-H02,-0.034306781,-0.006788684072170001,1,1
LK6-A10,-0.087805455,-0.00337309665496,1,0
LK3-D01,0.066184564,-0.0393530231255,0,0
LK3-G02,-0.021250726,-0.0330039372683,0,0
LK5-G03,-0.061380255,-0.0066267197193,1,1
LK1-F05,0.046509142,-0.0469590732545,0,1
LK4-H12,-0.062143255,-0.0140524026954,1,0
LK6-B10,0.029777903,-0.0357682697351,0,1
LK6-D05,-0.043812384,-0.0016122703967200002,1,1
LK1-A02,0.074568945,-0.0368504256447,0,0
LK5-F08,0.015046178,-0.0434738781584,0,1
LK5-H08,-0.000319424,-0.017755800607099997,0,0
LK6-B09,-0.06491301099999999,-0.0130307987149,1,1
LK4-D02,-0.026555348,0.00434166647584,1,0
LK5-C01,-0.035507118,-0.010593667835799998,1,1
LK5-B01,-0.069096858,0.00111992107045,1,1
LK5-F10,-0.092640198,-0.00957293995298,1,0
LK5-C03,-0.034896086,-0.00995252485313,1,1
LK6-A09,-0.118694117,0.0210037705578,1,0
LK3-C04,-0.021324099,-0.0530484997879,0,1
LK1-B08,-0.092333836,-0.015852790997799997,1,1
LK3-H03,-0.049118176,-0.000863455128735,1,1
LK6-D06,-0.063374275,-0.00684906154523,1,1
LK2-C09,-0.029181055,0.0145961732576,1,0
LK4-B01,-0.060980824,-0.00226551678289,1,1
LK4-B06,-0.0073895240000000015,-0.122741306812,0,1
LK4-G05,-0.078376922,-0.00714453090513,1,0
LK3-B02,-0.061936905999999986,-0.015919155763299997,1,0
LK3-G10,-0.05011661,-0.00620169192243,1,1
LK5-E09,-0.014933995,-0.00933816684669,1,0
LK2-C05,-0.072951481,-0.00483772669845,1,1
LK5-H07,-0.016148315,0.00307317669506,1,0
LK1-E09,0.00130607,-0.045515937725099986,0,1
LK5-D04,-0.008201942,-0.0523293556553,0,1
LK2-E12,-0.003211055,-0.030297232832900006,0,1
LK3-B10,0.060567274,-0.0330970170933,0,0
LK5-D05,0.039769121,-0.0293478380918,0,1
LK5-C11,-0.07890419900000001,-0.0253425314615,1,1
LK2-F04,0.06440686799999999,-0.0193176529473,0,0
LK1-C09,0.097834819,-0.0410135735156,0,0
LK3-B03,0.020432307,-0.02731660961,0,0
LK6-D07,-0.067901009,-0.0145130164544,1,1
LK1-G11,0.02621332,-0.0224943209898,0,0
LK1-B04,-0.09425094,0.0022123287991100003,1,0
LK1-E04,0.010654118,-0.0452167306805,0,1
LK2-A12,-0.029611706,-0.0235181436007,1,0
LK4-H11,-0.043349795,-0.0473677309322,1,1
LK4-A12,0.044940192,-0.0261637328455,0,0
LK1-A09,-0.063297996,-0.006073322564470001,1,1
LK6-C11,0.079424925,-0.045710070182300014,0,1
LK5-A07,0.022318946,-0.0290241664454,0,0
LK6-A11,-0.101157306,-0.00426324951525,1,0
LK5-D09,0.003683436,0.00905339228206,0,0
LK5-G09,0.000908654,-0.061427744426,0,1
LK1-G08,-0.076569198,-0.00810530291085,1,1
LK4-B12,-0.022692414,-0.0008216886975589997,1,0
LK5-A04,0.032954446,-0.0474442757897,0,1
LK3-C12,0.004518577,-0.034533089146,0,0
LK2-B07,-0.00378999,-0.0358158551378,0,1
LK3-H10,0.004132024000000001,-0.0279265717144,0,0
LK4-G09,-0.050985005,-0.0163710988961,1,1
LK3-B08,0.001601827,-0.0301515994268,0,1
LK1-H04,-0.07081425599999999,-0.0168926550982,1,1
LK2-A07,0.005623133000000001,0.00438979579075,1,0
LK5-E08,-0.06663271,-0.0380453875279,0,0
LK3-F06,-0.125231999,-0.014599738795,1,1
LK3-C08,0.080039068,-0.0332721644918,0,1
LK4-B05,-0.055145456,-0.0112960499685,1,1
LK2-A10,-0.06981008799999999,-0.011119612009299996,1,1
LK4-E03,0.013554151,-0.051382175229,0,1
LK1-A05,0.07181288400000001,-0.021151472379099995,0,0
LK4-D01,0.011072576,-0.0657727197118,0,1
LK6-A03,-0.071606045,-0.005862851916989999,1,1
LK2-E07,0.021067245,-0.027298721537900004,0,0
LK5-G01,-0.097400427,-0.0144157569022,1,1
LK3-B11,-0.030885663,-0.00588291543813,1,0
LK3-F10,0.031324745,-0.0319405840265,0,1
LK5-A05,0.006670793,-0.0534693497624,0,1
LK3-H11,-0.037647523,-0.0090199553455,1,0
LK6-C12,0.049026118,-0.031241931664900007,0,0
LK5-B07,-0.12667103400000002,-0.0239675599169,1,1
LK3-B12,-0.069789932,-0.00250660883961,1,0
LK1-B01,0.007985589,-0.0466080557402,0,1
LK1-B05,-0.051014885,-0.011787890901,1,1
LK3-C11,-0.024302582000000003,0.00124999507276,1,1
LK3-G01,0.001125763,-0.052961391461800005,0,1
LK5-F01,0.029027435,-0.0285161820306,0,0
LK3-H08,-0.066259295,-0.00367935434788,1,0
LK2-B05,0.038236482,-0.0356624671433,0,0
LK2-B04,0.068553692,-0.0334069231372,0,0
LK3-D05,-0.097416376,-0.0187711312144,1,1
LK5-B05,-0.068647456,-0.006591443334229999,1,0
LK6-A07,-0.043732835,-0.048292291404,0,1
LK1-A06,0.031765912,-0.0418174505446,0,0
LK2-A05,-0.07650302099999999,-0.00549321608282,1,0
LK2-F07,-0.012979132,-0.0243265395761,0,0
LK4-H10,-0.01690951,-0.0359599231876,0,1
LK3-H06,0.010126796,-0.0394617524394,0,0
LK5-F03,-0.061319714,-0.00438012322825,1,1
LK5-E01,-0.08983357800000001,-0.0124689480667,1,1
LK5-A03,0.030986837000000007,-0.033726560370299995,0,0
LK5-D03,0.072367787,-0.0475277093371,0,1
LK1-G12,-0.066683388,-0.0167676439273,1,1
LK5-F07,0.057171065,-0.0440934463537,0,1
LK4-C10,-0.045171086,-0.0296119001149,1,1
LK2-A06,-0.08736029599999999,0.005577658715100001,1,0
LK6-A05,0.006446217,-0.0265179279132,0,0
LK3-G11,-0.041289604,-0.0029911432870800003,1,0
LK3-C09,-0.003210792,-0.00209100740694,1,0
LK5-D08,0.032239849,-0.014114403338299997,1,1
LK4-E01,0.007107061,0.004395584361689999,1,0
LK1-D02,-0.03975231,-0.00217694423748,1,1
LK6-C02,-0.010438455,-0.017974386458299997,1,1
LK2-E08,-0.01185898,0.006399297795130001,1,1
LK3-A07,-0.008287901,-0.0280735028978,0,1
LK3-H05,0.017018613000000002,-0.038850910668000005,0,1
LK2-D07,-0.009147778,-0.0128439501628,1,1
LK4-C08,-0.024730103,-0.0127507360066,1,0
LK1-C07,0.00115568,-0.0509358607915,0,1
LK1-C06,0.078083465,-0.0271837341768,0,0
LK3-D09,-0.077437477,-6.59692374587e-05,1,1
LK1-G09,-0.110538363,-0.020341585859,1,1
LK2-D09,-0.04650311,-0.0111036483392,1,0
LK1-D06,-0.060605349,-0.003932227519079999,1,0
LK3-A01,0.019923344,-0.0391839571577,0,1
LK2-D05,-0.040989887,-0.00199101067409,1,1
LK1-C11,0.03763259,-0.0400022233481,0,0
LK1-G03,0.044068065,-0.0355941785187,0,0
LK3-D04,-0.058895829,-0.00628559148991,1,0
LK3-C06,0.010954336,-0.027401440079,0,1
LK2-A01,-0.003379405,-0.044946213189500005,0,0
LK2-G10,-0.005487313000000001,-0.0064481747291700005,1,0
