Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0215292114951,1,1
LK3-G08,0.093805708,-0.035343183477500005,1,1
LK2-G07,-0.019194571,-0.0467367938752,0,0
LK4-A04,0.036559047,-0.04879971263619999,0,0
LK4-H03,0.02296139,-0.0218496801559,0,1
LK3-E06,0.032744933,-0.0494050335255,0,0
LK1-D12,-0.057403752,-0.0445074634839,1,0
LK4-C09,-0.087799295,-0.053308533637800005,0,0
LK5-C04,0.054950025,-0.0537748416601,0,0
LK1-B03,-0.061280442,-0.0288745452861,1,0
LK3-A05,-0.033288214,-0.026547442367700003,1,0
LK4-B03,-0.037788014,-0.0393575908325,1,0
LK5-H12,-0.023919485,-0.030463819971,1,0
LK1-E01,-0.043467154,-0.0383385079345,1,0
LK3-D08,0.023624539,-0.0565296220863,0,0
LK4-B08,-0.063909414,-0.0396952950119,1,0
LK6-B07,-0.016711953,-0.0285538933984,1,1
LK6-F03,-0.109289121,-0.0482501101734,1,0
LK6-B05,-0.006164366,-0.0472710227342,0,0
LK2-A11,-0.12701237599999998,-0.035484421717599995,1,1
LK5-H02,-0.034306781,-0.0283074452621,1,0
LK6-A10,-0.087805455,-0.0317280204671,1,0
LK3-D01,0.066184564,-0.0184084231025,0,1
LK3-G02,-0.021250726,-0.044888242878,1,0
LK1-F05,0.046509142,-0.0535268080752,0,0
LK6-B10,0.029777903,-0.0516072448314,0,0
LK6-D05,-0.043812384,-0.0414497210442,1,0
LK1-A02,0.074568945,-0.0217587494342,1,1
LK5-F08,0.015046178,-0.0370190008574,0,1
LK6-B09,-0.06491301099999999,-0.0432976035626,1,0
LK5-B01,-0.069096858,-0.024081904021900004,1,1
LK5-F10,-0.092640198,-0.005246983701810001,1,1
LK5-C03,-0.034896086,-0.0465613020969,0,0
LK3-C04,-0.021324099,-0.057065484000900016,0,0
LK1-B08,-0.092333836,0.006087399752119999,1,1
LK6-D06,-0.063374275,-0.0557132465414,1,0
LK4-B01,-0.060980824,-0.0375852902372,1,0
LK3-B02,-0.061936905999999986,-0.0212937690405,0,0
LK3-G10,-0.05011661,-0.046368724984800005,1,0
LK5-E09,-0.014933995,-0.008399178497939998,1,1
LK2-C05,-0.072951481,-0.0287967184037,1,0
LK1-E09,0.00130607,-0.0352824201496,0,0
LK5-D04,-0.008201942,-0.0311104403338,0,1
LK3-B10,0.060567274,-0.0516941741614,0,0
LK5-D05,0.039769121,-0.055527824947300006,0,0
LK2-F04,0.06440686799999999,-0.07192107728910001,0,1
LK1-C09,0.097834819,-0.0589878116025,0,0
LK6-D07,-0.067901009,-0.0330446433647,1,1
LK1-G11,0.02621332,-0.0520374344997,0,0
LK1-B04,-0.09425094,-0.0269562213314,1,0
LK1-E04,0.010654118,-0.0494268452157,1,0
LK2-A12,-0.029611706,-0.0492867236437,0,1
LK4-H11,-0.043349795,-0.0313313540622,1,1
