Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00113609808873,2,2
LK3-G08,0.093805708,-0.005010969027079999,2,2
LK2-G07,-0.019194571,0.00435685735554,2,2
LK4-A04,0.036559047,-0.00012367155905700002,2,2
LK4-H03,0.02296139,0.00448431668018,2,2
LK4-D11,-0.060829465,-0.00587266544389,2,2
LK3-E06,0.032744933,0.00218508089482,2,2
LK1-D10,-0.037986439,-0.00533152867452,2,2
LK1-D12,-0.057403752,0.0025733220421,2,2
LK6-C05,-0.059662381,0.00293182509074,2,2
LK4-C09,-0.087799295,0.0033524767489,2,2
LK5-C04,0.054950025,0.00319277605226,2,2
LK1-B03,-0.061280442,0.000253236874509,2,2
LK3-A05,-0.033288214,0.00186545548075,2,2
LK4-B03,-0.037788014,0.00508625083136,2,2
LK5-B06,-0.068915324,0.00243109888062,2,2
LK1-D08,-0.008491259000000001,0.00415984003593,2,2
LK5-H12,-0.023919485,0.00352114309147,2,2
LK1-E01,-0.043467154,0.00210756572535,2,2
LK3-D08,0.023624539,0.00423004677347,2,2
LK4-B08,-0.063909414,0.00237521789131,2,2
LK6-B07,-0.016711953,0.003779332331570001,2,2
LK6-F03,-0.109289121,0.0021597582041700003,2,2
LK6-B05,-0.006164366,0.003852831324,2,2
LK6-E02,-0.107711445,0.00702992227907,2,2
LK2-A11,-0.12701237599999998,0.00245330124298,2,2
LK5-H02,-0.034306781,0.00361658279926,2,2
LK6-A10,-0.087805455,-0.0022722073816900004,2,2
LK3-D01,0.066184564,0.00307760237829,2,2
LK3-G02,-0.021250726,0.005041199647979999,2,2
LK5-G03,-0.061380255,0.00988248637971,2,2
LK1-F05,0.046509142,0.00205393443557,2,2
LK4-H12,-0.062143255,0.00274482130835,2,2
LK6-B10,0.029777903,0.00894435762916,2,2
LK6-D05,-0.043812384,0.00735971847309,2,2
LK1-A02,0.074568945,0.00438781471955,2,2
LK5-F08,0.015046178,0.00104361701147,2,2
LK5-H08,-0.000319424,0.00513971982325,2,2
LK6-B09,-0.06491301099999999,0.0004559241112380001,2,2
LK4-D02,-0.026555348,0.00592066963137,2,2
LK5-C01,-0.035507118,-0.00209263991687,2,2
LK5-B01,-0.069096858,0.00242249578002,2,2
LK5-F10,-0.092640198,0.007952061280079999,2,2
LK5-C03,-0.034896086,0.00233048144591,2,2
LK2-F11,0.035349227000000004,0.000420510858204,2,2
LK6-A09,-0.118694117,0.000157401492728,2,2
LK6-E04,-0.042724455,0.00746238271246,2,2
LK3-C04,-0.021324099,-0.0006268623225119999,2,2
LK1-B08,-0.092333836,0.00616118035128,2,2
LK4-B07,0.051667858,0.00336724456114,2,2
LK3-H03,-0.049118176,0.004345520859979999,2,2
