Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0074637022525,1,1
LK3-G08,0.093805708,-0.000384745039834,0,1
LK2-G07,-0.019194571,0.00402595988939,0,0
LK4-A04,0.036559047,-0.00318812006437,0,0
LK4-H03,0.02296139,0.003625630444480001,0,0
LK4-D11,-0.060829465,-0.0161119194806,1,1
LK3-E06,0.032744933,0.00334556625988,0,0
LK1-D12,-0.057403752,-0.0159150975208,1,1
LK6-C05,-0.059662381,-0.0194831580573,1,1
LK4-C09,-0.087799295,-0.00531594872028,1,0
LK5-C04,0.054950025,-0.00232900914018,0,0
LK1-B03,-0.061280442,-0.0100573100163,1,1
LK3-A05,-0.033288214,-0.0014140092672,0,1
LK4-B03,-0.037788014,-0.0140323587674,1,0
LK5-B06,-0.068915324,-0.0147484595753,1,0
LK1-D08,-0.008491259000000001,0.0019388851576,0,0
LK5-H12,-0.023919485,-0.0108138444523,1,0
LK1-E01,-0.043467154,-0.0097772865452,1,1
LK3-D08,0.023624539,0.004894383695359999,0,0
LK4-B08,-0.063909414,-0.0156416511451,1,1
LK6-B07,-0.016711953,-0.023052253427300003,1,1
LK6-F03,-0.109289121,-0.0205806832436,1,0
LK6-B05,-0.006164366,0.0036665629287,0,0
LK6-E02,-0.107711445,-0.0252306957905,1,0
LK2-A11,-0.12701237599999998,-0.00661173412916,1,0
LK5-H02,-0.034306781,-0.0201078377048,1,1
LK6-A10,-0.087805455,-0.0210016043686,1,1
LK3-D01,0.066184564,-0.000220013782763,0,0
LK3-G02,-0.021250726,0.00193022637189,0,0
LK5-G03,-0.061380255,-0.00946299355118,1,0
LK1-F05,0.046509142,0.00265325911525,0,0
LK4-H12,-0.062143255,-0.015044359756200004,1,1
LK6-B10,0.029777903,-0.0019791260079,0,0
LK6-D05,-0.043812384,-0.0221498247684,1,1
LK1-A02,0.074568945,-0.00295711207319,0,1
LK5-F08,0.015046178,-0.0143697306764,0,0
LK5-H08,-0.000319424,-0.00804090521359,0,0
LK6-B09,-0.06491301099999999,-0.017466407396,1,1
LK5-C01,-0.035507118,-0.0297012708402,1,1
LK5-B01,-0.069096858,-0.0135690548804,1,1
LK5-F10,-0.092640198,-0.0105463042754,1,0
LK5-C03,-0.034896086,-0.0166034465316,1,0
LK2-F11,0.035349227000000004,-0.00304177503557,0,1
LK6-A09,-0.118694117,-0.00553647138065,1,0
LK3-C04,-0.021324099,-0.00615526045891,0,0
LK1-B08,-0.092333836,-0.00265845981796,1,0
LK3-H03,-0.049118176,-0.0173940048046,1,1
LK6-D06,-0.063374275,-0.0184989603598,1,1
LK2-C09,-0.029181055,-0.0120909140043,1,1
LK4-B01,-0.060980824,-0.0172818496478,1,1
LK4-B06,-0.0073895240000000015,0.000400432289121,0,0
LK3-B02,-0.061936905999999986,-0.00663223342246,1,0
LK3-G10,-0.05011661,-0.0144277923608,1,0
LK5-E09,-0.014933995,-0.0220641306488,1,1
LK2-C05,-0.072951481,-0.00516470043333,1,0
LK5-H07,-0.016148315,-0.0106535294089,1,1
