Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.028140099057,1,1
LK3-G08,0.093805708,-0.051686179268500006,0,1
LK2-G07,-0.019194571,-0.0341875011144,0,0
LK4-H03,0.02296139,-0.0477762052213,0,0
LK4-D11,-0.060829465,0.00012455362690200002,1,1
LK3-E06,0.032744933,-0.0438067007988,0,0
LK1-D10,-0.037986439,-0.00261664608263,1,1
LK1-D12,-0.057403752,0.00242425416648,1,1
LK6-C05,-0.059662381,-0.00427399630501,1,1
LK4-C09,-0.087799295,-0.011563341101899998,1,0
LK5-C04,0.054950025,-0.049732299899199986,0,0
LK1-B03,-0.061280442,0.00261815319089,1,1
LK4-B03,-0.037788014,-0.0235326523778,1,0
LK5-B06,-0.068915324,0.00880095374855,1,0
LK1-D08,-0.008491259000000001,-0.0191060013415,0,0
LK5-H12,-0.023919485,-0.0224063526297,1,0
LK1-E01,-0.043467154,-0.0138405906198,1,1
LK3-D08,0.023624539,-0.0569920999237,0,0
LK4-B08,-0.063909414,-0.0174855102327,1,1
LK6-B07,-0.016711953,0.00108758845574,1,1
LK6-F03,-0.109289121,-0.016696630128600003,1,0
LK6-B05,-0.006164366,-0.0398061363726,0,0
LK6-E02,-0.107711445,0.00550400908865,1,0
LK2-A11,-0.12701237599999998,-0.014536696111700003,1,0
LK5-H02,-0.034306781,-0.00727841133425,1,1
LK6-A10,-0.087805455,-0.00181316573192,1,1
LK3-D01,0.066184564,-0.0388079265117,0,0
LK3-G02,-0.021250726,-0.0429942724823,0,0
LK5-G03,-0.061380255,-0.00100403682706,1,0
LK1-F05,0.046509142,-0.0344422709435,0,0
LK4-H12,-0.062143255,-0.0257104415798,1,1
LK6-B10,0.029777903,-0.0296460723134,0,0
LK6-D05,-0.043812384,0.0032103351889,1,1
LK1-A02,0.074568945,-0.0531592983246,0,1
LK5-F08,0.015046178,-0.0349573849039,0,0
LK6-B09,-0.06491301099999999,-0.0072239868567299985,1,1
LK4-D02,-0.026555348,0.0024559289858,1,1
LK5-B01,-0.069096858,-0.00697113453946,1,1
LK5-F10,-0.092640198,-0.0129990918124,1,0
LK5-C03,-0.034896086,-0.0137617761961,1,0
LK6-A09,-0.118694117,0.014628434247700004,1,0
LK3-C04,-0.021324099,-0.0593374361818,0,0
LK1-B08,-0.092333836,-0.0375652527176,1,0
LK6-D06,-0.063374275,-0.00115825002176,1,1
LK4-B01,-0.060980824,-0.0124600121919,1,1
LK4-B06,-0.0073895240000000015,-0.029590072512500006,0,0
LK3-B02,-0.061936905999999986,-0.0145261307788,1,0
LK3-G10,-0.05011661,-0.00633515976711,1,0
LK5-E09,-0.014933995,-0.0038605044158000006,1,1
LK2-C05,-0.072951481,-0.00957242408208,1,0
LK5-H07,-0.016148315,-0.00199217037557,1,1
LK1-E09,0.00130607,-0.038527223148,0,1
LK5-D04,-0.008201942,-0.0467460711316,0,0
LK2-E12,-0.003211055,-0.01662104221,0,0
LK3-B10,0.060567274,-0.053427294006199985,0,0
LK5-D05,0.039769121,-0.0388658496914,0,0
LK5-C11,-0.07890419900000001,-0.00189444431318,1,1
LK2-F04,0.06440686799999999,-0.034005270754400005,0,1
LK1-C09,0.097834819,-0.034772122666300004,0,1
LK3-B03,0.020432307,-0.0328845784264,0,0
LK6-D07,-0.067901009,-0.000623841914078,1,1
LK1-G11,0.02621332,-0.0259188629816,0,0
LK1-B04,-0.09425094,-0.0027720234552,1,1
LK2-A12,-0.029611706,-0.0286623658448,1,0
LK4-H11,-0.043349795,-0.016342601995700003,1,1
LK4-A12,0.044940192,-0.0369782513097,0,0
LK1-A09,-0.063297996,0.00776384754603,1,1
LK6-C11,0.079424925,-0.0310881576414,0,1
LK5-A07,0.022318946,-0.0463327319271,0,0
LK6-A11,-0.101157306,0.0124027797577,1,1
LK5-D09,0.003683436,-0.0119154474244,0,0
LK1-G08,-0.076569198,0.0022648389663000004,1,0
LK4-B12,-0.022692414,-0.008307797467319999,1,1
LK5-A04,0.032954446,-0.034871917389999986,0,0
LK3-C12,0.004518577,-0.0349875879077,0,0
LK2-B07,-0.00378999,-0.0419431423622,0,0
