Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0163945543445,1,2
LK3-G08,0.093805708,-0.00130927238679,0,2
LK2-G07,-0.019194571,-0.00729321475584,0,2
LK4-A04,0.036559047,-0.00901459082344,0,2
LK4-H03,0.02296139,-0.00387376129277,0,2
LK4-D11,-0.060829465,-0.0141135406888,1,2
LK3-E06,0.032744933,-0.00489167543151,0,2
LK1-D10,-0.037986439,-0.016646688122700003,1,2
LK1-D12,-0.057403752,-0.0106690550279,1,2
LK6-C05,-0.059662381,-0.0124650537426,1,2
LK4-C09,-0.087799295,-0.0249702441842,1,2
LK5-C04,0.054950025,-0.0032775266655700004,0,2
LK1-B03,-0.061280442,-0.00614060449064,1,2
LK3-A05,-0.033288214,-0.0128946161806,0,2
LK4-B03,-0.037788014,-0.019198032611900003,1,2
LK5-B06,-0.068915324,-0.0206662522751,1,2
LK1-D08,-0.008491259000000001,-0.00418142636764,0,2
LK5-H12,-0.023919485,-0.016129857467100002,1,2
LK1-E01,-0.043467154,-0.0250113409137,1,2
LK3-D08,0.023624539,-0.00997069095163,0,2
LK4-B08,-0.063909414,-0.0192269523086,1,2
LK6-B07,-0.016711953,-0.015801285748,1,2
LK6-F03,-0.109289121,-0.0252351660278,1,2
LK6-B05,-0.006164366,-0.00875741988828,0,2
LK6-E02,-0.107711445,-0.0151380310961,1,2
LK2-A11,-0.12701237599999998,-0.0240008926528,1,2
LK5-H02,-0.034306781,-0.00962906303811,1,2
LK6-A10,-0.087805455,-0.013087214276100002,1,2
LK3-D01,0.066184564,0.00254132683782,0,2
LK3-G02,-0.021250726,-0.00593537796494,0,2
LK5-G03,-0.061380255,-0.00616960422579,1,2
LK1-F05,0.046509142,-0.00227765388599,0,2
LK4-H12,-0.062143255,-0.00974052348589,1,2
LK6-B10,0.029777903,-0.00725859884968,0,2
LK6-D05,-0.043812384,-0.0126845542442,1,2
LK1-A02,0.074568945,-0.0035782370520300007,0,2
LK5-F08,0.015046178,-0.00366316132537,0,2
LK5-H08,-0.000319424,-0.00115757803524,0,2
LK6-B09,-0.06491301099999999,-0.011877669669000002,1,2
LK4-D02,-0.026555348,-0.0203095161457,1,2
LK5-C01,-0.035507118,-0.00684095278445,1,2
LK5-B01,-0.069096858,-0.0131580670073,1,2
LK5-F10,-0.092640198,-0.0177564250483,1,2
LK5-C03,-0.034896086,-0.0211254609919,1,2
