Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.014616611478,1,2
LK2-G07,-0.019194571,-0.0254648615203,0,2
LK4-D11,-0.060829465,-0.0171806090888,1,2
LK3-E06,0.032744933,-0.0496789445569,0,2
LK1-D12,-0.057403752,-0.00289931765744,1,2
LK6-C05,-0.059662381,-0.00491103148365,1,2
LK5-C04,0.054950025,-0.058294297219,0,2
LK4-B03,-0.037788014,-0.00964832414386,1,2
LK1-D08,-0.008491259000000001,-0.0300887073616,0,2
LK5-H12,-0.023919485,-0.0133693461337,1,2
LK1-E01,-0.043467154,-0.00498424466467,1,2
LK3-D08,0.023624539,-0.049345988894,0,2
LK4-B08,-0.063909414,-0.0007195139176430001,1,2
LK6-F03,-0.109289121,-0.0023281804522600003,1,2
LK6-E02,-0.107711445,0.0015869145686600002,1,2
LK2-A11,-0.12701237599999998,0.00580554791484,1,2
LK5-H02,-0.034306781,-0.00203683136474,1,2
LK6-A10,-0.087805455,-0.0018573136734,1,2
LK3-D01,0.066184564,-0.0444005084766,0,2
LK5-G03,-0.061380255,-0.0122459046689,1,2
LK4-H12,-0.062143255,-0.00296860320948,1,2
LK6-D05,-0.043812384,-0.00510511139375,1,2
LK1-A02,0.074568945,-0.0682899645603,0,2
LK5-F08,0.015046178,-0.0319407019438,0,2
LK6-B09,-0.06491301099999999,-0.0126837000719,1,2
LK5-B01,-0.069096858,-0.00464539560372,1,2
LK5-F10,-0.092640198,0.005617891078109999,1,2
LK5-C03,-0.034896086,-0.00559002235442,1,2
LK1-B08,-0.092333836,0.00736115776197,1,2
LK3-H03,-0.049118176,0.00120736253837,1,2
LK6-D06,-0.063374275,-0.00500487011377,1,2
LK4-B01,-0.060980824,-0.0071159622642800015,1,2
LK3-G10,-0.05011661,-0.005488723188939999,1,2
LK5-E09,-0.014933995,0.0030289788086,1,2
LK2-C05,-0.072951481,-0.00408530068868,1,2
LK5-H07,-0.016148315,-0.0040904263094,1,2
LK1-E09,0.00130607,-0.0453412281838,0,2
LK5-D04,-0.008201942,-0.0476293786751,0,2
LK2-E12,-0.003211055,-0.0419264871662,0,2
LK3-B10,0.060567274,-0.0762404725982,0,2
LK5-D05,0.039769121,-0.046431851235300005,0,2
LK5-C11,-0.07890419900000001,-0.000176806251835,1,2
LK6-D07,-0.067901009,0.00723714037121,1,2
LK1-G11,0.02621332,-0.0416220477003,0,2
LK1-E04,0.010654118,-0.0245719764372,1,2
LK2-A12,-0.029611706,-0.0223783163223,1,2
LK4-H11,-0.043349795,-0.0101626947338,1,2
LK4-A12,0.044940192,-0.053266528442199985,0,2
LK1-A09,-0.063297996,-0.0131697272246,1,2
LK6-C11,0.079424925,-0.06403568892799999,0,2
LK5-A07,0.022318946,-0.0234782494324,0,2
LK6-A11,-0.101157306,-0.0185251181066,1,2
LK5-D09,0.003683436,-0.0170408374865,0,2
LK1-G08,-0.076569198,0.0018986410608,1,2
LK4-B12,-0.022692414,-0.006918482262819999,1,2
LK5-A04,0.032954446,-0.0399953738072,0,2
LK3-C12,0.004518577,-0.0493072124881,0,2
LK2-B07,-0.00378999,-0.040044968683300014,0,2
LK4-G09,-0.050985005,-0.004618641492939999,1,2
LK1-H04,-0.07081425599999999,-0.0134122611136,1,2
LK2-A07,0.005623133000000001,-0.00932493968605,1,2
LK5-E08,-0.06663271,-0.0653913205976,0,2
LK4-B05,-0.055145456,0.00197218851909,1,2
LK2-A10,-0.06981008799999999,0.0029595264028300003,1,2
LK1-A05,0.07181288400000001,-0.0606332925586,0,2
LK4-D01,0.011072576,-0.0313726192723,0,2
LK6-A03,-0.071606045,-0.0070760833973,1,2
LK2-E07,0.021067245,-0.0361816070656,0,2
LK5-G01,-0.097400427,-0.008708795963690001,1,2
LK3-B11,-0.030885663,-0.00520670726069,1,2
LK3-F10,0.031324745,-0.0148632714062,0,2
LK6-C12,0.049026118,-0.0726298922613,0,2
LK5-B07,-0.12667103400000002,-0.00894286403813,1,2
LK3-B12,-0.069789932,-0.0090567992322,1,2
LK3-C11,-0.024302582000000003,-0.00446671750352,1,2
LK3-G01,0.001125763,-0.0510253466437,0,2
LK5-F01,0.029027435,-0.04320564477109999,0,2
LK2-B05,0.038236482,-0.050737793786,0,2
LK2-B04,0.068553692,-0.0520427994321,0,2
LK3-D05,-0.097416376,-0.006124656629370001,1,2
LK5-B05,-0.068647456,-0.00775080866152,1,2
LK6-A07,-0.043732835,-0.042233391264,0,2
LK2-A05,-0.07650302099999999,0.00922684102514,1,2
LK4-H10,-0.01690951,-0.0383040524047,0,2
LK5-F03,-0.061319714,-0.00118648396597,1,2
LK5-D03,0.072367787,-0.045970390732500005,0,2
LK1-G12,-0.066683388,0.0048157418159,1,2
LK5-F07,0.057171065,-0.0511848728141,0,2
LK4-C10,-0.045171086,-0.00187597261221,1,2
LK2-A06,-0.08736029599999999,0.00994156923631,1,2
LK6-A05,0.006446217,-0.0401807825429,0,2
LK3-G11,-0.041289604,0.00374439835313,1,2
LK3-C09,-0.003210792,-0.00512515390809,1,2
LK5-D08,0.032239849,-0.0205802846445,1,2
LK4-E01,0.007107061,-0.00849526891822,1,2
LK6-C02,-0.010438455,-0.0037373936054,1,2
LK2-E08,-0.01185898,-0.017590223042999998,1,2
LK3-A07,-0.008287901,-0.0313198606171,0,2
LK3-H05,0.017018613000000002,-0.0298355750197,0,2
LK1-C07,0.00115568,-0.0494054543908,0,2
LK1-C06,0.078083465,-0.0705614731065,0,2
LK3-D09,-0.077437477,-0.000611216556332,1,2
LK1-G09,-0.110538363,0.00352741783038,1,2
LK2-D09,-0.04650311,-0.000966056407742,1,2
LK2-D05,-0.040989887,0.0153675955849,1,2
LK1-C11,0.03763259,-0.0434988130775,0,2
LK1-G03,0.044068065,-0.048331921788300015,0,2
LK3-D04,-0.058895829,0.00522702403464,1,2
LK2-A01,-0.003379405,-0.0633067751516,0,2
LK2-G10,-0.005487313000000001,-0.0197870962167,1,2
