Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0740542499791,0,1
LK3-G08,0.093805708,-0.0542655337878,1,1
LK4-H03,0.02296139,-0.109936356436,1,0
LK4-D11,-0.060829465,-0.104775664602,1,1
LK6-C05,-0.059662381,-0.0403406663586,0,1
LK4-C09,-0.087799295,-0.0501214241909,1,0
LK3-A05,-0.033288214,-0.0376703807839,0,1
LK4-B03,-0.037788014,-0.0514133830061,0,0
LK1-D08,-0.008491259000000001,-0.0850448569807,1,0
LK5-H12,-0.023919485,-0.0799880468415,1,0
LK1-E01,-0.043467154,-0.0587811218982,1,1
LK3-D08,0.023624539,-0.112434549098,1,0
LK4-B08,-0.063909414,-0.0565339902449,0,1
LK6-F03,-0.109289121,-0.0875012729864,0,0
LK6-B05,-0.006164366,-0.075849305091,0,0
LK2-A11,-0.12701237599999998,-0.0464297824015,0,0
LK5-H02,-0.034306781,-0.0616959310669,1,1
LK6-A10,-0.087805455,-0.0468350757946,0,1
LK3-D01,0.066184564,-0.0516707825538,0,0
LK3-G02,-0.021250726,-0.0759895185874,1,0
LK4-H12,-0.062143255,-0.0589525057121,0,1
LK6-D05,-0.043812384,-0.045600993434100005,0,1
LK6-B09,-0.06491301099999999,-0.0521002916391,1,1
LK4-D02,-0.026555348,-0.0560762230286,1,1
LK5-B01,-0.069096858,-0.0224476977871,0,1
LK5-F10,-0.092640198,-0.09234598539560003,0,0
LK5-C03,-0.034896086,-0.07439772240249999,0,0
LK2-F11,0.035349227000000004,-0.06690787036410001,1,1
LK6-A09,-0.118694117,-0.0266002073867,0,0
LK3-C04,-0.021324099,-0.0978615492122,0,0
LK1-B08,-0.092333836,-0.0370636579287,0,0
LK4-B07,0.051667858,-0.0502177964242,0,1
LK3-H03,-0.049118176,-0.0627495390098,0,1
LK2-C09,-0.029181055,-0.0425767490304,1,1
LK4-B01,-0.060980824,-0.0926257929325,1,1
LK4-B06,-0.0073895240000000015,-0.0603670373214,0,0
LK3-B02,-0.061936905999999986,-0.13135937761299998,1,0
LK3-G10,-0.05011661,-0.0399462669161,0,0
LK2-C05,-0.072951481,-0.0530668807112,1,0
LK5-H07,-0.016148315,-0.0442054324209,0,1
LK1-E09,0.00130607,-0.0287067144089,0,1
LK5-D04,-0.008201942,-0.0609821869697,0,0
LK2-E12,-0.003211055,-0.0578828636117,0,0
LK5-C11,-0.07890419900000001,-0.0132097219866,0,1
LK4-E02,-0.021837705,-0.104144551825,1,0
LK2-F04,0.06440686799999999,0.00289525209661,0,1
LK3-B03,0.020432307,-0.10186303817,0,0
LK1-G11,0.02621332,-0.110112645555,1,0
LK1-B04,-0.09425094,-0.0806243053057,1,1
LK4-H11,-0.043349795,-0.0587724432789,0,1
LK1-A09,-0.063297996,-0.06421024832769999,0,1
LK6-C11,0.079424925,0.000580315586549,0,1
LK5-G09,0.000908654,-0.13573275861300002,0,0
LK1-G08,-0.076569198,-0.039707569789300005,0,0
LK4-B12,-0.022692414,-0.06585000813280001,0,1
LK5-A04,0.032954446,-0.116928212502,1,0
LK2-B07,-0.00378999,-0.07923387792480001,1,0
LK3-H10,0.004132024000000001,-0.0749655145475,1,0
LK3-B08,0.001601827,-0.0512454025127,0,0
LK1-H04,-0.07081425599999999,-0.0722393581472,0,0
LK2-A07,0.005623133000000001,-0.012372062309299998,0,1
LK3-F06,-0.125231999,-0.045209170065400005,0,1
LK3-C08,0.080039068,-0.0944987160107,1,1
LK4-B05,-0.055145456,-0.053677490389400014,0,1
LK4-E03,0.013554151,-0.0596898566917,0,0
LK1-A05,0.07181288400000001,-0.0385086080397,1,1
LK6-A03,-0.071606045,-0.0325455902833,0,1
LK2-E07,0.021067245,-0.124083739772,1,0
LK5-G01,-0.097400427,-0.0244887512298,0,1
LK3-B11,-0.030885663,-0.0543203282783,0,0
LK3-F10,0.031324745,-0.0566802400506,0,1
LK5-A05,0.006670793,-0.0931752295263,1,0
LK3-H11,-0.037647523,-0.0594915917925,1,1
LK5-B07,-0.12667103400000002,-0.044698589035400006,0,0
LK3-B12,-0.069789932,-0.0458548339885,0,0
LK3-C11,-0.024302582000000003,-0.046592542114900014,1,1
LK3-H08,-0.066259295,-0.09906604948069997,1,1
LK2-B04,0.068553692,-0.042929400818,0,1
LK5-B05,-0.068647456,-0.111695718643,1,0
LK6-A07,-0.043732835,-0.0749437738315,0,0
LK2-A05,-0.07650302099999999,-0.104210091184,0,1
LK2-F07,-0.012979132,-0.0598137182093,0,0
LK4-H10,-0.01690951,-0.08036227154299999,0,0
LK5-F03,-0.061319714,-0.0439835586116,0,1
LK5-E01,-0.08983357800000001,-0.0481126458369,1,1
LK5-D03,0.072367787,-0.047104419183199984,0,1
LK5-F07,0.057171065,-0.094479270371,1,0
LK4-C10,-0.045171086,-0.04669358383830001,0,1
LK6-A05,0.006446217,-0.129070066977,1,0
LK3-G11,-0.041289604,-0.048512145356400006,0,1
LK5-D08,0.032239849,-0.085993733093,0,0
LK3-A07,-0.008287901,-0.050019736079900005,1,0
LK2-D07,-0.009147778,-0.049690074625,1,1
LK1-C07,0.00115568,-0.0945928607261,0,0
LK1-C06,0.078083465,-0.0525705771919,0,1
LK1-G09,-0.110538363,-0.0468024013505,1,1
LK2-D09,-0.04650311,-0.0686909509648,1,1
LK1-D06,-0.060605349,-0.08794848968539999,1,1
LK2-D05,-0.040989887,-0.081528548106,0,1
LK3-D04,-0.058895829,-0.107457669723,0,0
LK2-G10,-0.005487313000000001,-0.053606703586300014,1,1
