Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00143746453322,1,1
LK3-G08,0.093805708,-0.0116959878313,0,0
LK2-G07,-0.019194571,-0.00634269385929,1,1
LK4-A04,0.036559047,0.00289222568683,0,1
LK4-H03,0.02296139,-0.0141794412629,1,0
LK4-D11,-0.060829465,-0.00446118626918,0,0
LK3-E06,0.032744933,-0.00966602613687,1,0
LK1-D12,-0.057403752,0.00164862545775,0,1
LK6-C05,-0.059662381,-0.0174994493597,1,0
LK4-C09,-0.087799295,-0.0217829648327,0,0
LK5-C04,0.054950025,-0.00923057375785,1,1
LK1-B03,-0.061280442,0.00027484693184700004,0,1
LK3-A05,-0.033288214,-0.0265187565919,0,0
LK4-B03,-0.037788014,0.00210676571285,1,1
LK5-B06,-0.068915324,-0.005576021569870001,0,0
LK1-D08,-0.008491259000000001,-0.0110613247389,1,1
LK5-H12,-0.023919485,-0.0157155382766,1,0
LK1-E01,-0.043467154,-0.0188286910386,1,0
LK3-D08,0.023624539,-0.0204553928046,1,1
LK4-B08,-0.063909414,-0.0045202228680200005,0,1
LK6-B07,-0.016711953,-0.00715957737991,0,1
LK6-F03,-0.109289121,-0.00913128411838,1,1
LK6-B05,-0.006164366,-0.0017379420975799998,0,1
LK6-E02,-0.107711445,0.0058646895053,0,0
LK2-A11,-0.12701237599999998,-0.0163524754716,0,0
LK5-H02,-0.034306781,-0.0119507951448,1,1
LK6-A10,-0.087805455,-0.0149411854372,1,1
LK3-D01,0.066184564,-0.0131208583695,1,1
LK3-G02,-0.021250726,-0.0177197944659,1,0
LK5-G03,-0.061380255,-0.0336872309971,1,0
LK1-F05,0.046509142,-0.00385163871921,0,1
LK4-H12,-0.062143255,-0.00284246221867,1,1
LK6-B10,0.029777903,-0.00137764614453,0,1
LK6-D05,-0.043812384,-0.0144464638859,1,0
LK1-A02,0.074568945,-0.0207888057064,1,0
LK5-F08,0.015046178,-0.030191761469200006,1,0
LK5-H08,-0.000319424,-0.00130199077431,1,1
LK6-B09,-0.06491301099999999,-0.00380435032542,0,0
LK4-D02,-0.026555348,-0.019573890267,1,0
LK5-C01,-0.035507118,-0.00399026247442,0,1
LK5-B01,-0.069096858,-0.0206688497815,1,0
LK5-F10,-0.092640198,-0.00926568379584,0,1
LK5-C03,-0.034896086,-0.00978517694574,1,0
LK2-F11,0.035349227000000004,-0.00223942411556,0,1
LK6-A09,-0.118694117,0.006395676186199999,0,1
LK3-C04,-0.021324099,-0.00929225649733,0,1
LK1-B08,-0.092333836,-0.0101735013717,1,0
LK4-B07,0.051667858,-0.0107364178371,1,1
LK6-D06,-0.063374275,-0.0246729072128,1,0
LK2-C09,-0.029181055,-0.006392303636350001,1,0
LK4-B01,-0.060980824,-0.00259511294146,0,1
LK4-G05,-0.078376922,-0.00142056468531,0,1
LK3-B02,-0.061936905999999986,-0.0060239946214900005,0,0
LK3-G10,-0.05011661,-0.00998679433718,1,0
LK5-E09,-0.014933995,0.000181678017812,0,1
LK2-C05,-0.072951481,-0.0259887369699,1,0
LK5-H07,-0.016148315,-0.006386440662689999,1,0
LK1-E09,0.00130607,-0.0121524614924,1,0
LK5-D04,-0.008201942,-0.000647928090407,0,1
LK2-E12,-0.003211055,-0.0210795265311,1,0
LK3-B10,0.060567274,-0.0143509053638,1,1
LK5-D05,0.039769121,-0.0215982541737,1,1
LK5-C11,-0.07890419900000001,0.00223148348031,0,1
LK2-F04,0.06440686799999999,-0.00334105002059,0,0
LK1-C09,0.097834819,-0.016912695664999998,0,1
LK3-B03,0.020432307,-0.00950895686394,0,0
LK6-D07,-0.067901009,0.00163898077993,0,1
