Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0716494981872,2,2
LK3-G08,0.093805708,-0.0725206342864,2,2
LK1-D12,-0.057403752,-0.0647463643004,2,2
LK5-C04,0.054950025,-0.102048435048,2,2
LK5-H12,-0.023919485,-0.0786549238274,2,2
LK4-B08,-0.063909414,-0.0642257183562,2,2
LK5-H02,-0.034306781,-0.0646819606869,2,2
LK6-A10,-0.087805455,-0.0703917305245,2,2
LK3-D01,0.066184564,-0.119474539949,2,2
LK5-G03,-0.061380255,-0.048283584067400014,2,2
LK4-H12,-0.062143255,-0.061876097825300014,2,2
LK6-D05,-0.043812384,-0.055093786041800014,2,2
LK1-A02,0.074568945,-0.0936367807813,2,2
LK5-F08,0.015046178,-0.0895344422717,2,2
LK6-B09,-0.06491301099999999,-0.0559893310251,2,2
LK5-B01,-0.069096858,-0.0474645787875,2,2
LK5-F10,-0.092640198,-0.0761453572238,2,2
LK5-C03,-0.034896086,-0.0691879133212,2,2
LK1-B08,-0.092333836,-0.048842250611,2,2
LK3-H03,-0.049118176,-0.0623907913909,2,2
LK6-D06,-0.063374275,-0.0732794919011,2,2
LK2-C09,-0.029181055,-0.0979062131361,2,2
LK4-B01,-0.060980824,-0.0623216583835,2,2
LK5-C11,-0.07890419900000001,-0.054307255185400014,2,2
LK2-F04,0.06440686799999999,-0.0618248282856,2,2
LK1-B04,-0.09425094,-0.09321547737610003,2,2
LK4-H11,-0.043349795,-0.0131359743454,2,2
LK4-A12,0.044940192,-0.0690756018593,2,2
LK1-A09,-0.063297996,-0.0709234804139,2,2
LK6-C11,0.079424925,-0.06300702723259999,2,2
LK5-A07,0.022318946,-0.07179284006219999,2,2
LK6-A11,-0.101157306,-0.052725020825500006,2,2
LK5-D09,0.003683436,-0.06779638712330001,2,2
LK3-B08,0.001601827,-0.08218500356089999,2,2
LK2-A07,0.005623133000000001,-0.034817383708800005,2,2
LK3-F06,-0.125231999,-0.07474821019019999,2,2
LK4-B05,-0.055145456,-0.0607882375389,2,2
LK1-A05,0.07181288400000001,-0.0711131410693,2,2
LK4-D01,0.011072576,-0.07373834036989999,2,2
LK6-A03,-0.071606045,-0.0328545127285,2,2
LK3-B11,-0.030885663,-0.0659021219698,2,2
LK3-B12,-0.069789932,-0.0606592691049,2,2
LK1-B05,-0.051014885,-0.0610708576287,2,2
LK3-C11,-0.024302582000000003,-0.0334886849434,2,2
LK5-F01,0.029027435,-0.105645214216,2,2
LK3-D05,-0.097416376,-0.0616625023298,2,2
LK2-A05,-0.07650302099999999,-0.051721583675300005,2,2
LK2-F07,-0.012979132,-0.08978140840710001,2,2
LK1-G12,-0.066683388,-0.106970040153,2,2
LK5-F07,0.057171065,-0.0983502920551,2,2
LK2-A06,-0.08736029599999999,-0.0478450430238,2,2
LK3-G11,-0.041289604,-0.08326080315260001,2,2
LK3-C09,-0.003210792,-0.0622711881797,2,2
LK5-D08,0.032239849,-0.0655854103185,2,2
LK1-D02,-0.03975231,-0.0657176165209,2,2
LK6-C02,-0.010438455,-0.0999064921789,2,2
LK2-E08,-0.01185898,-0.0539741602781,2,2
LK3-A07,-0.008287901,-0.0661339122662,2,2
LK2-D07,-0.009147778,-0.08627920798960001,2,2
LK3-D09,-0.077437477,-0.0633703078605,2,2
LK3-A01,0.019923344,-0.110957112544,2,2
LK2-D05,-0.040989887,-0.0662073982651,2,2
LK1-C11,0.03763259,-0.101389922596,2,2
LK3-D04,-0.058895829,-0.0624095115751,2,2
LK3-C06,0.010954336,-0.07037362482630001,2,2
LK2-G10,-0.005487313000000001,-0.080041542723,2,2
