Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0118413676372,1,1
LK3-G08,0.093805708,-0.05982687046490001,0,1
LK2-G07,-0.019194571,-0.0733046256058,0,0
LK4-H03,0.02296139,-0.0541786720446,0,0
LK4-D11,-0.060829465,0.0139151038406,1,1
LK3-E06,0.032744933,-0.0623834711431,0,0
LK1-D12,-0.057403752,0.0202763177518,1,1
LK6-C05,-0.059662381,0.0269119200513,1,1
LK4-C09,-0.087799295,0.0132816290734,1,0
LK5-C04,0.054950025,-0.062430303529,0,0
LK1-B03,-0.061280442,0.023508480891900004,1,1
LK3-A05,-0.033288214,-0.0395592231087,0,1
LK4-B03,-0.037788014,0.016339120422200003,1,0
LK5-B06,-0.068915324,-0.00328149729498,1,0
LK1-D08,-0.008491259000000001,-0.0493903778575,0,0
LK5-H12,-0.023919485,0.00441438057516,1,0
LK1-E01,-0.043467154,0.0189382508202,1,1
LK3-D08,0.023624539,-0.06792239536830001,0,0
LK4-B08,-0.063909414,0.017290895338400003,1,1
LK6-B07,-0.016711953,0.0258831474406,1,1
LK6-F03,-0.109289121,0.0305610961827,1,0
LK6-B05,-0.006164366,-0.0644433741676,0,0
LK6-E02,-0.107711445,0.0247651715965,1,0
LK2-A11,-0.12701237599999998,0.0182804986238,1,0
LK5-H02,-0.034306781,0.0230125122597,1,1
LK6-A10,-0.087805455,0.0199320608973,1,1
LK3-D01,0.066184564,-0.0500348043104,0,0
LK3-G02,-0.021250726,-0.07118107945739999,0,0
LK5-G03,-0.061380255,0.0179377830867,1,0
LK1-F05,0.046509142,-0.053522908916600005,0,0
LK4-H12,-0.062143255,0.0177268082397,1,1
LK6-D05,-0.043812384,0.023683776954900003,1,1
LK1-A02,0.074568945,-0.0585060176185,0,1
LK5-F08,0.015046178,-0.042244080084,0,0
LK6-B09,-0.06491301099999999,0.017453373807999998,1,1
LK4-D02,-0.026555348,0.0232096314494,1,1
LK5-C01,-0.035507118,0.0263723625889,1,1
LK5-B01,-0.069096858,0.029336222618800006,1,1
LK5-F10,-0.092640198,0.0124047680352,1,0
LK5-C03,-0.034896086,0.0176742423942,1,0
LK2-F11,0.035349227000000004,-0.0409302433023,0,1
LK6-A09,-0.118694117,0.014527814825299997,1,0
LK3-C04,-0.021324099,-0.0571465249507,0,0
LK1-B08,-0.092333836,0.0147736130035,1,0
LK6-D06,-0.063374275,0.029993598609000006,1,1
LK2-C09,-0.029181055,0.0216630947015,1,1
LK4-B01,-0.060980824,0.0204897214125,1,1
LK4-G05,-0.078376922,0.0101037776598,1,1
LK3-B02,-0.061936905999999986,-0.000966077508427,1,0
LK3-G10,-0.05011661,0.022365317611,1,0
LK5-E09,-0.014933995,0.0202309552165,1,1
LK2-C05,-0.072951481,0.0221404934822,1,0
LK5-H07,-0.016148315,0.0295282360983,1,1
LK1-E09,0.00130607,-0.042709719212800014,0,1
LK5-D04,-0.008201942,-0.0471176436217,0,0
LK2-E12,-0.003211055,-0.0657930224976,0,0
LK3-B10,0.060567274,-0.0576953022308,0,0
LK5-D05,0.039769121,-0.0693547615283,0,0
LK5-C11,-0.07890419900000001,0.0216422078266,1,1
LK2-F04,0.06440686799999999,-0.0472242694021,0,1
LK1-C09,0.097834819,-0.0536958641946,0,1
LK3-B03,0.020432307,-0.0694168322078,0,0
LK6-D07,-0.067901009,0.0318377399778,1,1
LK1-G11,0.02621332,-0.0391104763262,0,0
LK1-B04,-0.09425094,0.021650872182400003,1,1
LK1-E04,0.010654118,-0.0449730206329,0,0
LK2-A12,-0.029611706,0.0102919824567,1,0
LK4-H11,-0.043349795,0.0237531771557,1,1
LK4-A12,0.044940192,-0.0578530297286,0,0
LK1-A09,-0.063297996,0.0154627118595,1,1
LK6-C11,0.079424925,-0.0603372955622,0,1
LK5-A07,0.022318946,-0.0545623730655,0,0
LK6-A11,-0.101157306,0.0283827619456,1,1
LK5-D09,0.003683436,-0.0188431876029,0,0
LK5-G09,0.000908654,-0.0838748079413,0,0
LK1-G08,-0.076569198,0.0383289409244,1,0
LK4-B12,-0.022692414,0.0281018169683,1,1
LK5-A04,0.032954446,-0.0530451008589,0,0
LK3-C12,0.004518577,-0.0557168145416,0,0
LK2-B07,-0.00378999,-0.0594257951547,0,0
LK3-H10,0.004132024000000001,-0.0571360854141,0,0
LK4-G09,-0.050985005,0.0275468277072,1,0
LK3-B08,0.001601827,-0.0591556493048,0,0
LK1-H04,-0.07081425599999999,0.0218006540828,1,0
LK2-A07,0.005623133000000001,0.036104194542400006,1,1
LK5-E08,-0.06663271,-0.0516842859255,0,0
LK3-F06,-0.125231999,0.0225435796703,1,1
LK3-C08,0.080039068,-0.0645690156633,0,1
LK4-B05,-0.055145456,0.0236115629576,1,1
LK2-A10,-0.06981008799999999,0.0275745864249,1,1
LK4-E03,0.013554151,-0.0579043462572,0,0
LK1-A05,0.07181288400000001,-0.0570502202329,0,1
LK4-D01,0.011072576,-0.0438978120923,0,1
LK6-A03,-0.071606045,0.022918754075,1,1
LK2-E07,0.021067245,-0.06843518075709999,0,0
LK5-G01,-0.097400427,0.021157980178700003,1,1
LK3-B11,-0.030885663,0.0228380345011,1,0
LK3-F10,0.031324745,-0.0424739000964,0,1
LK5-A05,0.006670793,-0.0591775149592,0,0
LK3-H11,-0.037647523,0.0138764203806,1,1
LK6-C12,0.049026118,-0.0728791848059,0,0
LK5-B07,-0.12667103400000002,0.013356550211200002,1,0
LK3-B12,-0.069789932,0.00918202467409,1,0
LK1-B01,0.007985589,-0.0481167734968,0,0
LK1-B05,-0.051014885,0.0225733576723,1,1
LK3-C11,-0.024302582000000003,0.0160862546247,1,1
LK3-G01,0.001125763,-0.0582011157163,0,0
LK5-F01,0.029027435,-0.0707253118029,0,0
LK3-H08,-0.066259295,0.0197761181585,1,1
LK2-B05,0.038236482,-0.0352534641066,0,0
LK2-B04,0.068553692,-0.064896396617,0,1
LK3-D05,-0.097416376,0.023052074649400005,1,1
