Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.021970913865,1,2
LK3-G08,0.093805708,-0.047415098529000006,0,2
LK2-G07,-0.019194571,-0.0279375859995,0,2
LK4-H03,0.02296139,-0.0723832672573,0,2
LK4-D11,-0.060829465,-0.0121264833715,1,2
LK3-E06,0.032744933,-0.056094062171,0,2
LK1-D12,-0.057403752,0.00927628617984,1,2
LK6-C05,-0.059662381,-0.0453895289232,1,2
LK4-C09,-0.087799295,-0.038280374766,0,2
LK5-C04,0.054950025,-0.033564185406,0,2
LK1-B03,-0.061280442,-0.0411182008305,1,2
LK5-H12,-0.023919485,-0.0182341367696,1,2
LK4-B08,-0.063909414,-0.0314212887356,1,2
LK6-F03,-0.109289121,-0.070788965253,1,2
LK6-B05,-0.006164366,-0.034961013832900005,0,2
LK2-A11,-0.12701237599999998,-0.0280888886952,1,2
LK5-H02,-0.034306781,-0.00231429802095,1,2
LK1-F05,0.046509142,-0.050182373815800006,0,2
LK4-H12,-0.062143255,-0.00242588433048,1,2
LK6-D05,-0.043812384,-0.0292197518984,1,2
LK1-A02,0.074568945,-0.0631238581838,0,2
LK5-B01,-0.069096858,-0.0215403212686,1,2
LK5-F10,-0.092640198,-0.0282501998855,1,2
LK5-C03,-0.034896086,-0.028013841862,1,2
LK6-A09,-0.118694117,-0.0395740226239,1,2
LK1-B08,-0.092333836,-0.022487407433,1,2
LK3-H03,-0.049118176,-0.0129415984546,1,2
LK4-B01,-0.060980824,-0.050588374806,1,2
LK4-B06,-0.0073895240000000015,-0.051526684126900014,0,2
LK3-B02,-0.061936905999999986,-0.0220688502798,1,2
LK5-E09,-0.014933995,-0.0287162441491,1,2
LK2-C05,-0.072951481,-0.0020669102731800003,1,2
LK5-D04,-0.008201942,-0.0561716452848,0,2
LK2-E12,-0.003211055,-0.0659973030259,0,2
LK5-C11,-0.07890419900000001,-0.0197870505574,1,2
LK1-B04,-0.09425094,-0.0294681603706,1,2
LK1-E04,0.010654118,-0.08147156339049999,0,2
LK2-A12,-0.029611706,-0.0518890042853,1,2
LK4-H11,-0.043349795,-0.0261293633977,1,2
LK4-A12,0.044940192,-0.102960747091,0,2
LK1-A09,-0.063297996,-0.00705171918341,1,2
LK5-A07,0.022318946,-0.0533731873936,0,2
LK6-A11,-0.101157306,-0.0204022228462,1,2
LK5-D09,0.003683436,-0.0278348936041,0,2
LK4-B12,-0.022692414,-0.0384580718307,1,2
LK5-A04,0.032954446,-0.020508141811,0,2
LK3-C12,0.004518577,-0.0626774750014,0,2
LK2-B07,-0.00378999,-0.044168018650400015,0,2
LK4-G09,-0.050985005,-0.030291143818200007,1,2
LK3-B08,0.001601827,-0.0238141999406,0,2
LK1-H04,-0.07081425599999999,-0.048001447800400006,1,2
LK2-A07,0.005623133000000001,0.000644914202603,1,2
LK3-F06,-0.125231999,-0.0025117486223100003,1,2
LK4-E03,0.013554151,-0.0446298133139,0,2
LK4-D01,0.011072576,-0.0522775066752,0,2
LK3-F10,0.031324745,-0.0134585598075,0,2
LK5-A05,0.006670793,-0.0446919084439,0,2
LK3-H11,-0.037647523,-0.036210358443900005,1,2
LK6-C12,0.049026118,-0.0685748224216,0,2
LK5-B07,-0.12667103400000002,-0.0139421659204,1,2
LK1-B01,0.007985589,-0.0677581995624,0,2
LK1-B05,-0.051014885,-0.0252138711514,1,2
LK3-C11,-0.024302582000000003,-0.0118534199367,1,2
LK3-G01,0.001125763,-0.0568428576966,0,2
LK2-B04,0.068553692,-0.0577203292432,0,2
LK3-D05,-0.097416376,-0.025828521523,1,2
LK5-B05,-0.068647456,-0.017857110171599997,1,2
LK2-A05,-0.07650302099999999,-0.0395584767484,1,2
LK4-H10,-0.01690951,-0.0440844420674,0,2
LK3-H06,0.010126796,-0.0745847321896,0,2
LK5-F03,-0.061319714,-0.0109821867555,1,2
LK5-A03,0.030986837000000007,-0.0597169971174,0,2
LK5-D03,0.072367787,-0.029774314087400007,0,2
LK1-G12,-0.066683388,-0.0126642430391,1,2
LK5-F07,0.057171065,-0.0311185404401,0,2
LK4-C10,-0.045171086,-0.005991752498979999,1,2
LK6-A05,0.006446217,-0.0344464572717,0,2
LK3-G11,-0.041289604,-0.00354295341679,1,2
LK3-C09,-0.003210792,-0.0358846047855,1,2
LK5-D08,0.032239849,-0.0306583889482,1,2
LK4-E01,0.007107061,-0.0140323384222,1,2
LK2-E08,-0.01185898,-0.0167028194458,1,2
LK3-A07,-0.008287901,0.00621234664505,0,2
LK1-C07,0.00115568,-0.043134882489800006,0,2
LK3-D09,-0.077437477,-0.051136868494,1,2
LK1-G09,-0.110538363,-0.0166820424845,1,2
LK2-D09,-0.04650311,-0.00458545854128,1,2
LK1-D06,-0.060605349,-0.00974066365494,1,2
LK2-D05,-0.040989887,0.0040228645811,1,2
LK3-D04,-0.058895829,-0.0381088826758,1,2
LK2-A01,-0.003379405,-0.00536077219704,0,2
LK2-G10,-0.005487313000000001,-0.034397317522900005,1,2
