Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.193399132613,0,2
LK5-C04,0.054950025,-0.160259536673,0,2
LK6-B05,-0.006164366,-0.148848577363,0,2
LK2-A11,-0.12701237599999998,-0.015341214516100004,1,2
LK5-H02,-0.034306781,-0.119234568143,1,2
LK1-F05,0.046509142,-0.204088343411,0,2
LK6-B10,0.029777903,-0.148390924871,0,2
LK5-B01,-0.069096858,-0.13570923524800002,0,2
LK5-F10,-0.092640198,-0.192331918243,0,2
LK2-C05,-0.072951481,-0.175665667878,0,2
LK5-D04,-0.008201942,-0.10282305499,1,2
LK2-F04,0.06440686799999999,-0.106521669651,0,2
LK1-C09,0.097834819,-0.186310876833,0,2
LK3-B03,0.020432307,-0.13831193274,1,2
LK1-G11,0.02621332,-0.145199576866,1,2
LK1-E04,0.010654118,-0.197787913946,0,2
LK4-H11,-0.043349795,-0.131614001158,1,2
LK4-A12,0.044940192,-0.12263339678,0,2
LK6-C11,0.079424925,-0.19886339761,0,2
LK5-A07,0.022318946,-0.179973905489,0,2
LK5-D09,0.003683436,-0.0722765342057,1,2
LK5-A04,0.032954446,-0.11549997439,1,2
LK3-C12,0.004518577,-0.140565114242,1,2
LK2-B07,-0.00378999,-0.118507378119,1,2
LK3-B08,0.001601827,-0.0897905453487,1,2
LK4-E03,0.013554151,-0.145687209339,1,2
LK5-A05,0.006670793,-0.08412329780919997,1,2
LK6-C12,0.049026118,-0.189378060443,0,2
LK2-B05,0.038236482,-0.237043928755,0,2
LK1-A06,0.031765912,-0.200689753363,0,2
LK3-H06,0.010126796,-0.17277329847,0,2
LK5-A03,0.030986837000000007,-0.164502165254,0,2
LK5-F07,0.057171065,-0.130836551717,0,2
LK6-A05,0.006446217,-0.115811042261,1,2
LK4-E01,0.007107061,-0.216260949303,0,2
LK3-A07,-0.008287901,-0.102984455147,1,2
LK3-H05,0.017018613000000002,-0.143596054671,0,2
LK3-A01,0.019923344,-0.183964470137,1,2
LK3-C06,0.010954336,-0.0617442283819,1,2
LK2-A01,-0.003379405,-0.17417035324900002,0,2
