Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK1-D12,-0.057403752,-0.0135979113237,2,2
LK6-C05,-0.059662381,-0.0040895509366,2,2
LK1-B03,-0.061280442,-0.000137290846696,2,2
LK4-B03,-0.037788014,-0.0815935237508,2,2
LK6-F03,-0.109289121,-0.0292288014676,2,2
LK6-E02,-0.107711445,-0.005796758379140001,2,2
LK6-A10,-0.087805455,-0.0437675745959,2,2
LK3-D01,0.066184564,-0.0211273792803,2,2
LK5-G03,-0.061380255,-0.0221407557439,2,2
LK5-F08,0.015046178,-0.0410935906369,2,2
LK5-C01,-0.035507118,-0.0211863807368,2,2
LK5-B01,-0.069096858,-0.020619848885700003,2,2
LK6-A09,-0.118694117,0.016071294999,2,2
LK6-D06,-0.063374275,-0.010982058773100002,2,2
LK3-G10,-0.05011661,-0.0212493848404,2,2
LK1-E09,0.00130607,-0.0706805150119,2,2
LK5-D04,-0.008201942,-0.0641194083164,2,2
LK5-D05,0.039769121,-0.0181590900812,2,2
LK5-C11,-0.07890419900000001,-0.0144524691318,2,2
LK2-F04,0.06440686799999999,-0.0815454030864,2,2
LK6-D07,-0.067901009,-0.031323085574,2,2
LK1-E04,0.010654118,-0.0214696293824,2,2
LK2-A12,-0.029611706,-0.047463427028,2,2
LK4-H11,-0.043349795,-0.0712006434666,2,2
LK6-C11,0.079424925,-0.0528072657006,2,2
LK5-A07,0.022318946,-0.0442153043532,2,2
LK6-A11,-0.101157306,-0.0370071117622,2,2
LK1-G08,-0.076569198,0.0114573143081,2,2
LK4-B12,-0.022692414,-0.0511195957627,2,2
LK3-C12,0.004518577,-0.0406601887099,2,2
LK4-G09,-0.050985005,0.00182376987655,2,2
LK2-A07,0.005623133000000001,-0.0485925620335,2,2
LK5-E08,-0.06663271,-0.0217927559968,2,2
LK4-B05,-0.055145456,-0.0207050231928,2,2
LK2-A10,-0.06981008799999999,-0.00696184459778,2,2
LK6-A03,-0.071606045,-0.0039526258372600005,2,2
LK5-G01,-0.097400427,-0.0217595174075,2,2
LK3-B11,-0.030885663,-0.0198267338615,2,2
LK6-C12,0.049026118,-0.0535943913006,2,2
LK1-B05,-0.051014885,-0.000954364034908,2,2
LK2-B05,0.038236482,-0.0289763666542,2,2
LK3-D05,-0.097416376,0.00972374583653,2,2
LK6-A07,-0.043732835,-0.0205213464921,2,2
LK1-A06,0.031765912,-0.0607197225051,2,2
LK2-A05,-0.07650302099999999,-0.0133876031771,2,2
LK3-C09,-0.003210792,-0.005074865124520001,2,2
LK6-C02,-0.010438455,-0.0843486360887,2,2
LK3-H05,0.017018613000000002,-0.0170861476583,2,2
LK1-C07,0.00115568,-0.0428624664881,2,2
LK3-D09,-0.077437477,-0.0259404869868,2,2
LK3-A01,0.019923344,-0.053949123935699984,2,2
LK1-C11,0.03763259,-0.05990330473,2,2
LK1-G03,0.044068065,-0.0424315530413,2,2
LK2-A01,-0.003379405,-0.00105172839817,2,2
