Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.015778428068899997,0,1
LK3-G08,0.093805708,-0.00208846867361,0,1
LK2-G07,-0.019194571,-0.009069427717190002,1,0
LK4-H03,0.02296139,-0.0108578820663,0,0
LK4-D11,-0.060829465,-0.0137317598599,0,1
LK3-E06,0.032744933,-0.00628382843739,0,0
LK1-D12,-0.057403752,-0.0112797998776,1,1
LK6-C05,-0.059662381,-0.0185396404753,1,1
LK4-C09,-0.087799295,-0.003568953465300001,0,0
LK5-C04,0.054950025,-0.0227208394508,1,0
LK1-B03,-0.061280442,-0.00787738487663,0,1
LK3-A05,-0.033288214,0.00328190721999,0,1
LK4-B03,-0.037788014,-0.0021597720162100003,0,0
LK5-B06,-0.068915324,-0.045141411208600005,0,0
LK1-D08,-0.008491259000000001,-0.021297907394500003,0,0
LK5-H12,-0.023919485,-0.015674522856,0,0
LK1-E01,-0.043467154,-0.0135427551454,0,1
LK3-D08,0.023624539,-0.0196839591373,1,0
LK4-B08,-0.063909414,-0.0215948857348,1,1
LK6-B07,-0.016711953,-0.00967532113827,0,1
LK6-F03,-0.109289121,-0.0195143243255,1,0
LK6-B05,-0.006164366,-0.033361221293900005,0,0
LK6-E02,-0.107711445,-0.0202617612247,1,0
LK2-A11,-0.12701237599999998,-0.0435098527339,1,0
LK5-H02,-0.034306781,-0.00944798131168,1,1
LK6-A10,-0.087805455,-0.00400337196559,0,1
LK3-D01,0.066184564,-0.00512291891963,0,0
LK3-G02,-0.021250726,-0.0177342716522,1,1
LK5-G03,-0.061380255,-0.0184624316087,0,0
LK1-F05,0.046509142,-0.0306659300252,0,0
LK4-H12,-0.062143255,-0.0182432067965,1,1
LK6-B10,0.029777903,-0.0280482144455,0,0
LK6-D05,-0.043812384,-0.00964597622591,1,1
LK1-A02,0.074568945,-0.0154676472651,1,1
LK5-F08,0.015046178,-0.0387340722403,0,0
LK6-B09,-0.06491301099999999,-0.007827111358079999,0,1
LK4-D02,-0.026555348,-0.00730641837189,0,1
LK5-C01,-0.035507118,-0.0105074083993,0,1
LK5-B01,-0.069096858,0.000521334750174,0,1
LK5-F10,-0.092640198,-0.0398903691151,1,0
LK5-C03,-0.034896086,-0.00753620475062,0,0
LK3-C04,-0.021324099,-0.0191469413749,0,0
LK1-B08,-0.092333836,-0.021555796007,1,1
LK6-D06,-0.063374275,-0.00318045120337,1,1
LK2-C09,-0.029181055,-0.005033651443220001,1,1
LK4-B01,-0.060980824,-0.0233579753431,1,1
LK3-B02,-0.061936905999999986,-0.00582514811673,1,0
LK3-G10,-0.05011661,-0.00755707001485,1,1
LK5-E09,-0.014933995,-0.018893353001700003,1,1
LK2-C05,-0.072951481,-0.015292991012299997,1,0
LK5-H07,-0.016148315,-0.00769353173737,0,1
LK1-E09,0.00130607,-0.00552414077786,0,1
LK5-D04,-0.008201942,-0.08912000364560001,1,0
LK2-E12,-0.003211055,-0.00867783027978,1,0
LK3-B10,0.060567274,-0.049574602799000014,1,0
LK5-D05,0.039769121,-0.0187069988939,0,0
LK5-C11,-0.07890419900000001,-0.007437221774810002,1,1
LK2-F04,0.06440686799999999,-0.0327609714077,0,0
LK1-C09,0.097834819,-0.00926230527742,0,1
LK3-B03,0.020432307,-0.00650905045847,0,0
LK6-D07,-0.067901009,-0.0150618999072,1,1
LK1-G11,0.02621332,-0.0273563681976,1,0
LK1-B04,-0.09425094,-0.00757231709555,1,1
LK1-E04,0.010654118,-0.0428527904427,1,0
LK2-A12,-0.029611706,-0.0187117502769,0,0
LK4-H11,-0.043349795,-0.0250308352477,1,1
LK4-A12,0.044940192,-0.00168620780475,0,0
LK1-A09,-0.063297996,-0.000678433696413,0,1
LK6-C11,0.079424925,-0.0225932749634,1,1
LK5-A07,0.022318946,-0.0240545281161,1,0
LK6-A11,-0.101157306,0.00144105863948,0,1
