Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0341011149116,1,2
LK3-G08,0.093805708,-0.0152034951369,0,2
LK2-G07,-0.019194571,0.0073223711606400016,0,2
LK4-D11,-0.060829465,-0.0172990253266,1,2
LK3-E06,0.032744933,-0.0126063337305,0,2
LK1-D12,-0.057403752,-0.0181615094328,1,2
LK6-C05,-0.059662381,-0.0240097082405,1,2
LK4-C09,-0.087799295,-0.0388935559062,1,2
LK5-C04,0.054950025,-0.025948736686,0,2
LK1-B03,-0.061280442,-0.0368949121171,1,2
LK3-A05,-0.033288214,-0.00295089761012,0,2
LK4-B03,-0.037788014,-0.0252683014828,1,2
LK5-B06,-0.068915324,-0.0332793897053,1,2
LK1-D08,-0.008491259000000001,-0.00429677980136,0,2
LK5-H12,-0.023919485,-0.0298935795852,1,2
LK4-B08,-0.063909414,-0.0187326114934,1,2
LK6-B07,-0.016711953,-0.0379974474407,1,2
LK6-F03,-0.109289121,-0.0339090549413,1,2
LK6-B05,-0.006164366,-0.0197112514425,0,2
LK6-E02,-0.107711445,-0.040248164407800005,1,2
LK2-A11,-0.12701237599999998,-0.0132961075219,1,2
LK5-H02,-0.034306781,-0.0309984592093,1,2
LK6-A10,-0.087805455,-0.0227341113953,1,2
LK3-D01,0.066184564,-0.00106479983707,0,2
LK5-G03,-0.061380255,-0.0038788276202,1,2
LK1-F05,0.046509142,-0.0156722576747,0,2
LK4-H12,-0.062143255,-0.0136000463694,1,2
LK6-B10,0.029777903,-0.00994407549899,0,2
LK6-D05,-0.043812384,-0.0341671434832,1,2
LK1-A02,0.074568945,-0.0234992700207,1,2
LK5-F08,0.015046178,-0.0307561392965,0,2
LK6-B09,-0.06491301099999999,-0.0210983143557,1,2
LK5-C01,-0.035507118,-0.0380427377222,1,2
LK5-B01,-0.069096858,-0.024164264832,1,2
LK5-F10,-0.092640198,-0.027642338946000003,1,2
LK5-C03,-0.034896086,-0.0351273696096,1,2
LK3-C04,-0.021324099,-0.0329758859124,0,2
LK1-B08,-0.092333836,-0.00905067240969,1,2
LK6-D06,-0.063374275,-0.0183177774442,1,2
LK4-B01,-0.060980824,-0.0159616546514,1,2
LK3-B02,-0.061936905999999986,-0.034388197892,1,2
LK3-G10,-0.05011661,-0.0269327862012,1,2
LK5-E09,-0.014933995,-0.0188927005883,1,2
LK2-C05,-0.072951481,-0.02654731942,1,2
LK5-H07,-0.016148315,-0.016605071981899998,1,2
LK5-D04,-0.008201942,-0.00752402025684,0,2
LK2-E12,-0.003211055,0.00329657115497,0,2
LK3-B10,0.060567274,-0.0228787660606,0,2
LK5-D05,0.039769121,-0.016051786795299998,0,2
LK5-C11,-0.07890419900000001,-0.0128886011107,1,2
LK2-F04,0.06440686799999999,-0.017700815898799998,0,2
LK1-C09,0.097834819,-0.00120881250865,0,2
LK3-B03,0.020432307,0.00744461178511,0,2
LK6-D07,-0.067901009,-0.0592536127657,1,2
LK1-G11,0.02621332,-0.0139410706265,0,2
LK1-B04,-0.09425094,-0.017764162634199998,1,2
LK1-E04,0.010654118,-0.00119511143398,0,2
LK2-A12,-0.029611706,-0.0319369219695,1,2
LK4-H11,-0.043349795,-0.008350674808529999,1,2
LK4-A12,0.044940192,-0.029645761536500007,0,2
LK1-A09,-0.063297996,-0.0285214044382,1,2
LK6-C11,0.079424925,-0.00592872613011,0,2
LK5-A07,0.022318946,-0.0216291672576,0,2
LK6-A11,-0.101157306,-0.00409535704153,0,2
LK5-D09,0.003683436,-0.0006890694871889999,0,2
