Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.032615658114,1,1
LK3-G08,0.093805708,0.00673711266918,0,0
LK2-G07,-0.019194571,0.0131315104567,0,0
LK4-H03,0.02296139,0.00371724708091,0,1
LK4-D11,-0.060829465,0.049353520342,1,1
LK3-E06,0.032744933,-0.0170480141288,0,0
LK1-D12,-0.057403752,0.0488529515259,1,0
LK6-C05,-0.059662381,0.0419709328843,1,0
LK4-C09,-0.087799295,0.035070803683500004,1,0
LK5-C04,0.054950025,-0.0109007200038,0,1
LK1-B03,-0.061280442,0.062937287087,1,0
LK4-B03,-0.037788014,0.028977906897400006,1,1
LK5-B06,-0.068915324,0.0563510430839,1,0
LK1-D08,-0.008491259000000001,0.015335458515600003,0,0
LK5-H12,-0.023919485,0.0412293873897,1,0
LK1-E01,-0.043467154,0.0349946431882,1,0
LK3-D08,0.023624539,0.0110866720237,0,0
LK4-B08,-0.063909414,0.040929468044300005,1,0
LK6-B07,-0.016711953,0.0272853644055,1,1
LK6-F03,-0.109289121,0.050942731953,1,0
LK6-B05,-0.006164366,-0.0160224812523,0,1
LK6-E02,-0.107711445,0.0363983651552,1,0
LK2-A11,-0.12701237599999998,0.042383735245000005,1,0
LK5-H02,-0.034306781,0.037284389842800005,1,1
LK6-A10,-0.087805455,0.0747113984297,1,0
LK3-D01,0.066184564,0.000244777904104,0,1
LK3-G02,-0.021250726,0.0209511936243,0,1
LK5-G03,-0.061380255,0.0534400809679,1,0
LK1-F05,0.046509142,-0.00712957462549,0,1
LK4-H12,-0.062143255,0.0414763782214,1,0
LK6-B10,0.029777903,0.018839841235,0,0
LK6-D05,-0.043812384,0.0612837850073,1,1
LK1-A02,0.074568945,0.00470286088107,0,0
LK5-F08,0.015046178,0.0193969681726,0,0
LK6-B09,-0.06491301099999999,0.0422850973778,1,0
LK5-C01,-0.035507118,0.0371871780426,1,1
LK5-B01,-0.069096858,0.052468412116800006,1,0
LK5-F10,-0.092640198,0.0351904943913,1,0
LK5-C03,-0.034896086,0.039660850603300005,1,1
LK2-F11,0.035349227000000004,0.0347348663626,0,0
LK6-A09,-0.118694117,0.0797777513192,1,0
LK3-C04,-0.021324099,-0.00821327126066,0,1
LK1-B08,-0.092333836,0.0153494337228,1,1
LK6-D06,-0.063374275,0.0436918633081,1,1
LK4-B01,-0.060980824,0.0516692820617,1,0
LK4-G05,-0.078376922,0.0409940332103,1,1
LK3-B02,-0.061936905999999986,0.011496554869799998,1,1
LK3-G10,-0.05011661,0.0288703449101,1,1
LK5-E09,-0.014933995,0.0586945150384,1,0
LK2-C05,-0.072951481,0.028392295699400005,1,1
LK5-H07,-0.016148315,0.027443565978700003,1,1
LK1-E09,0.00130607,0.0159176274116,0,1
LK5-D04,-0.008201942,0.00443389525099,0,0
LK2-E12,-0.003211055,0.0217656341885,0,0
LK3-B10,0.060567274,-0.00280380876418,0,1
LK5-D05,0.039769121,-0.0114596130759,0,1
LK5-C11,-0.07890419900000001,0.0392701105572,1,0
LK2-F04,0.06440686799999999,0.005287618126439999,0,0
LK1-C09,0.097834819,-0.000977526154085,0,1
LK3-B03,0.020432307,0.0107204410745,0,0
LK6-D07,-0.067901009,0.0555386378928,1,0
LK1-G11,0.02621332,-0.0172968265347,0,1
LK1-B04,-0.09425094,0.0492256054918,1,0
LK1-E04,0.010654118,0.0165726087531,0,0
LK2-A12,-0.029611706,0.00748609597609,1,1
LK4-H11,-0.043349795,0.039063777032800014,1,0
LK4-A12,0.044940192,-0.00784025810225,0,0
LK1-A09,-0.063297996,0.027223195864,1,0
LK5-A07,0.022318946,0.0030580132798,0,1
LK6-A11,-0.101157306,0.053800452466,1,0
LK5-D09,0.003683436,0.0711743467992,0,0
LK5-G09,0.000908654,0.00882311760135,0,1
LK1-G08,-0.076569198,0.0387635603343,1,1
LK4-B12,-0.022692414,0.0331111414139,1,1
LK5-A04,0.032954446,0.00365297480022,0,1
LK3-C12,0.004518577,0.00405907067388,0,1
LK2-B07,-0.00378999,0.006622824987879999,0,1
LK3-H10,0.004132024000000001,0.016794287898,0,0
LK4-G09,-0.050985005,0.0387942281909,1,0
LK3-B08,0.001601827,0.015617984978,0,1
LK2-A07,0.005623133000000001,0.0479908693614,1,1
LK5-E08,-0.06663271,0.00291763323008,0,1
LK3-F06,-0.125231999,0.0533309266407,1,0
LK4-B05,-0.055145456,0.0505497662135,1,1
LK2-A10,-0.06981008799999999,0.0564249999518,1,1
LK4-E03,0.013554151,0.00063101403681,0,1
LK1-A05,0.07181288400000001,0.0133002880265,0,0
LK4-D01,0.011072576,0.0193244161365,0,1
LK6-A03,-0.071606045,0.0657563992774,1,0
LK5-G01,-0.097400427,0.0446194720547,1,0
LK3-B11,-0.030885663,0.0203563773821,1,0
LK3-F10,0.031324745,0.0124637369151,0,1
LK5-A05,0.006670793,-0.0112815531714,0,1
LK3-H11,-0.037647523,0.0408148016038,1,0
LK6-C12,0.049026118,0.00830142677825,0,0
LK5-B07,-0.12667103400000002,0.0378667236718,1,1
LK3-B12,-0.069789932,0.0569611458864,1,0
LK1-B01,0.007985589,-0.00531521618595,0,1
LK1-B05,-0.051014885,0.0630496208899,1,0
LK3-C11,-0.024302582000000003,0.0589823768537,1,0
LK3-G01,0.001125763,-0.013195146405,0,1
LK5-F01,0.029027435,0.00997731430814,0,0
LK2-B05,0.038236482,0.00296643713388,0,1
LK2-B04,0.068553692,0.00186970982957,0,1
LK3-D05,-0.097416376,0.0757883808309,1,0
LK5-B05,-0.068647456,0.0503955188804,1,0
LK6-A07,-0.043732835,-0.016228852226100002,0,1
LK1-A06,0.031765912,-0.013969172324299998,0,1
LK2-A05,-0.07650302099999999,0.0501613874632,1,0
LK2-F07,-0.012979132,0.00403749358131,0,0
LK4-H10,-0.01690951,0.0005766362636000001,0,1
LK3-H06,0.010126796,-0.0007523382415899999,0,0
LK5-F03,-0.061319714,0.0547174453277,1,1
LK5-E01,-0.08983357800000001,0.0550838201312,1,1
LK5-A03,0.030986837000000007,0.0269701995477,0,0
LK5-D03,0.072367787,0.00805234356199,0,1
LK1-G12,-0.066683388,0.0481059008471,1,0
LK5-F07,0.057171065,0.00149803456534,0,1
LK4-C10,-0.045171086,0.0625051937736,1,1
LK2-A06,-0.08736029599999999,0.054283709479800005,1,0
LK6-A05,0.006446217,0.0200496675264,0,1
LK3-G11,-0.041289604,0.0353265054351,1,0
LK3-C09,-0.003210792,0.047133718256699986,1,0
LK5-D08,0.032239849,0.0339811647162,1,0
LK4-E01,0.007107061,0.043149610836,1,0
LK1-D02,-0.03975231,0.0583824478001,1,0
LK6-C02,-0.010438455,0.0198656772809,1,1
LK2-E08,-0.01185898,0.0426639298073,1,1
LK3-A07,-0.008287901,0.0141020329476,0,0
LK3-H05,0.017018613000000002,-0.0008348337780980001,0,0
LK1-C07,0.00115568,-0.007757459138140002,0,1
LK1-C06,0.078083465,0.0018940537531,0,1
LK3-D09,-0.077437477,0.0425857995359,1,1
LK1-G09,-0.110538363,0.0382137020216,1,0
LK2-D09,-0.04650311,0.031838723500200006,1,1
LK1-D06,-0.060605349,0.0406037361211,1,0
LK3-A01,0.019923344,0.00595459742646,0,0
LK2-D05,-0.040989887,0.06721637147699999,1,0
LK1-C11,0.03763259,-0.0063932157914200006,0,0
LK1-G03,0.044068065,-0.0076841357419199985,0,1
LK3-D04,-0.058895829,0.0483619646304,1,0
LK3-C06,0.010954336,0.006470059328909999,0,0
LK2-A01,-0.003379405,-0.00882114935376,0,1
LK2-G10,-0.005487313000000001,0.026349653202900003,1,0
