Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.05116442612319999,2,2
LK4-A04,0.036559047,-0.0344873487355,2,2
LK4-H03,0.02296139,-0.034817118406800004,2,2
LK4-D11,-0.060829465,-0.0358337533322,2,2
LK3-E06,0.032744933,0.0158857648458,2,2
LK1-D12,-0.057403752,-0.0272812653247,2,2
LK6-C05,-0.059662381,-0.024701295044400003,2,2
LK5-C04,0.054950025,-0.0393107979628,2,2
LK3-A05,-0.033288214,-0.0122869835087,2,2
LK1-D08,-0.008491259000000001,-0.0507088929242,2,2
LK5-H12,-0.023919485,-0.0396991902567,2,2
LK1-E01,-0.043467154,-0.0328366409156,2,2
LK3-D08,0.023624539,-0.0472649557317,2,2
LK4-B08,-0.063909414,-0.0391510896327,2,2
LK6-B07,-0.016711953,-0.0350130304646,2,2
LK6-F03,-0.109289121,-0.0276122095493,2,2
LK6-B05,-0.006164366,-0.0470165454832,2,2
LK6-E02,-0.107711445,0.0015748401293499998,2,2
LK2-A11,-0.12701237599999998,-0.021896751817400004,2,2
LK5-H02,-0.034306781,-0.0496254118536,2,2
LK6-A10,-0.087805455,-0.0128172736083,2,2
LK3-D01,0.066184564,-0.00496157063937,2,2
LK3-G02,-0.021250726,-0.036257287620300005,2,2
LK1-F05,0.046509142,-0.0322051205462,2,2
LK4-H12,-0.062143255,-0.0327807016758,2,2
LK1-A02,0.074568945,-0.017736453380900002,2,2
LK5-F08,0.015046178,-0.0336707542203,2,2
LK5-F10,-0.092640198,-0.0251482919615,2,2
LK5-C03,-0.034896086,-0.0217676300078,2,2
LK1-B08,-0.092333836,-0.0396027363062,2,2
LK3-H03,-0.049118176,-0.0267048855986,2,2
LK6-D06,-0.063374275,-0.0208997134497,2,2
LK2-C09,-0.029181055,0.0325902878882,2,2
LK5-E09,-0.014933995,-0.0576047308748,2,2
LK2-C05,-0.072951481,-0.0372777309212,2,2
LK1-E09,0.00130607,-0.0382502863685,2,2
LK5-D04,-0.008201942,-0.0517740898107,2,2
LK2-E12,-0.003211055,-0.0306393970612,2,2
LK3-B10,0.060567274,-0.07458474487769999,2,2
LK5-D05,0.039769121,-0.029552445226500006,2,2
LK5-C11,-0.07890419900000001,-0.008107102933239999,2,2
LK2-F04,0.06440686799999999,-0.0228165097136,2,2
LK1-C09,0.097834819,-0.0157573267237,2,2
LK6-D07,-0.067901009,-0.0231334879893,2,2
LK1-G11,0.02621332,-0.0378229958725,2,2
LK2-A12,-0.029611706,-0.0297955800093,2,2
LK4-H11,-0.043349795,-0.0049095647902200005,2,2
LK4-A12,0.044940192,-0.0484099447507,2,2
LK1-A09,-0.063297996,-0.0469406286838,2,2
LK5-A07,0.022318946,-0.0498149363273,2,2
LK6-A11,-0.101157306,-0.0201647550767,2,2
LK5-D09,0.003683436,-0.031343913686,2,2
LK5-G09,0.000908654,-0.024515954084900003,2,2
LK1-G08,-0.076569198,-0.0299429269266,2,2
LK5-A04,0.032954446,-0.037689246286,2,2
LK3-C12,0.004518577,-0.0322967639896,2,2
LK2-B07,-0.00378999,-0.0464679719197,2,2
LK4-G09,-0.050985005,0.00362898668261,2,2
LK3-B08,0.001601827,-0.0393313088444,2,2
LK2-A07,0.005623133000000001,-0.005719488428140001,2,2
LK5-E08,-0.06663271,0.0009495937135569998,2,2
LK3-F06,-0.125231999,-0.062367214781300015,2,2
LK4-E03,0.013554151,-0.0385289689892,2,2
LK1-A05,0.07181288400000001,-0.07407500047669999,2,2
LK4-D01,0.011072576,-0.0318673729946,2,2
LK2-E07,0.021067245,-0.0275366495443,2,2
LK5-G01,-0.097400427,-0.0419848117555,2,2
LK3-B11,-0.030885663,-0.0224093248741,2,2
LK3-F10,0.031324745,-0.035794211487599994,2,2
LK6-C12,0.049026118,-0.036038118985,2,2
LK5-B07,-0.12667103400000002,-0.034428910710999995,2,2
LK3-G01,0.001125763,-0.047565733825900014,2,2
LK5-F01,0.029027435,-0.0203635378348,2,2
LK2-B05,0.038236482,-0.0171337203334,2,2
LK2-B04,0.068553692,-0.0418840058661,2,2
LK3-D05,-0.097416376,-0.0383006117606,2,2
LK5-B05,-0.068647456,-0.0346308942925,2,2
LK6-A07,-0.043732835,-0.0440053801369,2,2
LK1-A06,0.031765912,-0.0325941065175,2,2
LK2-A05,-0.07650302099999999,-0.0306633885517,2,2
LK2-F07,-0.012979132,-0.05464694387,2,2
LK4-H10,-0.01690951,-0.027103735131,2,2
LK1-G12,-0.066683388,-0.054385348215500014,2,2
LK5-F07,0.057171065,-0.0271448946793,2,2
LK6-A05,0.006446217,-0.0216592803194,2,2
LK3-G11,-0.041289604,-0.0553694200252,2,2
LK3-C09,-0.003210792,-0.07379032181760001,2,2
LK5-D08,0.032239849,-0.0555500014028,2,2
LK6-C02,-0.010438455,-0.0585668263569,2,2
LK3-H05,0.017018613000000002,-0.035361983656000004,2,2
LK1-C07,0.00115568,-0.0260393836125,2,2
LK3-D09,-0.077437477,-0.04028615206,2,2
LK2-D09,-0.04650311,-0.053777242393,2,2
LK3-A01,0.019923344,-0.0171602296265,2,2
LK2-D05,-0.040989887,-0.0751152078883,2,2
LK1-C11,0.03763259,-0.0293728242027,2,2
LK3-D04,-0.058895829,-0.0463748244471,2,2
LK3-C06,0.010954336,-0.0376368617251,2,2
LK2-A01,-0.003379405,-0.033138090360000004,2,2
LK2-G10,-0.005487313000000001,-0.0451249659299,2,2
