Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0390340855033,1,2
LK3-G08,0.093805708,-0.103016968252,1,2
LK4-D11,-0.060829465,-0.0499616038696,1,2
LK3-E06,0.032744933,-0.0974403891242,0,2
LK1-D10,-0.037986439,-0.0428854072066,1,2
LK1-D12,-0.057403752,-0.0462810940701,1,2
LK6-C05,-0.059662381,-0.0507659857917,1,2
LK4-C09,-0.087799295,-0.0358227839221,0,2
LK5-C04,0.054950025,-0.0875320272817,0,2
LK1-B03,-0.061280442,-0.0456099979844,1,2
LK3-A05,-0.033288214,-0.0472356132799,1,2
LK4-B03,-0.037788014,-0.055968527625199986,0,2
LK1-D08,-0.008491259000000001,-0.0595451197065,0,2
LK5-H12,-0.023919485,-0.0507773741845,0,2
LK1-E01,-0.043467154,-0.0422749394799,1,2
LK3-D08,0.023624539,-0.0804804827999,0,2
LK4-B08,-0.063909414,-0.0513014675469,1,2
LK6-B07,-0.016711953,-0.0712873296603,1,2
LK6-F03,-0.109289121,-0.058722877495,0,2
LK6-B05,-0.006164366,-0.0473831585851,0,2
LK6-E02,-0.107711445,-0.0762400164156,0,2
LK2-A11,-0.12701237599999998,-0.0556635525761,0,2
LK5-H02,-0.034306781,-0.0499502655034,1,2
LK6-A10,-0.087805455,-0.0474716045412,1,2
LK3-D01,0.066184564,-0.035587615473300006,0,2
LK5-G03,-0.061380255,-0.0083341663697,0,2
LK1-F05,0.046509142,-0.090641144666,0,2
LK4-H12,-0.062143255,-0.0307876824428,1,2
LK6-B10,0.029777903,-0.0557832257553,0,2
LK6-D05,-0.043812384,-0.0496653395201,1,2
LK1-A02,0.074568945,-0.021225603981,1,2
LK5-F08,0.015046178,-0.0462263901107,0,2
LK5-H08,-0.000319424,-0.0386913976499,0,2
LK6-B09,-0.06491301099999999,-0.0285834730179,1,2
LK4-D02,-0.026555348,-0.0323799771932,1,2
LK5-C01,-0.035507118,-0.0632343625028,1,2
LK5-B01,-0.069096858,-0.0487720651237,1,2
LK5-F10,-0.092640198,-0.053022475719,0,2
LK5-C03,-0.034896086,-0.0478234600424,0,2
LK6-A09,-0.118694117,-0.0382771635525,0,2
LK3-C04,-0.021324099,-0.10137295507,0,2
LK1-B08,-0.092333836,-0.0605832059366,0,2
LK3-H03,-0.049118176,-0.06396367923219999,1,2
LK6-D06,-0.063374275,-0.042847112259800015,1,2
LK2-C09,-0.029181055,-0.0282821083041,1,2
LK4-B01,-0.060980824,-0.0274052037427,1,2
LK4-B06,-0.0073895240000000015,-0.0437193829764,0,2
LK3-B02,-0.061936905999999986,-0.0569803498351,0,2
LK3-G10,-0.05011661,-0.0236418322778,0,2
LK5-E09,-0.014933995,-0.0577500499738,1,2
LK2-C05,-0.072951481,-0.0484354208503,0,2
LK5-H07,-0.016148315,-0.0460011085972,1,2
LK1-E09,0.00130607,-0.0652537008814,1,2
LK5-D04,-0.008201942,-0.0687928329842,0,2
LK2-E12,-0.003211055,-0.0432115201336,0,2
LK3-B10,0.060567274,-0.145075801008,0,2
LK5-D05,0.039769121,-0.0775621342055,0,2
LK5-C11,-0.07890419900000001,-0.0336672788282,1,2
LK2-F04,0.06440686799999999,-0.0443674873734,1,2
LK1-C09,0.097834819,-0.0459226737881,1,2
LK1-G11,0.02621332,-0.122427850141,0,2
LK1-B04,-0.09425094,-0.0220452795916,1,2
LK2-A12,-0.029611706,-0.0528631136508,0,2
LK4-H11,-0.043349795,-0.0394314681298,1,2
LK4-A12,0.044940192,-0.0921350043686,0,2
LK1-A09,-0.063297996,-0.0383566128861,1,2
LK6-C11,0.079424925,-0.0312131595137,1,2
LK5-A07,0.022318946,-0.0995916725349,0,2
LK6-A11,-0.101157306,-0.0276857270885,1,2
LK1-G08,-0.076569198,-0.0508111986377,0,2
LK4-B12,-0.022692414,-0.037781106192,1,2
LK3-C12,0.004518577,-0.0627514388435,0,2
LK2-B07,-0.00378999,-0.051353727889599986,0,2
LK3-H10,0.004132024000000001,-0.093391007482,0,2
LK4-G09,-0.050985005,-0.04918238292,0,2
LK3-B08,0.001601827,-0.0714066755066,0,2
LK1-H04,-0.07081425599999999,-0.122447827436,0,2
LK2-A07,0.005623133000000001,-0.0223866295911,1,2
LK5-E08,-0.06663271,-0.08444497760269999,0,2
LK3-F06,-0.125231999,-0.0529911711241,1,2
LK4-B05,-0.055145456,-0.05727006284630001,1,2
LK2-A10,-0.06981008799999999,-0.0391083960832,1,2
LK4-E03,0.013554151,-0.16498099747,0,2
LK1-A05,0.07181288400000001,-0.0759111516182,0,2
LK6-A03,-0.071606045,-0.0372361627726,1,2
LK2-E07,0.021067245,-0.0810921423294,0,2
LK5-G01,-0.097400427,-0.056095487399900015,1,2
LK3-B11,-0.030885663,-0.0575407030329,0,2
LK3-F10,0.031324745,-0.050879856121500006,1,2
LK5-A05,0.006670793,-0.0887572090277,0,2
LK3-H11,-0.037647523,-0.05899369615190001,1,2
LK6-C12,0.049026118,-0.0885731007458,0,2
LK5-B07,-0.12667103400000002,-0.06945405768289999,0,2
LK3-B12,-0.069789932,-0.0688062374023,0,2
LK1-B05,-0.051014885,-0.0462225025398,1,2
LK3-C11,-0.024302582000000003,-0.047871408575300006,1,2
LK3-G01,0.001125763,-0.147069752254,0,2
LK3-H08,-0.066259295,-0.06991708923619999,1,2
LK2-B05,0.038236482,-0.058729043462,0,2
LK2-B04,0.068553692,-0.054386437670300006,1,2
LK3-D05,-0.097416376,-0.0999827748476,1,2
LK5-B05,-0.068647456,-0.0907355115367,0,2
LK6-A07,-0.043732835,-0.0668288488068,0,2
LK1-A06,0.031765912,-0.0832546643378,0,2
LK2-A05,-0.07650302099999999,-0.0553527047479,1,2
LK4-H10,-0.01690951,-0.0540211819802,0,2
LK5-F03,-0.061319714,-0.0425994004997,1,2
LK5-E01,-0.08983357800000001,-0.0627303275349,1,2
LK5-A03,0.030986837000000007,-0.0513658722951,0,2
LK5-D03,0.072367787,-0.0604291447044,1,2
LK1-G12,-0.066683388,-0.0519655206795,1,2
LK5-F07,0.057171065,-0.0609917232774,0,2
LK4-C10,-0.045171086,-0.0511865547488,1,2
LK2-A06,-0.08736029599999999,-0.0226825780996,1,2
LK6-A05,0.006446217,-0.0905976776061,0,2
LK3-G11,-0.041289604,-0.0519381134478,1,2
LK3-C09,-0.003210792,-0.0728129350613,1,2
LK5-D08,0.032239849,-0.0908403176729,0,2
LK4-E01,0.007107061,-0.0206065674694,1,2
LK1-D02,-0.03975231,-0.0306310026026,1,2
LK6-C02,-0.010438455,-0.040265983208,1,2
LK2-E08,-0.01185898,-0.0378048565438,1,2
LK3-A07,-0.008287901,-0.0377156750446,0,2
LK3-H05,0.017018613000000002,-0.07258133040060001,0,2
LK2-D07,-0.009147778,-0.0747290974737,1,2
LK4-C08,-0.024730103,-0.0652539630066,0,2
LK1-C07,0.00115568,-0.067726563217,0,2
LK1-C06,0.078083465,-0.0405883837263,1,2
LK3-D09,-0.077437477,-0.0213669395726,1,2
LK1-G09,-0.110538363,-0.08326790093980001,1,2
LK2-D09,-0.04650311,-0.0476739651915,1,2
LK1-D06,-0.060605349,-0.0587855295483,1,2
LK3-A01,0.019923344,-0.102539390723,0,2
LK2-D05,-0.040989887,-0.06397055811430001,1,2
LK1-C11,0.03763259,-0.0673379254688,0,2
LK1-G03,0.044068065,-0.0692443975664,0,2
LK3-D04,-0.058895829,-0.046980134868,0,2
LK2-A01,-0.003379405,-0.0511677423711,0,2
LK2-G10,-0.005487313000000001,-0.08872970712230001,1,2
