Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00412117840901,2,2
LK3-G08,0.093805708,0.0033901147768400004,2,2
LK2-G07,-0.019194571,0.021660575172,2,2
LK4-A04,0.036559047,-0.000940210674642,2,2
LK4-D11,-0.060829465,0.00378786871133,2,2
LK3-E06,0.032744933,0.00590714217233,2,2
LK1-D10,-0.037986439,-0.027715472764400003,2,2
LK1-D12,-0.057403752,-0.00125521039823,2,2
LK6-C05,-0.059662381,0.00102146482262,2,2
LK4-C09,-0.087799295,0.0139478654067,2,2
LK5-C04,0.054950025,0.00469949933703,2,2
LK1-B03,-0.061280442,0.00443905849126,2,2
LK3-A05,-0.033288214,0.017020504197799997,2,2
LK4-B03,-0.037788014,0.0145484365731,2,2
LK5-B06,-0.068915324,8.16678816763e-05,2,2
LK1-D08,-0.008491259000000001,0.012571701562700002,2,2
LK5-H12,-0.023919485,0.00909753045888,2,2
LK1-E01,-0.043467154,0.0116374713342,2,2
LK3-D08,0.023624539,0.026061775905400004,2,2
LK4-B08,-0.063909414,0.00324997819318,2,2
LK6-B07,-0.016711953,0.00570698562071,2,2
LK6-F03,-0.109289121,0.0075229060569,2,2
LK6-B05,-0.006164366,0.0122246488852,2,2
LK6-E02,-0.107711445,-0.0032754596756600003,2,2
LK2-A11,-0.12701237599999998,0.00916015802195,2,2
LK5-H02,-0.034306781,0.00569646753184,2,2
LK6-A10,-0.087805455,0.0075653181512399985,2,2
LK3-D01,0.066184564,0.012864367172,2,2
LK3-G02,-0.021250726,0.0136461787326,2,2
LK5-G03,-0.061380255,0.00495496151023,2,2
LK1-F05,0.046509142,0.00336679009013,2,2
LK4-H12,-0.062143255,0.00353781685839,2,2
LK6-B10,0.029777903,0.0080416967581,2,2
LK6-D05,-0.043812384,0.00734642971302,2,2
LK1-A02,0.074568945,0.00283293059603,2,2
LK5-F08,0.015046178,0.00158067834421,2,2
LK6-B09,-0.06491301099999999,0.00619656727413,2,2
LK5-C01,-0.035507118,0.00880073414896,2,2
LK5-B01,-0.069096858,0.00499459663157,2,2
LK5-F10,-0.092640198,0.0105026438092,2,2
LK5-C03,-0.034896086,0.00999686476086,2,2
LK6-A09,-0.118694117,0.000197034641657,2,2
LK3-C04,-0.021324099,-0.017800343587099997,2,2
LK1-B08,-0.092333836,0.0206043247673,2,2
LK6-D06,-0.063374275,0.00162830748495,2,2
LK2-C09,-0.029181055,0.0013692773819400002,2,2
LK4-B01,-0.060980824,0.00309808869631,2,2
LK4-B06,-0.0073895240000000015,0.0159315986017,2,2
LK3-B02,-0.061936905999999986,0.0158950749614,2,2
LK3-G10,-0.05011661,0.015625363205500002,2,2
LK5-E09,-0.014933995,0.006162740359539999,2,2
LK2-C05,-0.072951481,0.00600137340244,2,2
LK5-H07,-0.016148315,0.00365146127286,2,2
LK1-E09,0.00130607,-0.00070675375239,2,2
LK5-D04,-0.008201942,0.0130819386643,2,2
LK3-B10,0.060567274,0.0006650600922610001,2,2
LK5-D05,0.039769121,0.006927221325310001,2,2
LK5-C11,-0.07890419900000001,-0.0006931536868620001,2,2
LK2-F04,0.06440686799999999,0.0035592798521,2,2
LK1-C09,0.097834819,0.00578190326115,2,2
LK3-B03,0.020432307,0.00903397654792,2,2
