Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK1-D12,-0.057403752,0.0126277470652,2,2
LK5-C04,0.054950025,0.00463573472609,2,2
LK1-F05,0.046509142,0.005803299929020001,2,2
LK1-A02,0.074568945,-0.023458105250300003,2,2
LK5-B01,-0.069096858,0.00711612893067,2,2
LK6-D06,-0.063374275,0.00500798583584,2,2
LK4-A12,0.044940192,-0.00493228061586,2,2
LK5-A04,0.032954446,-0.0106862936299,2,2
LK2-A07,0.005623133000000001,0.0154188611402,2,2
LK1-A05,0.07181288400000001,-0.0431773251922,2,2
LK5-G01,-0.097400427,-0.00885032830317,2,2
LK3-B11,-0.030885663,0.00701484292734,2,2
LK1-B05,-0.051014885,-0.0182800443771,2,2
LK2-B05,0.038236482,-0.0024226874967,2,2
LK1-A06,0.031765912,-0.00412139445407,2,2
LK2-A05,-0.07650302099999999,-0.0144922066166,2,2
LK5-F07,0.057171065,-0.0135104418041,2,2
LK3-D09,-0.077437477,-0.005384315433479999,2,2
LK2-D05,-0.040989887,-0.0113548768095,2,2
LK1-C11,0.03763259,-0.0239953070415,2,2
LK1-G03,0.044068065,-0.00483261780092,2,2
LK2-A01,-0.003379405,-0.0372020083267,2,2
