Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0181100338063,1,2
LK3-G08,0.093805708,-0.0117671047917,0,2
LK2-G07,-0.019194571,-0.017294358423599998,1,2
LK4-A04,0.036559047,-0.0165075241987,0,2
LK4-H03,0.02296139,-0.022179827446400003,1,2
LK4-D11,-0.060829465,-0.0152201521223,0,2
LK3-E06,0.032744933,-0.0194755126398,0,2
LK1-D10,-0.037986439,-0.0291405349882,1,2
LK1-D12,-0.057403752,-0.014230337867399996,0,2
LK6-C05,-0.059662381,-0.0131002420109,0,2
LK4-C09,-0.087799295,-0.02407627422,1,2
LK5-C04,0.054950025,-0.0236708636275,0,2
LK1-B03,-0.061280442,-0.0167712749516,0,2
LK3-A05,-0.033288214,-0.0279020747579,1,2
LK4-B03,-0.037788014,-0.0308428315787,1,2
LK5-B06,-0.068915324,-0.0156350835029,0,2
LK1-D08,-0.008491259000000001,-0.0129460819457,1,2
LK5-H12,-0.023919485,-0.0143641023655,1,2
LK1-E01,-0.043467154,-0.0209815312783,1,2
LK3-D08,0.023624539,-0.0155398695571,1,2
LK4-B08,-0.063909414,-0.0245109073961,1,2
LK6-B07,-0.016711953,-0.00999894141269,1,2
LK6-F03,-0.109289121,-0.0151705909755,1,2
LK6-B05,-0.006164366,-0.0075506271558800015,0,2
LK6-E02,-0.107711445,-0.015247420908899996,0,2
LK2-A11,-0.12701237599999998,-0.0108093582816,1,2
LK5-H02,-0.034306781,-0.0127602765256,1,2
LK6-A10,-0.087805455,-0.0258301330717,1,2
LK3-D01,0.066184564,-0.0117640634961,1,2
LK3-G02,-0.021250726,-0.0472930925098,1,2
LK5-G03,-0.061380255,-0.0179913937799,1,2
LK1-F05,0.046509142,-0.0187550883945,0,2
LK4-H12,-0.062143255,-0.0218229660505,1,2
LK6-B10,0.029777903,-0.00925152378232,0,2
LK6-D05,-0.043812384,-0.0244152310799,0,2
LK1-A02,0.074568945,-0.0126023097599,0,2
LK5-F08,0.015046178,-0.0175451319278,1,2
LK6-B09,-0.06491301099999999,-0.013541845396200002,0,2
LK4-D02,-0.026555348,-0.0167007963886,1,2
LK5-C01,-0.035507118,-0.0121312840797,0,2
LK5-B01,-0.069096858,-0.0181214435155,0,2
LK5-F10,-0.092640198,-0.00013515035654,0,2
LK5-C03,-0.034896086,-0.028511702801599995,1,2
LK2-F11,0.035349227000000004,-0.0128086437985,1,2
LK6-A09,-0.118694117,-0.0165989655531,1,2
LK6-E04,-0.042724455,-0.0246078825223,1,2
LK3-C04,-0.021324099,-0.020118174997,1,2
LK1-B08,-0.092333836,-0.0353216487841,1,2
LK4-B07,0.051667858,-0.0184824592948,1,2
LK3-H03,-0.049118176,-0.0236359572193,1,2
LK6-D06,-0.063374275,-0.015693927508200003,0,2
LK2-C09,-0.029181055,-0.0100078913183,0,2
LK4-B01,-0.060980824,-0.0170547039781,0,2
LK4-B06,-0.0073895240000000015,-0.0249102489627,1,2
LK4-G05,-0.078376922,-0.0197719897532,1,2
LK3-B02,-0.061936905999999986,-0.013038125229,1,2
LK3-G10,-0.05011661,-0.0177096223479,1,2
LK5-E09,-0.014933995,-0.0090571169036,0,2
LK2-C05,-0.072951481,-0.0168235591849,0,2
LK5-H07,-0.016148315,-0.0148237846286,1,2
LK1-E09,0.00130607,-0.0170272256424,1,2
LK5-D04,-0.008201942,-0.0132260623125,1,2
LK2-E12,-0.003211055,-0.0233767953459,1,2
LK3-B10,0.060567274,-0.0233173475833,0,2
LK5-D05,0.039769121,-0.0179627767144,1,2
LK5-C11,-0.07890419900000001,-0.00931080611296,0,2
LK2-F04,0.06440686799999999,-0.0090009405048,0,2
LK1-C09,0.097834819,-0.015852338280200003,0,2
LK3-B03,0.020432307,-0.011019920421799998,1,2
LK6-D07,-0.067901009,-0.0131260641341,1,2
LK1-G11,0.02621332,-0.0140009269005,1,2
LK1-B04,-0.09425094,-0.0074037397407,1,2
LK1-E04,0.010654118,-0.0209131593219,0,2
LK2-A12,-0.029611706,-0.00764246827879,0,2
LK4-H11,-0.043349795,-0.0216911526483,1,2
LK4-A12,0.044940192,-0.0101198030512,0,2
LK1-A09,-0.063297996,-0.006549818057970001,0,2
LK6-C11,0.079424925,-0.023477951587400004,1,2
LK5-A07,0.022318946,-0.00845523155269,0,2
LK6-A11,-0.101157306,-0.0160403083565,1,2
LK5-D09,0.003683436,-0.021558416290700003,1,2
LK5-G09,0.000908654,-0.0290252208949,1,2
LK1-G08,-0.076569198,-0.028302319163900008,1,2
LK4-B12,-0.022692414,-0.019604346537,0,2
LK5-A04,0.032954446,-0.0201269816158,1,2
LK3-C12,0.004518577,-0.00707335948522,1,2
LK2-B07,-0.00378999,-0.0102331748254,1,2
LK3-H10,0.004132024000000001,-0.0208936243478,1,2
LK4-G09,-0.050985005,-0.0015250119676300002,0,2
LK3-B08,0.001601827,-0.0160796739118,1,2
LK1-H04,-0.07081425599999999,-0.0314850586876,1,2
LK2-A07,0.005623133000000001,-0.0165752288289,0,2
LK5-E08,-0.06663271,-0.0243236355827,1,2
LK3-F06,-0.125231999,-0.0303252251045,1,2
LK3-C08,0.080039068,-0.025505515097,1,2
LK4-B05,-0.055145456,-0.0259019455755,1,2
LK2-A10,-0.06981008799999999,-0.0236282306118,1,2
LK4-E03,0.013554151,-0.0223565644546,1,2
LK1-A05,0.07181288400000001,-0.0121272558943,0,2
LK4-D01,0.011072576,-0.005289504539399999,1,2
LK6-A03,-0.071606045,-0.0212272022173,0,2
LK2-E07,0.021067245,-0.0136121462378,1,2
LK5-G01,-0.097400427,-0.0150943164317,1,2
LK3-B11,-0.030885663,-0.0108254877982,0,2
LK3-F10,0.031324745,-0.0145803899077,1,2
LK5-A05,0.006670793,-0.0203545034289,1,2
LK3-H11,-0.037647523,-0.0403486261526,1,2
LK6-C12,0.049026118,-0.0162315195826,0,2
LK5-B07,-0.12667103400000002,-0.0315726265497,1,2
LK3-B12,-0.069789932,-0.0317322013103,1,2
LK1-B01,0.007985589,0.00689686790285,0,2
LK1-B05,-0.051014885,-0.0069733877595,0,2
LK3-C11,-0.024302582000000003,-0.0155451513885,0,2
LK3-G01,0.001125763,-0.0230196305735,1,2
LK5-F01,0.029027435,-0.0188761603507,1,2
LK3-H08,-0.066259295,-0.019228875973200003,1,2
LK2-B05,0.038236482,-0.0212606549691,0,2
LK2-B04,0.068553692,-0.00705946333602,0,2
