Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0166069158564,1,0
LK2-G07,-0.019194571,-0.0537338785305,0,0
LK4-H03,0.02296139,-0.07185087421360001,0,0
LK4-D11,-0.060829465,-0.0333674249335,1,0
LK3-E06,0.032744933,-0.0042723328421,0,1
LK1-D10,-0.037986439,-0.0728087751828,1,0
LK1-D12,-0.057403752,0.00127191354175,1,0
LK6-C05,-0.059662381,0.00210680717152,1,1
LK4-C09,-0.087799295,-0.0548294662415,0,0
LK5-C04,0.054950025,-0.057733234496599985,0,0
LK1-B03,-0.061280442,0.00443785002416,1,1
LK3-A05,-0.033288214,-0.0154619092723,0,1
LK4-B03,-0.037788014,0.0007592426212680001,1,0
LK1-D08,-0.008491259000000001,-0.120096431298,0,0
LK5-H12,-0.023919485,-0.0265204832974,1,0
LK1-E01,-0.043467154,-0.0402108538176,1,0
LK3-D08,0.023624539,-0.07941958905720001,0,0
LK4-B08,-0.063909414,-0.0274130239627,1,0
LK6-B07,-0.016711953,-0.004932568855640001,1,1
LK6-F03,-0.109289121,0.0011192135282,1,1
LK6-B05,-0.006164366,-0.0427701094371,0,0
LK6-E02,-0.107711445,0.00806177190101,1,1
LK2-A11,-0.12701237599999998,-0.0401067578015,1,0
LK5-H02,-0.034306781,-0.019513462335,1,0
LK6-A10,-0.087805455,0.00718226996232,1,1
LK3-D01,0.066184564,-0.004853768027979999,0,0
LK3-G02,-0.021250726,-0.0294818929865,1,0
LK5-G03,-0.061380255,0.00252371444929,1,1
LK1-F05,0.046509142,-0.08990554967219999,0,0
LK4-H12,-0.062143255,-0.00971010695233,1,0
LK6-D05,-0.043812384,0.00437259641351,1,1
LK1-A02,0.074568945,-0.0155842218947,0,1
LK5-F08,0.015046178,-0.015815061276100002,0,1
LK6-B09,-0.06491301099999999,-0.0600118449051,1,0
LK4-D02,-0.026555348,-0.0324123966654,1,0
LK5-C01,-0.035507118,0.0077797590432,1,1
LK5-B01,-0.069096858,0.000724513154107,1,0
LK5-F10,-0.092640198,-0.106617045256,1,0
LK5-C03,-0.034896086,0.00330696747616,1,1
LK6-A09,-0.118694117,-0.00498287058575,1,1
LK6-E04,-0.042724455,-0.0185439923706,1,0
LK3-C04,-0.021324099,-0.051501874477000005,0,0
LK1-B08,-0.092333836,-0.00229002100245,1,0
LK4-B07,0.051667858,-0.14933214736300002,0,0
LK6-D06,-0.063374275,0.007881849123459999,1,1
LK2-C09,-0.029181055,-0.0239895938209,1,0
LK4-B01,-0.060980824,-0.0306199964711,1,0
LK4-B06,-0.0073895240000000015,-0.00139280767659,0,1
LK4-G05,-0.078376922,-0.00980783826816,1,1
LK3-B02,-0.061936905999999986,-0.0202116768293,1,0
LK3-G10,-0.05011661,0.00590475719124,1,1
LK5-E09,-0.014933995,-0.10777384246,1,0
LK2-C05,-0.072951481,-0.0534423201019,1,0
LK5-H07,-0.016148315,0.00964216926951,1,0
LK1-E09,0.00130607,-0.00775829461706,0,1
LK5-D04,-0.008201942,-0.00494370802346,0,0
LK2-E12,-0.003211055,-0.0034697502785100004,0,1
LK5-D05,0.039769121,-0.012110673857,0,1
LK5-C11,-0.07890419900000001,0.005545396346270001,1,0
LK2-F04,0.06440686799999999,-0.013268551552600002,0,0
LK1-C09,0.097834819,-0.00680174355674,0,1
LK3-B03,0.020432307,-0.0079756468944,0,1
LK6-D07,-0.067901009,0.000116024988256,1,1
LK1-G11,0.02621332,-0.0729015118392,0,0
LK1-B04,-0.09425094,-0.0319193996708,1,0
LK1-E04,0.010654118,-0.022744024100599995,0,1
LK4-H11,-0.043349795,0.00016324392182700002,1,1
LK4-A12,0.044940192,-0.0856018528648,0,0
LK1-A09,-0.063297996,-0.019456449375,1,0
LK6-C11,0.079424925,-0.00954163501823,0,0
LK5-A07,0.022318946,-0.0846285419456,0,0
LK6-A11,-0.101157306,-0.00100637670946,1,1
LK5-D09,0.003683436,-0.0657651997116,0,0
LK5-G09,0.000908654,-0.00562341507177,0,1
LK1-G08,-0.076569198,-0.00346928221348,1,0
LK4-B12,-0.022692414,0.005493538627930001,1,1
LK5-A04,0.032954446,-0.0611975272498,0,0
LK3-C12,0.004518577,-0.00713441199259,0,1
LK2-B07,-0.00378999,-0.0629443213494,0,0
LK3-H10,0.004132024000000001,-0.0527622790362,0,0
LK4-G09,-0.050985005,0.00922030611243,1,1
LK3-B08,0.001601827,-0.0466339885018,0,0
LK1-H04,-0.07081425599999999,-0.000924876177238,1,1
LK2-A07,0.005623133000000001,0.0102952791464,1,0
LK5-E08,-0.06663271,-0.0005374871850180001,0,1
LK3-F06,-0.125231999,-0.0338747927913,1,0
LK4-B05,-0.055145456,0.00594296770834,1,1
LK2-A10,-0.06981008799999999,0.00674876051412,1,1
LK4-E03,0.013554151,-0.0622416315394,0,0
LK1-A05,0.07181288400000001,-0.0673920034713,0,0
LK4-D01,0.011072576,-0.0144474086981,0,1
LK6-A03,-0.071606045,0.00172898748863,1,0
LK2-E07,0.021067245,-0.0369399070158,0,0
LK5-G01,-0.097400427,0.00852892934338,1,1
LK3-B11,-0.030885663,0.000829960300347,1,1
LK3-F10,0.031324745,-0.0490322011915,0,0
LK5-A05,0.006670793,-0.0937111655655,0,0
LK3-H11,-0.037647523,-0.0313562304447,1,0
LK6-C12,0.049026118,-0.0111296297118,0,0
LK5-B07,-0.12667103400000002,-0.0410404272078,1,0
LK3-B12,-0.069789932,-0.0331294579069,1,0
LK1-B05,-0.051014885,0.00501854449428,1,1
LK3-C11,-0.024302582000000003,-0.0353078731486,1,0
LK3-G01,0.001125763,-0.0035291345264,0,1
LK5-F01,0.029027435,-0.0049987584518,0,1
LK3-H08,-0.066259295,-0.0331219455456,1,0
LK2-B05,0.038236482,-0.0056522294418,0,0
LK2-B04,0.068553692,-0.014951926802100004,0,1
LK3-D05,-0.097416376,0.0035220248118,1,1
LK5-B05,-0.068647456,-0.0467738242001,1,0
LK6-A07,-0.043732835,-0.00387070561376,0,1
LK1-A06,0.031765912,-0.0068532260077,0,1
LK2-A05,-0.07650302099999999,0.00322295766645,1,0
LK2-F07,-0.012979132,-0.00793201294995,0,1
LK4-H10,-0.01690951,-0.00846926993506,0,1
LK5-F03,-0.061319714,0.00468617574483,1,0
LK5-E01,-0.08983357800000001,-0.0328275409655,1,0
LK5-A03,0.030986837000000007,-0.185756743958,0,0
LK5-D03,0.072367787,-0.0864855895463,0,0
LK1-G12,-0.066683388,-0.0323220006506,1,0
LK5-F07,0.057171065,-0.0588502530599,0,0
LK4-C10,-0.045171086,-0.042953816983,1,0
LK2-A06,-0.08736029599999999,0.0020975440166,1,0
