Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.152127036465,1,0
LK2-G07,-0.019194571,-0.0830848893839,0,1
LK4-H03,0.02296139,-0.109942199895,0,0
LK1-D12,-0.057403752,-0.0263510153137,1,0
LK6-C05,-0.059662381,-0.00721415496038,1,1
LK4-C09,-0.087799295,-0.0527279410288,1,0
LK5-C04,0.054950025,-0.11593158759,0,1
LK1-B03,-0.061280442,-0.0282332414631,1,0
LK4-B03,-0.037788014,-0.119273779277,1,1
LK1-D08,-0.008491259000000001,-0.0704678571495,0,1
LK5-H12,-0.023919485,-0.0586984717126,1,1
LK3-D08,0.023624539,-0.112447536488,0,1
LK4-B08,-0.063909414,-0.0237634039866,1,1
LK6-F03,-0.109289121,-0.041837270885800006,1,1
LK6-B05,-0.006164366,-0.131142646294,0,0
LK6-E02,-0.107711445,-0.0222835685856,1,0
LK2-A11,-0.12701237599999998,-0.0371071315595,1,0
LK5-H02,-0.034306781,-0.0568066009905,1,1
LK6-A10,-0.087805455,-0.0236357508516,1,1
LK3-D01,0.066184564,-0.06282378890359999,0,1
LK5-G03,-0.061380255,-0.07170710637,1,0
LK1-F05,0.046509142,-0.143321080841,0,0
LK4-H12,-0.062143255,-0.0425092943375,1,1
LK6-B10,0.029777903,-0.0335372476833,0,0
LK6-D05,-0.043812384,-0.0237432813136,1,1
LK6-B09,-0.06491301099999999,-0.05720452372960001,1,0
LK4-D02,-0.026555348,-0.0769706637803,1,1
LK5-B01,-0.069096858,-0.0277923062797,1,1
LK5-F10,-0.092640198,-0.0495719099201,1,0
LK6-A09,-0.118694117,-0.0441885728911,1,0
LK6-E04,-0.042724455,-0.0834327863663,1,1
LK3-C04,-0.021324099,-0.029715475913,0,0
LK1-B08,-0.092333836,-0.0342668085433,1,1
LK3-H03,-0.049118176,-0.0630703620361,1,1
LK6-D06,-0.063374275,-0.010517753354,1,1
LK2-C09,-0.029181055,-0.0924351489677,1,1
LK4-B01,-0.060980824,-0.06895836121160001,1,0
LK3-G10,-0.05011661,-0.06361667938080001,1,1
LK5-E09,-0.014933995,-0.128038621771,1,0
LK2-C05,-0.072951481,-0.0783112073169,1,0
LK5-H07,-0.016148315,-0.045732846007400005,1,1
LK1-E09,0.00130607,-0.134508276301,0,1
LK5-D04,-0.008201942,-0.132731691844,0,0
LK2-E12,-0.003211055,-0.0460579386498,0,1
LK5-D05,0.039769121,-0.0957311454252,0,1
LK5-C11,-0.07890419900000001,-0.0798588552353,1,0
LK2-F04,0.06440686799999999,-0.133688058589,0,0
LK1-G11,0.02621332,-0.0709857778143,0,1
LK1-B04,-0.09425094,-0.0703993805457,1,0
LK2-A12,-0.029611706,-0.0859967073853,1,0
LK4-H11,-0.043349795,-0.0631308347802,1,1
LK4-A12,0.044940192,-0.179517481622,0,0
LK1-A09,-0.063297996,-0.116949268017,1,0
LK6-C11,0.079424925,-0.17916899142200002,0,1
LK6-A11,-0.101157306,-0.051152081944900014,1,0
LK5-D09,0.003683436,-0.0616698550359,0,1
LK1-G08,-0.076569198,-0.0335951548486,1,1
LK4-B12,-0.022692414,-0.09658755548,1,1
LK5-A04,0.032954446,-0.116407713282,0,1
LK2-B07,-0.00378999,-0.0545995261449,0,0
LK4-G09,-0.050985005,-0.045052526759900006,1,1
LK3-B08,0.001601827,-0.136046952495,0,0
LK2-A07,0.005623133000000001,-0.05956176924080001,1,1
LK3-F06,-0.125231999,-0.0401314645305,1,0
LK4-B05,-0.055145456,-0.0651102190371,1,1
LK2-A10,-0.06981008799999999,-0.0261168692548,1,1
LK4-E03,0.013554151,-0.147047842901,0,0
LK4-D01,0.011072576,-0.107923019448,0,1
LK6-A03,-0.071606045,-0.0251032564464,1,1
LK2-E07,0.021067245,-0.110786553753,0,0
LK5-G01,-0.097400427,-0.011813897319200002,1,0
LK3-B11,-0.030885663,-0.089981077288,1,1
LK3-F10,0.031324745,-0.15648569945399998,0,0
LK5-A05,0.006670793,-0.130768294761,0,0
LK6-C12,0.049026118,-0.132404141366,0,1
LK5-B07,-0.12667103400000002,-0.042316208262199985,1,0
LK3-B12,-0.069789932,-0.0442098024143,1,1
LK1-B05,-0.051014885,-0.060788342764,1,0
LK3-C11,-0.024302582000000003,-0.0706605325098,1,1
LK5-F01,0.029027435,-0.103781753221,0,1
LK2-B05,0.038236482,-0.137084708563,0,0
LK3-D05,-0.097416376,-0.00622094736732,1,0
LK5-B05,-0.068647456,-0.0662556201748,1,1
LK2-A05,-0.07650302099999999,-0.048203771628,1,0
LK4-H10,-0.01690951,-0.08987070660329999,0,1
LK5-F03,-0.061319714,-0.00961360831559,1,1
LK5-E01,-0.08983357800000001,-0.0285789934563,1,0
LK5-A03,0.030986837000000007,-0.126247833411,0,0
LK1-G12,-0.066683388,-0.0411345242101,1,0
LK5-F07,0.057171065,-0.101846379976,0,1
LK4-C10,-0.045171086,-0.0990929839208,1,1
LK2-A06,-0.08736029599999999,-0.013470645830899998,1,1
LK6-A05,0.006446217,-0.10371877658,0,1
