Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0236295986969,2,2
LK3-G08,0.093805708,-0.0177522084587,2,2
LK2-G07,-0.019194571,-0.030245021354200007,2,2
LK4-H03,0.02296139,-0.0292395372917,2,2
LK4-D11,-0.060829465,-0.0242302730117,2,2
LK3-E06,0.032744933,-0.0348207530101,2,2
LK1-D12,-0.057403752,-0.015978893055499998,2,2
LK6-C05,-0.059662381,-0.0118253180172,2,2
LK4-C09,-0.087799295,-0.0285481129398,2,2
LK5-C04,0.054950025,-0.026623858196,2,2
LK1-B03,-0.061280442,-0.00851411590881,2,2
LK3-A05,-0.033288214,-0.00740717057911,2,2
LK4-B03,-0.037788014,-0.0317451052228,2,2
LK5-B06,-0.068915324,-0.0349307830039,2,2
LK1-D08,-0.008491259000000001,-0.0112689337243,2,2
LK5-H12,-0.023919485,-0.0175992277271,2,2
LK1-E01,-0.043467154,-0.0352311238514,2,2
LK4-B08,-0.063909414,-0.0274339395716,2,2
LK6-B07,-0.016711953,-0.0251311841524,2,2
LK6-F03,-0.109289121,-0.0271003359104,2,2
LK6-B05,-0.006164366,-0.0213290468663,2,2
LK6-E02,-0.107711445,-0.0181979648908,2,2
LK2-A11,-0.12701237599999998,-0.017983100344599996,2,2
LK5-H02,-0.034306781,-0.016865703928200002,2,2
LK6-A10,-0.087805455,-0.0314546480797,2,2
LK3-D01,0.066184564,-0.018698464675,2,2
LK3-G02,-0.021250726,-0.0225397248287,2,2
LK5-G03,-0.061380255,-0.005819585022850001,2,2
LK1-F05,0.046509142,-0.018176541059,2,2
LK4-H12,-0.062143255,-0.0215898846499,2,2
LK6-B10,0.029777903,-0.036828991839,2,2
LK6-D05,-0.043812384,-0.0186009737583,2,2
LK1-A02,0.074568945,-0.0161851127792,2,2
LK5-F08,0.015046178,-0.0228569068915,2,2
LK5-H08,-0.000319424,-0.0213427001979,2,2
LK6-B09,-0.06491301099999999,-0.0150707253023,2,2
LK4-D02,-0.026555348,-0.0221876847989,2,2
LK5-C01,-0.035507118,-0.0244641763629,2,2
LK5-B01,-0.069096858,-0.0274232438652,2,2
LK5-F10,-0.092640198,-0.0344522734074,2,2
LK5-C03,-0.034896086,-0.0285632786257,2,2
