Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0242311821882,1,0
LK3-G08,0.093805708,-0.0764178815333,1,1
LK2-G07,-0.019194571,-0.0487504491584,1,0
LK4-A04,0.036559047,-0.0370687027851,0,0
LK4-H03,0.02296139,-0.0622821247723,0,1
LK4-D11,-0.060829465,-0.027389356912,1,1
LK3-E06,0.032744933,-0.15369736837200002,1,1
LK1-D12,-0.057403752,-0.017743492036099998,0,1
LK6-C05,-0.059662381,-0.060219369562099986,1,1
LK4-C09,-0.087799295,-0.0738632570722,1,0
LK5-C04,0.054950025,-0.0732256136082,1,0
LK1-B03,-0.061280442,-0.0195989085832,0,0
LK3-A05,-0.033288214,-0.00803279468216,0,0
LK4-B03,-0.037788014,-0.117503424995,1,1
LK5-B06,-0.068915324,-0.0224678311292,0,0
LK1-D08,-0.008491259000000001,-0.0555771405065,0,1
LK5-H12,-0.023919485,-0.0900042415174,1,0
LK1-E01,-0.043467154,-0.0234066787325,0,1
LK4-B08,-0.063909414,-0.0354231539373,0,1
LK6-B07,-0.016711953,-0.0934994164984,1,0
LK6-F03,-0.109289121,-0.0423429021722,0,0
LK6-B05,-0.006164366,-0.0207522312397,0,0
LK6-E02,-0.107711445,-0.05733688836730001,0,0
LK2-A11,-0.12701237599999998,-0.0423761884726,0,0
LK5-H02,-0.034306781,-0.0471276664726,1,0
LK6-A10,-0.087805455,-0.0292849037328,0,0
LK3-D01,0.066184564,-0.185895415588,1,1
LK3-G02,-0.021250726,-0.0424186334453,0,0
LK5-G03,-0.061380255,-0.08277062622930001,1,1
LK1-F05,0.046509142,-0.0489433794434,1,0
LK4-H12,-0.062143255,-0.0291940152867,1,0
LK6-B10,0.029777903,-0.0765046145577,0,1
LK6-D05,-0.043812384,-0.054924649699800016,1,0
LK1-A02,0.074568945,-0.0764703712488,0,1
LK5-F08,0.015046178,-0.0845607263653,0,1
LK5-H08,-0.000319424,-0.035481305964900005,0,0
LK6-B09,-0.06491301099999999,-0.0187209561375,1,0
LK4-D02,-0.026555348,-0.026279239161400004,0,1
LK5-C01,-0.035507118,-0.0406723000108,0,1
LK5-B01,-0.069096858,-0.017919182739400002,0,0
LK5-F10,-0.092640198,-0.0542854024175,0,1
LK2-F11,0.035349227000000004,-0.0264644351854,0,0
LK6-A09,-0.118694117,-0.0502935363159,1,1
LK6-E04,-0.042724455,-0.0575816865844,1,1
LK3-C04,-0.021324099,-0.101954384017,1,1
LK1-B08,-0.092333836,-0.0209263023194,0,0
LK4-B07,0.051667858,-0.0506591048626,0,1
LK3-H03,-0.049118176,-0.0642223083418,1,0
LK6-D06,-0.063374275,-0.0278999852837,0,0
LK2-C09,-0.029181055,-0.0404122591519,1,0
LK4-B01,-0.060980824,-0.0623344712686,1,1
LK4-G05,-0.078376922,-0.0430705643628,0,1
LK3-B02,-0.061936905999999986,-0.0357177032601,0,0
LK3-G10,-0.05011661,-0.0517619427971,0,1
LK5-E09,-0.014933995,-0.021688584375800003,0,0
