Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00322581588864,1,0
LK3-G08,0.093805708,-0.025216234035700003,0,0
LK2-G07,-0.019194571,-0.00192314464687,0,0
LK4-A04,0.036559047,-0.031399126246000005,0,0
LK4-H03,0.02296139,-0.0199196186654,0,0
LK4-D11,-0.060829465,0.000900744202507,1,0
LK3-E06,0.032744933,-0.0157580815331,0,0
LK1-D10,-0.037986439,-0.00010808282461,1,0
LK1-D12,-0.057403752,0.0262274071989,1,0
LK6-C05,-0.059662381,0.0339062674991,1,1
LK4-C09,-0.087799295,-0.000220881636873,1,0
LK5-C04,0.054950025,-0.0232476193954,0,0
LK1-B03,-0.061280442,0.029534420007700006,1,1
LK3-A05,-0.033288214,0.00680628262917,0,1
LK4-B03,-0.037788014,0.0173759926437,1,0
LK5-B06,-0.068915324,-0.00374832265077,1,0
LK1-D08,-0.008491259000000001,-0.0111303270907,0,0
LK5-H12,-0.023919485,0.00210593363355,1,0
LK1-E01,-0.043467154,0.00034840704077299995,1,0
LK3-D08,0.023624539,-0.0139686452323,0,0
LK4-B08,-0.063909414,-0.00534766872018,1,0
LK6-B07,-0.016711953,0.0201032974581,1,1
LK6-F03,-0.109289121,0.0270113428178,1,1
LK6-B05,-0.006164366,-0.012918093667799998,0,0
LK6-E02,-0.107711445,0.0344863462485,1,1
LK2-A11,-0.12701237599999998,-0.0119833917288,1,0
LK5-H02,-0.034306781,-0.00362186022616,1,0
LK6-A10,-0.087805455,0.0196610556816,1,1
LK3-D01,0.066184564,-0.0132357254766,0,0
LK3-G02,-0.021250726,-0.023549611762200003,0,0
LK5-G03,-0.061380255,0.027347037172,1,1
LK1-F05,0.046509142,-0.020197795845,0,0
LK4-H12,-0.062143255,-0.00472488259992,1,0
LK6-B10,0.029777903,-0.00950114407788,0,1
LK6-D05,-0.043812384,0.0216282022897,1,1
LK1-A02,0.074568945,-0.0277557750566,0,1
LK5-F08,0.015046178,-0.0128742513425,0,1
LK5-H08,-0.000319424,0.00399920923747,0,0
LK6-B09,-0.06491301099999999,0.00135583090551,1,0
LK4-D02,-0.026555348,0.00251871020485,1,0
LK5-C01,-0.035507118,0.016726352474,1,1
LK5-B01,-0.069096858,0.0216443675734,1,0
LK5-F10,-0.092640198,0.0021853380384,1,0
LK5-C03,-0.034896086,0.0225859926741,1,1
LK6-A09,-0.118694117,0.0336436053076,1,1
LK3-C04,-0.021324099,-0.0262842565622,0,0
LK1-B08,-0.092333836,0.0162519335736,1,0
LK3-H03,-0.049118176,0.0234189528877,1,1
LK6-D06,-0.063374275,0.029395206842900007,1,1
LK2-C09,-0.029181055,-0.000802038478743,1,0
LK4-B01,-0.060980824,-0.006762963161439999,1,0
LK4-G05,-0.078376922,0.0212702835716,1,1
LK3-B02,-0.061936905999999986,-0.00090163795548,1,0
LK3-G10,-0.05011661,0.0248733224749,1,1
LK5-E09,-0.014933995,-0.006389622352399999,1,0
LK2-C05,-0.072951481,0.00683844191698,1,0
LK5-H07,-0.016148315,0.0249171670676,1,0
LK1-E09,0.00130607,-0.0157059117971,0,1
LK5-D04,-0.008201942,-0.0256602387308,0,0
LK2-E12,-0.003211055,-0.006329224564319999,0,1
LK3-B10,0.060567274,-0.0223028840502,0,0
LK5-D05,0.039769121,-0.0247263735005,0,1
LK5-C11,-0.07890419900000001,0.00853116920483,1,0
LK2-F04,0.06440686799999999,-0.0150476136825,0,0
LK1-C09,0.097834819,-0.026324300024,0,1
LK3-B03,0.020432307,-0.0147593034262,0,1
