Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00795667381954,1,1
LK3-G08,0.093805708,-0.0503181193927,0,1
LK2-G07,-0.019194571,-0.0413623281027,0,0
LK4-H03,0.02296139,-0.06410154320190001,0,0
LK4-D11,-0.060829465,-0.0194043511485,1,1
LK3-E06,0.032744933,-0.06699354269629999,0,0
LK1-D12,-0.057403752,-0.023457189119,1,1
LK4-C09,-0.087799295,-0.0251209885811,1,0
LK5-C04,0.054950025,-0.050822057319099986,0,0
LK1-B03,-0.061280442,-0.0322846965533,1,1
LK3-A05,-0.033288214,-0.0343330809424,0,1
LK4-B03,-0.037788014,-0.0492805218086,1,0
LK1-D08,-0.008491259000000001,-0.046213309346199986,0,0
LK5-H12,-0.023919485,-0.0428753854061,1,0
LK1-E01,-0.043467154,-0.0300121005686,1,1
LK4-B08,-0.063909414,-0.0268986677333,1,1
LK6-F03,-0.109289121,-0.0523524471837,1,0
LK6-B05,-0.006164366,-0.037395653554800005,0,0
LK2-A11,-0.12701237599999998,-0.0254247742731,1,0
LK5-H02,-0.034306781,-0.0281009617877,1,1
LK3-G02,-0.021250726,-0.021452777661700003,1,1
LK1-F05,0.046509142,-0.0557648544827,0,0
LK4-H12,-0.062143255,-0.006012456383090001,1,1
LK6-D05,-0.043812384,-0.014061250247799998,1,1
LK1-A02,0.074568945,-0.0533374107665,0,1
LK5-F08,0.015046178,-0.0628402012488,0,0
LK6-B09,-0.06491301099999999,-0.0462472732417,1,1
LK5-B01,-0.069096858,-0.0223608404269,1,1
LK5-F10,-0.092640198,-0.028049707767,1,0
LK5-C03,-0.034896086,-0.05866148887950001,1,0
LK6-A09,-0.118694117,-0.0528645248986,1,0
LK6-E04,-0.042724455,-0.0146751068004,1,1
LK3-C04,-0.021324099,-0.101945997011,0,0
LK1-B08,-0.092333836,-0.0319491727216,1,0
LK3-H03,-0.049118176,-0.0148545276472,1,1
LK6-D06,-0.063374275,-0.0267243608021,1,1
LK4-B01,-0.060980824,-0.047516509719699986,1,1
LK3-B02,-0.061936905999999986,-0.029174720030200007,1,0
LK5-E09,-0.014933995,-0.0185329524371,1,1
LK2-C05,-0.072951481,-0.0195673283207,1,0
LK5-H07,-0.016148315,-0.027120131273500003,1,1
LK5-D04,-0.008201942,-0.0630279725099,0,0
LK2-E12,-0.003211055,-0.07377035196710001,0,0
LK5-D05,0.039769121,-0.06523950056609999,0,0
LK5-C11,-0.07890419900000001,-0.026045494536900003,1,1
LK2-F04,0.06440686799999999,-0.0741609533974,0,1
LK3-B03,0.020432307,-0.093480640374,0,0
LK1-G11,0.02621332,-0.0361442475815,0,0
LK1-B04,-0.09425094,-0.0470438125403,1,1
LK1-E04,0.010654118,-0.0818659038693,0,0
LK2-A12,-0.029611706,-0.06337398320809999,1,0
LK4-H11,-0.043349795,-0.0294777925815,1,1
LK4-A12,0.044940192,-0.07992737549439999,0,0
LK1-A09,-0.063297996,-0.019025095652,1,1
LK6-C11,0.079424925,-0.0248617215741,0,1
LK5-A07,0.022318946,-0.054900222082,0,0
LK6-A11,-0.101157306,-0.0340187620898,1,1
LK5-D09,0.003683436,-0.014310902409700003,0,0
LK5-G09,0.000908654,-0.0632506410154,0,0
LK1-G08,-0.076569198,-0.0430412848168,1,0
LK4-B12,-0.022692414,-0.037256197912,1,1
LK5-A04,0.032954446,-0.06242146713980001,0,0
LK3-C12,0.004518577,-0.057531464907,0,0
LK2-B07,-0.00378999,-0.031421704284099995,0,0
LK3-H10,0.004132024000000001,-0.040643007278,0,0
LK4-G09,-0.050985005,-0.028058635477800003,1,0
LK3-B08,0.001601827,-0.0364684681626,0,0
LK1-H04,-0.07081425599999999,-0.0479565449544,1,0
LK5-E08,-0.06663271,-0.0489798398559,0,0
LK3-F06,-0.125231999,-0.00369804913221,1,1
LK2-A10,-0.06981008799999999,-0.0183593334676,1,1
LK4-E03,0.013554151,-0.0392876786435,0,0
LK1-A05,0.07181288400000001,-0.0405814302558,0,1
LK4-D01,0.011072576,-0.0465598814081,0,1
LK6-A03,-0.071606045,-0.0481983832109,1,1
LK2-E07,0.021067245,-0.0519245936102,0,0
LK5-G01,-0.097400427,-0.0366895418673,1,1
LK3-B11,-0.030885663,-0.0323114461881,1,0
LK3-F10,0.031324745,-0.026952122101,0,1
LK5-A05,0.006670793,-0.0618112086622,0,0
LK3-H11,-0.037647523,-0.0294165946434,1,1
LK6-C12,0.049026118,-0.093835906396,0,0
LK5-B07,-0.12667103400000002,-0.0218436939111,1,0
LK3-B12,-0.069789932,-0.0114120299965,1,0
LK1-B01,0.007985589,-0.0590454285438,0,0
LK1-B05,-0.051014885,-0.0187173204054,1,1
LK3-C11,-0.024302582000000003,-0.013913581593,1,1
LK2-B05,0.038236482,-0.0386959365936,0,0
LK2-B04,0.068553692,-0.0481959035174,0,1
LK3-D05,-0.097416376,-0.0223744832191,1,1
LK5-B05,-0.068647456,-0.00911911938378,1,0
LK1-A06,0.031765912,-0.062129374436,0,0
LK2-A05,-0.07650302099999999,-0.0120812743606,1,1
LK4-H10,-0.01690951,-0.0415394034309,0,0
LK3-H06,0.010126796,-0.057824725796099985,0,0
LK5-F03,-0.061319714,-0.0245248018312,1,1
LK5-A03,0.030986837000000007,-0.0759971175809,0,0
LK5-D03,0.072367787,-0.0321639648688,0,1
LK1-G12,-0.066683388,-0.0129673945041,1,1
LK5-F07,0.057171065,-0.0586989572509,0,0
LK4-C10,-0.045171086,0.00315907708989,1,1
LK2-A06,-0.08736029599999999,-0.00365640983483,1,1
LK6-A05,0.006446217,-0.0266120965719,0,0
LK3-G11,-0.041289604,-0.00596934486301,1,1
LK3-C09,-0.003210792,-0.0156301546857,1,1
LK5-D08,0.032239849,-0.0218843080919,1,0
LK1-D02,-0.03975231,-0.0355753237365,1,1
LK2-E08,-0.01185898,-0.0344753718595,1,1
LK3-A07,-0.008287901,-0.0302998445743,0,0
LK2-D07,-0.009147778,-0.0242929989279,1,1
LK4-C08,-0.024730103,-0.0601400815881,0,0
LK1-C06,0.078083465,-0.028647019984,0,1
LK3-D09,-0.077437477,-0.06650174227149999,1,1
LK1-G09,-0.110538363,-0.019322980630700003,1,1
