Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.100869851747,1,2
LK4-D11,-0.060829465,-0.0352848869669,1,2
LK4-C09,-0.087799295,-0.102342470806,0,2
LK1-B03,-0.061280442,-0.0139732727195,1,2
LK1-E01,-0.043467154,-0.08885891258410003,1,2
LK4-B08,-0.063909414,-0.055734409063800006,1,2
LK2-A11,-0.12701237599999998,-0.0779822778412,0,2
LK5-H02,-0.034306781,-0.0628478213343,1,2
LK4-H12,-0.062143255,-0.0548407502571,1,2
LK6-B09,-0.06491301099999999,-0.054582478253800006,1,2
LK4-D02,-0.026555348,-0.0894145116963,1,2
LK5-B01,-0.069096858,-0.0268073113997,1,2
LK5-F10,-0.092640198,-0.143019008993,0,2
LK6-D06,-0.063374275,-0.020995609016,1,2
LK2-C09,-0.029181055,-0.0709939964964,1,2
LK4-B01,-0.060980824,-0.077773218613,1,2
LK5-E09,-0.014933995,-0.07390621751839999,1,2
LK2-C05,-0.072951481,-0.0936599735236,0,2
LK5-C11,-0.07890419900000001,-0.08728363500080001,1,2
LK1-B04,-0.09425094,-0.0875978790959,1,2
LK2-A12,-0.029611706,-0.09861683482560002,0,2
LK4-H11,-0.043349795,-0.117857964008,1,2
LK1-A09,-0.063297996,-0.07188416412210001,1,2
LK6-A11,-0.101157306,-0.0791501459898,1,2
LK3-F06,-0.125231999,-0.0500135879431,1,2
LK3-C08,0.080039068,-0.132230221445,1,2
LK6-A03,-0.071606045,-0.081614307167,1,2
LK5-G01,-0.097400427,-0.0411672723628,1,2
LK3-F10,0.031324745,-0.105931481031,1,2
LK3-H11,-0.037647523,-0.101903130822,1,2
LK5-B07,-0.12667103400000002,-0.0723257105903,0,2
LK3-B12,-0.069789932,-0.120544126974,0,2
LK3-C11,-0.024302582000000003,-0.07934058277660001,1,2
LK3-H08,-0.066259295,-0.07590272635489999,1,2
LK3-D05,-0.097416376,-0.0739900868893,1,2
LK2-A05,-0.07650302099999999,-0.0662728803283,1,2
LK5-F03,-0.061319714,-0.0710664019692,1,2
LK5-E01,-0.08983357800000001,-0.0614966309602,1,2
LK1-G12,-0.066683388,-0.049850100884,1,2
LK4-C10,-0.045171086,-0.0666533804966,1,2
LK3-G11,-0.041289604,-0.0626550509428,1,2
LK5-D08,0.032239849,-0.114834509241,0,2
LK4-E01,0.007107061,-0.08763093739,1,2
LK1-D02,-0.03975231,-0.0643831581385,1,2
LK2-E08,-0.01185898,-0.0623998264519,1,2
LK2-D07,-0.009147778,-0.094893744487,1,2
LK1-C06,0.078083465,-0.104785571959,1,2
LK1-G09,-0.110538363,-0.0701870957105,1,2
LK2-D09,-0.04650311,-0.07814566620360001,1,2
LK1-D06,-0.060605349,-0.074319832929,1,2
LK2-D05,-0.040989887,-0.0523668238679,1,2
LK2-G10,-0.005487313000000001,-0.0816670108851,1,2
