Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00105384411348,0,2
LK3-G08,0.093805708,-0.00963745186108,1,2
LK2-G07,-0.019194571,-0.004545183353680001,0,2
LK4-H03,0.02296139,-0.00125860974138,0,2
LK4-D11,-0.060829465,0.0003892209679100001,0,2
LK1-D10,-0.037986439,-0.023484714562,0,2
LK1-D12,-0.057403752,-0.000971999342563,0,2
LK4-C09,-0.087799295,-0.00851932801055,1,2
LK5-C04,0.054950025,-0.00484943838337,0,2
LK4-B03,-0.037788014,0.00287912199374,0,2
LK5-B06,-0.068915324,0.0007945633138160003,0,2
LK1-D08,-0.008491259000000001,-0.00124603735148,0,2
LK5-H12,-0.023919485,-0.0017914806431,0,2
LK1-E01,-0.043467154,0.00592954099886,0,2
LK3-D08,0.023624539,0.000999871016302,0,2
LK4-B08,-0.063909414,-0.0031986340813400004,0,2
LK6-B05,-0.006164366,-0.000946849725853,0,2
LK2-A11,-0.12701237599999998,-0.00412498558112,0,2
LK5-H02,-0.034306781,-0.000216978285097,0,2
LK3-D01,0.066184564,0.00447047962358,0,2
LK3-G02,-0.021250726,-0.00179199306505,0,2
LK5-G03,-0.061380255,0.00237281914706,1,2
LK1-F05,0.046509142,-0.0030043838179099995,0,2
LK4-H12,-0.062143255,-0.00936592681166,0,2
LK6-B10,0.029777903,0.000111709435678,1,2
LK5-H08,-0.000319424,-0.000998104417854,0,2
LK6-B09,-0.06491301099999999,-0.00323060416222,0,2
LK4-D02,-0.026555348,0.000659024808868,0,2
LK5-B01,-0.069096858,-0.00194781440601,0,2
LK5-F10,-0.092640198,-0.0013001919051700002,0,2
LK3-C04,-0.021324099,0.00738732136067,0,2
LK1-B08,-0.092333836,0.00337300547829,0,2
LK6-D06,-0.063374275,-0.0208407849248,1,2
LK2-C09,-0.029181055,-0.00119909784742,0,2
LK4-B01,-0.060980824,-0.00189769181024,0,2
LK3-B02,-0.061936905999999986,0.00102263746178,0,2
LK3-G10,-0.05011661,0.00334479253814,1,2
LK5-E09,-0.014933995,0.00319032210518,0,2
LK2-C05,-0.072951481,0.00126632141799,0,2
LK5-H07,-0.016148315,0.00203838898723,0,2
LK5-D04,-0.008201942,-0.0014218367051199998,0,2
LK3-B10,0.060567274,-0.000209889734594,0,2
LK5-D05,0.039769121,-0.0142407775969,1,2
LK5-C11,-0.07890419900000001,-0.0050971295069,0,2
LK2-F04,0.06440686799999999,-0.0027476055926800003,0,2
LK6-D07,-0.067901009,-0.0189448996454,1,2
LK1-G11,0.02621332,0.00173621142868,0,2
LK1-B04,-0.09425094,0.000326698895515,0,2
LK2-A12,-0.029611706,-0.00295081414676,0,2
LK4-A12,0.044940192,-0.00245443429585,0,2
LK1-A09,-0.063297996,0.00900008344705,0,2
LK6-C11,0.079424925,0.0037668568689,0,2
LK5-A07,0.022318946,-0.00103378033448,0,2
LK5-D09,0.003683436,-0.0011240621889100002,0,2
LK1-G08,-0.076569198,0.0027721456578,0,2
LK5-A04,0.032954446,0.000991706482985,0,2
LK2-B07,-0.00378999,-0.00199577148252,0,2
LK3-H10,0.004132024000000001,-0.00574108414201,0,2
LK3-B08,0.001601827,-0.0056693130710500006,0,2
LK2-A07,0.005623133000000001,0.004819909050149999,0,2
LK3-F06,-0.125231999,-0.00201635829032,1,2
LK3-C08,0.080039068,0.00105326896122,0,2
LK2-A10,-0.06981008799999999,-0.0175534460536,1,2
LK4-E03,0.013554151,0.0025247112231,0,2
LK1-A05,0.07181288400000001,-0.0025423830560700003,0,2
LK4-D01,0.011072576,-0.005676463999009999,1,2
LK6-A03,-0.071606045,0.00193356926204,0,2
LK2-E07,0.021067245,0.0008804258310839998,0,2
LK3-F10,0.031324745,-0.00441050333401,0,2
LK5-A05,0.006670793,0.00353833035997,0,2
LK3-H11,-0.037647523,0.00381487595185,0,2
LK6-C12,0.049026118,-0.006701702601580001,0,2
LK5-B07,-0.12667103400000002,0.0039149303244,0,2
LK3-B12,-0.069789932,0.006543326921370001,0,2
LK1-B01,0.007985589,0.00579065865067,0,2
LK3-C11,-0.024302582000000003,-0.00201823818318,0,2
LK3-G01,0.001125763,-0.0189792522851,1,2
LK3-H08,-0.066259295,-0.000924523356939,0,2
LK2-B05,0.038236482,0.000107974841822,0,2
LK5-B05,-0.068647456,-0.00106969390372,0,2
LK1-A06,0.031765912,-0.0164355155325,1,2
LK2-A05,-0.07650302099999999,0.00462557610362,0,2
LK3-H06,0.010126796,-0.00125151720594,0,2
LK5-F03,-0.061319714,0.00214976962096,0,2
LK5-E01,-0.08983357800000001,0.00752898177901,0,2
LK5-A03,0.030986837000000007,-0.000480704194821,0,2
LK5-D03,0.072367787,-0.000693670721827,0,2
LK1-G12,-0.066683388,-0.00108309362757,0,2
LK5-F07,0.057171065,0.0006317652005429999,0,2
LK4-C10,-0.045171086,0.00368484624971,0,2
LK2-A06,-0.08736029599999999,0.00634377529001,0,2
LK6-A05,0.006446217,-0.00336404518242,0,2
LK3-G11,-0.041289604,-0.0131920932177,0,2
LK5-D08,0.032239849,-0.000325319971958,0,2
LK4-E01,0.007107061,-0.0023228814635700003,0,2
LK1-D02,-0.03975231,-0.00715512917494,0,2
LK6-C02,-0.010438455,-0.009448316873120002,1,2
LK2-E08,-0.01185898,-0.00265752798133,0,2
LK3-A07,-0.008287901,0.0006236789369279999,0,2
LK3-H05,0.017018613000000002,0.00115638061907,0,2
LK2-D07,-0.009147778,0.00399286178572,0,2
LK4-C08,-0.024730103,0.005620114998699999,0,2
LK1-C06,0.078083465,-0.00513090978583,0,2
LK3-D09,-0.077437477,0.000899676358429,0,2
LK1-G09,-0.110538363,0.000586975091264,0,2
LK2-D09,-0.04650311,0.0024286002277199995,0,2
LK1-D06,-0.060605349,-0.00808268789778,0,2
LK3-A01,0.019923344,-0.0024542095537800003,0,2
LK2-D05,-0.040989887,-0.00422226861522,0,2
LK1-C11,0.03763259,-0.00626384351749,0,2
LK3-D04,-0.058895829,0.000489569314363,0,2
LK3-C06,0.010954336,0.00414480264035,0,2
LK2-A01,-0.003379405,-0.0006016948702769999,0,2
LK2-G10,-0.005487313000000001,0.00172764871296,0,2
