Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0067197777457,1,0
LK3-G08,0.093805708,-0.0681627167104,0,1
LK2-G07,-0.019194571,-0.0527160434627,0,1
LK4-A04,0.036559047,-0.075344810847,0,1
LK4-H03,0.02296139,-0.0399193902496,0,1
LK4-D11,-0.060829465,-0.0198637883971,1,1
LK3-E06,0.032744933,-0.107101704002,0,0
LK1-D10,-0.037986439,-0.0645602406255,1,0
LK1-D12,-0.057403752,-0.0501462318871,1,0
LK6-C05,-0.059662381,-0.0683365904729,1,0
LK4-C09,-0.087799295,-0.022256959598,1,1
LK5-C04,0.054950025,-0.0691913203803,0,0
LK1-B03,-0.061280442,-0.066909309894,1,0
LK4-B03,-0.037788014,-0.0910227799698,1,0
LK5-B06,-0.068915324,-0.050116061165,1,1
LK1-D08,-0.008491259000000001,-0.0678953696625,0,1
LK5-H12,-0.023919485,-0.0371398022336,1,1
LK1-E01,-0.043467154,-0.00873420074889,1,1
LK3-D08,0.023624539,-0.0314865312381,0,1
LK4-B08,-0.063909414,-0.013413734013399998,1,0
LK6-B07,-0.016711953,-0.08565859466180001,1,0
LK6-F03,-0.109289121,-0.0634120282634,1,0
LK6-B05,-0.006164366,-0.08598664457869999,0,0
LK6-E02,-0.107711445,-0.0601974144372,1,0
LK2-A11,-0.12701237599999998,-0.0272052416366,1,0
LK5-H02,-0.034306781,-0.0153635608959,1,1
LK6-A10,-0.087805455,-0.0414807612575,1,0
LK3-D01,0.066184564,-0.137396107102,0,0
LK3-G02,-0.021250726,-0.051405341232900005,1,1
LK5-G03,-0.061380255,-0.0649250888658,1,0
LK1-F05,0.046509142,-0.07733926524819999,0,1
LK4-H12,-0.062143255,-0.00933443179485,1,0
LK6-D05,-0.043812384,-0.0438086652574,1,0
LK5-F08,0.015046178,-0.137893409583,0,0
LK5-H08,-0.000319424,-0.0852823665748,0,1
LK6-B09,-0.06491301099999999,-0.006640750804420001,1,1
LK4-D02,-0.026555348,-0.0128590046559,1,1
LK5-B01,-0.069096858,-0.0920591137089,1,0
LK5-F10,-0.092640198,-0.0456105826671,1,0
LK5-C03,-0.034896086,-0.116434154309,1,0
LK6-A09,-0.118694117,-0.0105139828022,1,0
LK3-C04,-0.021324099,-0.074954480549,0,0
LK1-B08,-0.092333836,-0.05853048526740001,1,0
LK3-H03,-0.049118176,-0.07514208543169999,1,0
LK6-D06,-0.063374275,-0.048691121975,1,0
LK2-C09,-0.029181055,-0.030924250984400006,1,1
LK4-B01,-0.060980824,-0.0247525537439,1,1
LK4-G05,-0.078376922,-0.0428552539829,1,0
LK3-B02,-0.061936905999999986,-0.0404247594498,1,1
LK3-G10,-0.05011661,-0.109801229917,1,0
LK5-E09,-0.014933995,-0.043389538748,1,0
LK2-C05,-0.072951481,-0.00790316893111,1,1
LK5-H07,-0.016148315,-0.1214376189,1,0
LK1-E09,0.00130607,-0.115792166577,0,0
LK5-D04,-0.008201942,-0.0715728836513,0,0
LK2-E12,-0.003211055,-0.186823793382,0,0
LK3-B10,0.060567274,-0.09763310064539997,0,1
LK5-D05,0.039769121,-0.169128620392,0,0
LK5-C11,-0.07890419900000001,-0.103550331116,1,0
LK2-F04,0.06440686799999999,-0.0946955233385,0,0
LK1-C09,0.097834819,-0.130761823694,0,0
LK6-D07,-0.067901009,-0.0317682808848,1,0
LK1-G11,0.02621332,-0.02247556514,0,1
LK1-B04,-0.09425094,-0.0107059339462,1,1
LK2-A12,-0.029611706,-0.0898888933873,1,1
LK4-H11,-0.043349795,-0.0746343329337,1,0
LK4-A12,0.044940192,-0.0945634787706,0,0
LK1-A09,-0.063297996,-0.0546119222979,1,0
LK6-C11,0.079424925,-0.130786877215,0,0
LK5-A07,0.022318946,-0.107972206898,0,1
LK6-A11,-0.101157306,-0.05837090061430001,1,0
LK5-D09,0.003683436,-0.051852555193800005,0,1
LK1-G08,-0.076569198,-0.100104654399,1,0
LK4-B12,-0.022692414,-0.0636936118209,1,0
LK5-A04,0.032954446,-0.0207949974111,0,1
LK2-B07,-0.00378999,-0.0700782691079,0,0
LK3-H10,0.004132024000000001,-0.0426589679363,0,1
LK4-G09,-0.050985005,-0.081114693257,1,0
LK3-B08,0.001601827,-0.0603367577449,0,1
LK1-H04,-0.07081425599999999,-0.103020517378,1,0
LK2-A07,0.005623133000000001,-0.0933118209519,1,0
LK5-E08,-0.06663271,-0.0844581045134,0,0
LK3-F06,-0.125231999,-0.005677125100189999,1,0
LK4-B05,-0.055145456,-0.05174700842,1,0
LK2-A10,-0.06981008799999999,-0.0336100455647,1,0
LK4-E03,0.013554151,-0.047644527735900014,0,1
LK1-A05,0.07181288400000001,-0.0260918918041,0,1
LK4-D01,0.011072576,-0.0964419500571,0,0
LK6-A03,-0.071606045,-0.0343012077624,1,0
LK5-G01,-0.097400427,-0.059005773121,1,0
LK3-B11,-0.030885663,-0.0372674438809,1,0
LK3-F10,0.031324745,-0.0201181037843,0,0
LK5-A05,0.006670793,-0.0603158829605,0,1
LK3-H11,-0.037647523,-0.0186750846879,1,1
LK6-C12,0.049026118,-0.109357590156,0,0
LK5-B07,-0.12667103400000002,-0.0125682379807,1,0
LK3-B12,-0.069789932,-0.0452038148936,1,0
LK1-B01,0.007985589,-0.0810136422277,0,1
LK1-B05,-0.051014885,-0.0877311338555,1,0
LK3-C11,-0.024302582000000003,-0.0209011240011,1,1
LK5-F01,0.029027435,-0.0974872496343,0,0
LK3-H08,-0.066259295,-0.012000392438999998,1,1
LK2-B05,0.038236482,-0.160754050271,0,0
LK2-B04,0.068553692,-0.0891660081864,0,0
LK3-D05,-0.097416376,-0.038029959963800014,1,0
LK5-B05,-0.068647456,-0.0800985140659,1,1
LK6-A07,-0.043732835,-0.113550645363,0,0
LK1-A06,0.031765912,-0.118356630526,0,0
LK2-A05,-0.07650302099999999,-0.036313682553800006,1,0
LK2-F07,-0.012979132,-0.144525735166,0,0
LK4-H10,-0.01690951,-0.103932808221,0,0
LK5-F03,-0.061319714,-0.0426005366491,1,0
LK5-E01,-0.08983357800000001,-0.00486613550842,1,1
LK5-A03,0.030986837000000007,-0.0659422355438,0,1
LK5-D03,0.072367787,-0.0349771801679,0,0
LK1-G12,-0.066683388,-0.00341536992677,1,0
LK5-F07,0.057171065,-0.0718470549613,0,1
LK4-C10,-0.045171086,-0.0185723188744,1,0
LK2-A06,-0.08736029599999999,-0.0485908717815,1,0
LK6-A05,0.006446217,-0.0581177007934,0,1
LK3-G11,-0.041289604,-0.0279496817489,1,0
LK3-C09,-0.003210792,-0.0957692716815,1,0
LK5-D08,0.032239849,-0.044161878641,1,0
LK4-E01,0.007107061,-0.0309668879929,1,1
LK1-D02,-0.03975231,-0.007256163021159999,1,1
LK6-C02,-0.010438455,-0.0407096563694,1,0
LK2-E08,-0.01185898,-0.039353260145800005,1,1
LK3-A07,-0.008287901,-0.0218857694777,0,1
LK3-H05,0.017018613000000002,-0.124070510089,0,0
LK2-D07,-0.009147778,-0.0109734939979,1,1
LK1-C07,0.00115568,-0.107063050335,0,0
LK1-C06,0.078083465,-0.0170883046364,0,0
LK3-D09,-0.077437477,-0.0300753962825,1,0
LK1-G09,-0.110538363,-0.00995367403508,1,1
LK2-D09,-0.04650311,-0.0223206441082,1,1
LK1-D06,-0.060605349,-0.0160596589605,1,1
LK3-A01,0.019923344,-0.0926541232831,0,0
LK2-D05,-0.040989887,-0.013687478281399998,1,0
LK1-C11,0.03763259,-0.07886014721260001,0,0
LK1-G03,0.044068065,-0.0933109762304,0,0
LK3-D04,-0.058895829,-0.0425212599254,1,0
LK3-C06,0.010954336,-0.133535080705,0,0
LK2-A01,-0.003379405,-0.116191628155,0,0
LK2-G10,-0.005487313000000001,-0.0252711774122,1,1
