Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0446007806142,0,0
LK3-G08,0.093805708,-0.0539597051826,1,1
LK4-A04,0.036559047,-0.0514611588921,1,1
LK4-H03,0.02296139,-0.0351079276297,1,0
LK3-E06,0.032744933,-0.0164044568717,0,1
LK1-D12,-0.057403752,-0.0359106841164,0,1
LK6-C05,-0.059662381,-0.0257807505537,0,1
LK4-C09,-0.087799295,-0.045031909155800014,1,1
LK1-B03,-0.061280442,-0.025767172573599995,0,1
LK3-A05,-0.033288214,-0.0483049355832,0,1
LK4-B03,-0.037788014,-0.018351878546,0,1
LK5-B06,-0.068915324,-0.0407048691274,1,0
LK5-H12,-0.023919485,-0.0337840046802,1,0
LK1-E01,-0.043467154,-0.0407979402809,1,0
LK4-B08,-0.063909414,-0.0585517670037,0,1
LK6-B07,-0.016711953,-0.0130641847736,0,0
LK6-F03,-0.109289121,-0.0164407438681,0,0
LK6-B05,-0.006164366,-0.0416956274243,0,0
LK6-E02,-0.107711445,-0.0185093573495,0,0
LK2-A11,-0.12701237599999998,-0.0342067189409,0,0
LK5-H02,-0.034306781,-0.049744571302300006,1,1
LK6-A10,-0.087805455,-0.0230807567485,0,1
LK3-D01,0.066184564,-0.0241214187773,0,1
LK3-G02,-0.021250726,-0.0333056113565,1,0
LK1-F05,0.046509142,-0.0483968536851,1,0
LK6-B10,0.029777903,-0.0325960583591,1,1
LK6-D05,-0.043812384,-0.0189283525918,0,0
LK1-A02,0.074568945,-0.0152213861518,0,0
LK5-F08,0.015046178,-0.0163654860347,0,0
LK5-H08,-0.000319424,-0.0271309750088,1,0
LK5-C01,-0.035507118,-0.0358441893975,0,1
LK5-B01,-0.069096858,-0.0172096725238,0,0
LK5-F10,-0.092640198,-0.0352255981281,0,1
LK2-F11,0.035349227000000004,-0.0458523438882,1,0
LK6-E04,-0.042724455,-0.041957846112400006,1,0
LK3-C04,-0.021324099,-0.052589907805900005,0,1
LK1-B08,-0.092333836,-0.0198782242861,0,0
LK6-D06,-0.063374275,-0.0245538758017,0,0
LK2-C09,-0.029181055,-0.0414037951943,1,0
LK3-B02,-0.061936905999999986,-0.0405713370859,1,1
LK3-G10,-0.05011661,-0.0180659468179,0,1
LK5-E09,-0.014933995,-0.0320950535416,0,1
LK2-C05,-0.072951481,-0.0440766523328,1,0
LK5-H07,-0.016148315,-0.0146669816157,0,0
LK1-E09,0.00130607,-0.0243450891424,0,0
LK5-D04,-0.008201942,-0.0222295964704,0,0
LK2-E12,-0.003211055,-0.0209355534705,0,1
LK3-B10,0.060567274,-0.0593337459843,1,1
LK5-D05,0.039769121,-0.0102137481161,0,0
LK5-C11,-0.07890419900000001,-0.0136332383503,0,0
LK2-F04,0.06440686799999999,-0.0300223106956,0,1
LK1-C09,0.097834819,-0.0364883893872,0,1
LK6-D07,-0.067901009,-0.028693136757099995,0,0
LK1-G11,0.02621332,-0.0562748370223,1,0
LK1-B04,-0.09425094,-0.0397937972766,1,1
LK1-E04,0.010654118,-0.0349362925845,0,1
LK2-A12,-0.029611706,-0.034482667054300004,1,0
LK4-H11,-0.043349795,-0.0222224939116,0,1
LK4-A12,0.044940192,-0.0279458298122,0,0
LK1-A09,-0.063297996,-0.0497087485933,0,1
LK5-A07,0.022318946,-0.0554344798774,1,1
LK6-A11,-0.101157306,-0.00996390406997,0,0
LK5-D09,0.003683436,-0.00799638023569,1,0
LK1-G08,-0.076569198,-0.0196722031446,0,0
LK4-B12,-0.022692414,-0.0251869233873,0,0
LK5-A04,0.032954446,-0.0561607208647,1,1
LK3-C12,0.004518577,-0.0408076187661,0,1
LK2-B07,-0.00378999,-0.0453023947936,0,0
LK3-H10,0.004132024000000001,-0.0389115650291,1,1
LK4-G09,-0.050985005,-0.026864368936,0,1
LK3-B08,0.001601827,-0.036377590334300006,1,0
LK2-A07,0.005623133000000001,-0.00584945411119,0,0
LK5-E08,-0.06663271,-0.0460719532599,0,1
LK4-B05,-0.055145456,-0.0200370073275,0,1
LK2-A10,-0.06981008799999999,-0.0346012592444,0,1
LK4-E03,0.013554151,-0.0541035371959,1,1
LK4-D01,0.011072576,-0.0227012116963,0,0
LK6-A03,-0.071606045,-0.028388087012900007,0,1
LK2-E07,0.021067245,-0.0242134438853,1,0
LK5-G01,-0.097400427,-0.0266981546602,0,0
LK3-B11,-0.030885663,-0.0149701110971,0,0
LK3-F10,0.031324745,-0.0376925925312,0,1
LK5-A05,0.006670793,-0.0345249646539,1,1
LK3-H11,-0.037647523,-0.0390094934805,1,0
LK6-C12,0.049026118,-0.0306340237912,0,1
LK5-B07,-0.12667103400000002,-0.0434143006011,0,1
LK3-B12,-0.069789932,-0.0348075533304,0,1
LK1-B01,0.007985589,-0.0398681230939,1,0
LK1-B05,-0.051014885,-0.011967375755200002,0,0
LK3-C11,-0.024302582000000003,-0.035927882711900005,1,0
LK3-G01,0.001125763,-0.0268283289068,0,0
LK5-F01,0.029027435,-0.025114784769200003,0,1
LK3-H08,-0.066259295,-0.0426619048291,1,0
LK2-B05,0.038236482,-0.025266420449900004,0,1
LK2-B04,0.068553692,-0.0206233087577,0,1
LK5-B05,-0.068647456,-0.0207355249699,1,0
LK1-A06,0.031765912,-0.034173055704200005,0,1
LK2-A05,-0.07650302099999999,-0.016049824320100003,0,0
LK2-F07,-0.012979132,-0.013933980896,0,0
LK4-H10,-0.01690951,-0.0172335733702,0,0
LK3-H06,0.010126796,-0.057934987923099986,1,0
LK5-E01,-0.08983357800000001,-0.0679977919771,1,1
LK5-A03,0.030986837000000007,-0.0320687241646,1,1
LK5-D03,0.072367787,-0.052285371754300015,0,0
LK1-G12,-0.066683388,-0.0433697383497,0,0
LK5-F07,0.057171065,-0.0272191257364,1,0
LK4-C10,-0.045171086,-0.043384578763300014,0,1
LK2-A06,-0.08736029599999999,0.000387348788563,0,0
LK3-G11,-0.041289604,-0.0480250330871,0,1
LK3-C09,-0.003210792,-0.0151863287445,0,0
LK5-D08,0.032239849,-0.0370146322012,0,1
LK4-E01,0.007107061,-0.07027489536380001,1,0
LK1-D02,-0.03975231,-0.0352187956701,1,0
LK6-C02,-0.010438455,-0.0262607014121,0,1
LK3-A07,-0.008287901,-0.036706385202599986,1,0
LK3-H05,0.017018613000000002,-0.0236395112183,0,0
LK2-D07,-0.009147778,-0.0397940262209,1,0
LK4-C08,-0.024730103,-0.0504135932977,1,0
LK1-C06,0.078083465,-0.0633285675549,0,0
LK3-D09,-0.077437477,-0.043639509534300014,0,1
LK1-G09,-0.110538363,-0.0782841219548,1,1
LK2-D09,-0.04650311,-0.0561197153723,1,1
LK1-D06,-0.060605349,-0.0488340211276,1,1
LK3-A01,0.019923344,-0.0238336353962,0,1
LK2-D05,-0.040989887,-0.034598189932699995,0,1
LK1-C11,0.03763259,-0.0182901027967,0,1
LK1-G03,0.044068065,-0.0237564178468,0,1
LK3-D04,-0.058895829,-0.0319474367933,0,0
LK3-C06,0.010954336,-0.0222832581265,0,0
LK2-A01,-0.003379405,-0.0364074369212,0,1
LK2-G10,-0.005487313000000001,-0.0399868533001,1,0
