Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.022192385149,1,2
LK3-G08,0.093805708,-0.0176728260826,1,2
LK2-G07,-0.019194571,-0.0364742750308,0,2
LK4-A04,0.036559047,-0.04299885617,0,2
LK4-H03,0.02296139,-0.0462030636501,0,2
LK4-D11,-0.060829465,-0.0238961461726,1,2
LK3-E06,0.032744933,-0.0502313148079,0,2
LK1-D12,-0.057403752,-0.0067084843296,1,2
LK6-C05,-0.059662381,-0.013134897545,1,2
LK4-C09,-0.087799295,-0.0466120063469,0,2
LK5-C04,0.054950025,-0.022912326953,0,2
LK1-B03,-0.061280442,-0.0192469608558,1,2
LK3-A05,-0.033288214,-0.0146363879863,1,2
LK4-B03,-0.037788014,-0.0222624003228,0,2
LK5-H12,-0.023919485,-0.039542701667,0,2
LK1-E01,-0.043467154,-0.0492594142672,1,2
LK4-B08,-0.063909414,-0.031736144044499995,1,2
LK6-B07,-0.016711953,-0.0161415646413,1,2
LK6-F03,-0.109289121,-0.0287220885278,0,2
LK6-B05,-0.006164366,-0.0432541652186,0,2
LK6-E02,-0.107711445,-0.017299366462,0,2
LK2-A11,-0.12701237599999998,-0.0251085892013,0,2
LK5-H02,-0.034306781,-0.0360414059741,1,2
LK6-A10,-0.087805455,-0.0348609947748,1,2
LK3-D01,0.066184564,-0.0441295467194,0,2
LK5-G03,-0.061380255,-0.00629331268165,0,2
LK1-F05,0.046509142,-0.0194319811381,0,2
LK4-H12,-0.062143255,-0.0248012412734,1,2
LK6-B10,0.029777903,-0.0261454770051,0,2
LK6-D05,-0.043812384,-0.011827884284700002,1,2
LK1-A02,0.074568945,-0.0180929312751,1,2
LK5-F08,0.015046178,-0.0341411148606,0,2
LK6-B09,-0.06491301099999999,-0.0189895029557,1,2
LK5-C01,-0.035507118,-0.0113535759715,1,2
LK5-B01,-0.069096858,-0.00997041178038,1,2
LK5-F10,-0.092640198,-0.0392149122346,0,2
LK5-C03,-0.034896086,-0.0343038150397,0,2
LK3-C04,-0.021324099,-0.0232963078118,0,2
LK1-B08,-0.092333836,-0.018053405491,1,2
LK6-D06,-0.063374275,-0.024611961527900003,1,2
LK2-C09,-0.029181055,-0.0263132659798,1,2
LK4-B01,-0.060980824,-0.0278870756242,1,2
LK3-G10,-0.05011661,-0.035629714329300004,1,2
LK5-E09,-0.014933995,-0.0238134922417,1,2
LK2-C05,-0.072951481,-0.0422288646535,0,2
LK5-H07,-0.016148315,-0.0171778458501,1,2
LK5-D04,-0.008201942,-0.0576113102031,0,2
LK2-E12,-0.003211055,0.004782415784020001,0,2
LK3-B10,0.060567274,-0.028192804836,0,2
LK5-D05,0.039769121,-0.0418432929185,0,2
LK5-C11,-0.07890419900000001,-0.00212460398042,1,2
LK2-F04,0.06440686799999999,-0.0208630712065,0,2
LK1-C09,0.097834819,-0.0134818304022,1,2
LK3-B03,0.020432307,-0.0135499720239,0,2
LK6-D07,-0.067901009,-0.00602410742766,1,2
LK1-G11,0.02621332,-0.029543789894400006,0,2
LK1-B04,-0.09425094,-0.022577314936700003,1,2
LK1-E04,0.010654118,-0.041986448055,0,2
LK2-A12,-0.029611706,-0.0377926623387,0,2
LK4-H11,-0.043349795,-0.0241395305398,1,2
LK4-A12,0.044940192,-0.022585020326,0,2
LK1-A09,-0.063297996,-0.00934293110407,1,2
LK5-A07,0.022318946,-0.029650815559400006,0,2
LK6-A11,-0.101157306,-0.00760577620275,1,2
LK5-D09,0.003683436,-0.0565587503661,0,2
LK5-G09,0.000908654,-0.035953821362900006,0,2
LK1-G08,-0.076569198,-0.00201544783786,1,2
LK4-B12,-0.022692414,-0.0220240579833,1,2
LK5-A04,0.032954446,-0.0404902952863,0,2
LK3-C12,0.004518577,-0.0297009032696,0,2
LK2-B07,-0.00378999,-0.039346233892300006,0,2
LK3-H10,0.004132024000000001,-0.0407306952447,0,2
LK4-G09,-0.050985005,-0.0212227505956,0,2
LK3-B08,0.001601827,-0.045342550525900006,0,2
LK2-A07,0.005623133000000001,-0.0182756196234,1,2
LK5-E08,-0.06663271,-0.014436996333,0,2
LK3-F06,-0.125231999,-0.0340337665176,1,2
LK2-A10,-0.06981008799999999,-0.0117422662761,1,2
LK4-E03,0.013554151,-0.0419757500266,0,2
LK1-A05,0.07181288400000001,-0.0323620928784,0,2
LK4-D01,0.011072576,-0.020837454841900003,1,2
LK6-A03,-0.071606045,-0.0313482552466,1,2
