Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-2.76152756938e-05,2,2
LK3-G08,0.093805708,0.00030098933667100004,2,2
LK2-G07,-0.019194571,0.00016920576538199998,2,2
LK4-A04,0.036559047,0.00302319852998,2,2
LK4-H03,0.02296139,0.00296521191458,2,2
LK4-D11,-0.060829465,0.000505935896357,2,2
LK3-E06,0.032744933,0.000505962070294,2,2
LK1-D10,-0.037986439,0.00251644670596,2,2
LK1-D12,-0.057403752,0.00107273052222,2,2
LK6-C05,-0.059662381,-0.0030610580523100003,2,2
LK4-C09,-0.087799295,0.00273198261354,2,2
LK5-C04,0.054950025,-0.00111186118814,2,2
LK1-B03,-0.061280442,0.000817861023472,2,2
LK3-A05,-0.033288214,-0.000431651911699,2,2
LK4-B03,-0.037788014,-0.000207920773383,2,2
LK5-B06,-0.068915324,-0.00198608353061,2,2
LK1-D08,-0.008491259000000001,0.00166465320611,2,2
LK5-H12,-0.023919485,0.000477793051624,2,2
LK1-E01,-0.043467154,0.00168721888055,2,2
LK3-D08,0.023624539,-0.00297658585204,2,2
LK4-B08,-0.063909414,0.000312982001305,2,2
LK6-B07,-0.016711953,0.00261136292385,2,2
LK6-F03,-0.109289121,0.000541085735573,2,2
LK6-B05,-0.006164366,0.0013576542723,2,2
LK6-E02,-0.107711445,0.00234278226396,2,2
LK2-A11,-0.12701237599999998,0.00182989837123,2,2
LK5-H02,-0.034306781,-0.0005412407704559999,2,2
LK6-A10,-0.087805455,-0.00155744506443,2,2
LK3-D01,0.066184564,0.00385069232035,2,2
LK3-G02,-0.021250726,-0.000678117764619,2,2
LK5-G03,-0.061380255,0.00208482695653,2,2
LK1-F05,0.046509142,-0.00216524468937,2,2
LK4-H12,-0.062143255,-0.00255165478867,2,2
LK6-B10,0.029777903,-0.0005182077869509999,2,2
LK6-D05,-0.043812384,0.000371507796007,2,2
LK1-A02,0.074568945,0.0008060754447610001,2,2
LK5-F08,0.015046178,0.000469581006234,2,2
LK5-H08,-0.000319424,-3.21169428022e-05,2,2
LK6-B09,-0.06491301099999999,0.000303347022738,2,2
LK4-D02,-0.026555348,-0.000561456803578,2,2
LK5-C01,-0.035507118,0.00015583712308000005,2,2
LK5-B01,-0.069096858,-0.00199492602065,2,2
LK5-F10,-0.092640198,0.0014437104355199998,2,2
LK5-C03,-0.034896086,0.00141562967324,2,2
LK2-F11,0.035349227000000004,-0.00102676460987,2,2
LK6-A09,-0.118694117,-0.00627484144266,2,2
LK3-C04,-0.021324099,0.000279236434368,2,2
LK1-B08,-0.092333836,0.00318733006598,2,2
LK4-B07,0.051667858,0.00307181095966,2,2
LK3-H03,-0.049118176,-0.000538181544249,2,2
LK6-D06,-0.063374275,-0.000990065641304,2,2
LK2-C09,-0.029181055,-0.00159455889812,2,2
LK4-B01,-0.060980824,-0.00027913007254400004,2,2
LK4-B06,-0.0073895240000000015,0.00174679977516,2,2
LK4-G05,-0.078376922,-0.0055561537540600005,2,2
LK3-B02,-0.061936905999999986,0.00237459771479,2,2
LK3-G10,-0.05011661,-0.000350866922429,2,2
LK5-E09,-0.014933995,0.000958011688363,2,2
LK2-C05,-0.072951481,-0.00119415446797,2,2
LK5-H07,-0.016148315,4.9894872512e-05,2,2
LK1-E09,0.00130607,-0.00603320168484,2,2
LK5-D04,-0.008201942,0.0007017020896970001,2,2
LK2-E12,-0.003211055,-0.000129541429838,2,2
LK3-B10,0.060567274,-0.0005831749795730001,2,2
LK5-D05,0.039769121,0.00194853353155,2,2
LK5-C11,-0.07890419900000001,-0.00335021272138,2,2
LK2-F04,0.06440686799999999,0.000980475242184,2,2
LK1-C09,0.097834819,0.00241859646018,2,2
LK3-B03,0.020432307,-0.000494854874229,2,2
LK6-D07,-0.067901009,0.00365103925469,2,2
LK1-G11,0.02621332,-0.000118199980787,2,2
LK1-B04,-0.09425094,0.00210845455942,2,2
LK1-E04,0.010654118,-0.00215139087773,2,2
LK2-A12,-0.029611706,0.0008772687656569999,2,2
LK4-H11,-0.043349795,-0.0030135636128400005,2,2
LK4-A12,0.044940192,0.00125072905155,2,2
LK1-A09,-0.063297996,-0.000582423676658,2,2
LK6-C11,0.079424925,0.00213040674363,2,2
LK5-A07,0.022318946,0.000879348761355,2,2
LK6-A11,-0.101157306,-0.000334122795628,2,2
LK5-D09,0.003683436,-0.00499614847456,2,2
LK5-G09,0.000908654,0.000773171010908,2,2
LK1-G08,-0.076569198,-0.00219928419531,2,2
