Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK2-G07,-0.019194571,-0.0888602215731,2,2
LK6-B05,-0.006164366,-0.16904314773600002,2,2
LK6-B10,0.029777903,-0.137029156504,2,2
LK1-G11,0.02621332,-0.124480309273,2,2
LK4-A12,0.044940192,-0.10127337614600003,2,2
LK5-A07,0.022318946,-0.128693218227,2,2
LK3-C12,0.004518577,-0.133059821427,2,2
LK2-B07,-0.00378999,-0.0930023088025,2,2
LK3-F10,0.031324745,-0.068319366687,2,2
LK5-A05,0.006670793,-0.0761323704131,2,2
LK6-C12,0.049026118,-0.162918369376,2,2
LK3-H06,0.010126796,-0.15514394116,2,2
LK5-A03,0.030986837000000007,-0.156141203648,2,2
LK5-F07,0.057171065,-0.167372611772,2,2
LK4-E01,0.007107061,-0.22476688922200005,2,2
LK2-A01,-0.003379405,-0.137790329438,2,2
