Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0115642243341,1,2
LK4-D11,-0.060829465,0.0133505825248,1,2
LK1-D12,-0.057403752,0.0314555968885,1,2
LK4-C09,-0.087799295,0.0196483816192,1,2
LK5-C04,0.054950025,-0.0431038690966,0,2
LK1-B03,-0.061280442,0.0249061650651,1,2
LK4-B03,-0.037788014,-0.00265154133359,1,2
LK5-B06,-0.068915324,0.011796618809,1,2
LK5-H12,-0.023919485,-0.00227342148849,1,2
LK4-B08,-0.063909414,0.018102238034700003,1,2
LK6-B07,-0.016711953,0.025285979603400004,1,2
LK6-F03,-0.109289121,0.0375851280545,1,2
LK6-B05,-0.006164366,-0.035714081995,0,2
LK6-E02,-0.107711445,0.024283131060200004,1,2
LK2-A11,-0.12701237599999998,0.020402716578400003,1,2
LK5-H02,-0.034306781,0.0232449739307,1,2
LK3-D01,0.066184564,-0.046274684570300005,0,2
LK1-F05,0.046509142,-0.036968480932,0,2
LK4-H12,-0.062143255,0.0255528247566,1,2
LK6-D05,-0.043812384,0.0333794328377,1,2
LK5-F08,0.015046178,-0.0135639385241,0,2
LK6-B09,-0.06491301099999999,0.0271986838028,1,2
LK5-C01,-0.035507118,0.0229197213406,1,2
LK5-B01,-0.069096858,0.0339299513333,1,2
LK5-F10,-0.092640198,0.0056509784193300005,1,2
LK5-C03,-0.034896086,0.0169752434552,1,2
LK3-C04,-0.021324099,-0.0456771885889,0,2
LK1-B08,-0.092333836,0.0218593976783,1,2
LK6-D06,-0.063374275,0.0410732930208,1,2
LK4-B01,-0.060980824,0.00129306475425,1,2
LK3-B02,-0.061936905999999986,0.0027103321207299995,1,2
LK3-G10,-0.05011661,0.0231783071672,1,2
LK5-E09,-0.014933995,0.017290416868099998,1,2
LK2-C05,-0.072951481,0.0183963046813,1,2
LK5-H07,-0.016148315,0.0338680100366,1,2
LK1-E09,0.00130607,-0.0456257347793,0,2
LK5-D04,-0.008201942,-0.06917096291210001,0,2
LK3-B10,0.060567274,-0.0649862430802,0,2
LK5-D05,0.039769121,-0.065020382209,0,2
LK5-C11,-0.07890419900000001,0.0375561954384,1,2
LK2-F04,0.06440686799999999,-0.0475841869054,0,2
LK3-B03,0.020432307,-0.0515347539122,0,2
LK6-D07,-0.067901009,0.0285528327709,1,2
LK1-G11,0.02621332,-0.0464605911859,0,2
LK1-B04,-0.09425094,0.017619029409299998,1,2
LK2-A12,-0.029611706,0.00829334003809,1,2
LK4-H11,-0.043349795,0.0202746328612,1,2
LK4-A12,0.044940192,-0.0274497329506,0,2
LK1-A09,-0.063297996,0.0191742602372,1,2
LK6-A11,-0.101157306,0.0302298963814,1,2
LK5-D09,0.003683436,-0.00679804131161,0,2
LK1-G08,-0.076569198,0.034354779536900006,1,2
LK4-B12,-0.022692414,0.0312512968388,1,2
LK5-A04,0.032954446,-0.048912106686699985,0,2
LK2-B07,-0.00378999,-0.0364096868454,0,2
LK4-G09,-0.050985005,0.0348837495661,1,2
LK3-B08,0.001601827,-0.0503283381388,0,2
LK1-H04,-0.07081425599999999,0.0128167766231,1,2
LK2-A07,0.005623133000000001,0.048609159780800014,1,2
LK5-E08,-0.06663271,-0.0218231207449,0,2
LK3-F06,-0.125231999,0.0264366575306,1,2
LK4-B05,-0.055145456,0.0478311074354,1,2
LK2-A10,-0.06981008799999999,0.0325192965905,1,2
LK4-E03,0.013554151,-0.0660707508963,0,2
LK6-A03,-0.071606045,0.0365060602435,1,2
LK5-G01,-0.097400427,0.032818629681500004,1,2
LK3-B11,-0.030885663,0.023384737983400003,1,2
LK5-A05,0.006670793,-0.0182359861526,0,2
LK3-H11,-0.037647523,0.00532703766755,1,2
LK5-B07,-0.12667103400000002,0.0154190065444,1,2
LK3-B12,-0.069789932,0.015011721609,1,2
LK1-B05,-0.051014885,0.0301578924762,1,2
LK3-C11,-0.024302582000000003,0.0153520086404,1,2
LK3-G01,0.001125763,-0.0484788287694,0,2
LK2-B04,0.068553692,-0.0415892564012,0,2
LK2-A05,-0.07650302099999999,0.0197781075824,1,2
LK2-F07,-0.012979132,-0.0648689194532,0,2
LK4-H10,-0.01690951,-0.0501178610876,0,2
LK1-G12,-0.066683388,0.0239353799792,1,2
LK4-C10,-0.045171086,0.0240552471917,1,2
LK2-A06,-0.08736029599999999,0.0230627996954,1,2
LK3-G11,-0.041289604,0.0211319507033,1,2
LK3-C09,-0.003210792,0.0249624941753,1,2
LK4-E01,0.007107061,0.0119838251785,1,2
LK1-D02,-0.03975231,0.0261460688393,1,2
LK6-C02,-0.010438455,0.0284977636486,1,2
LK2-E08,-0.01185898,0.0196254126657,1,2
LK3-A07,-0.008287901,-0.0508138574019,0,2
LK3-H05,0.017018613000000002,-0.0340734961307,0,2
LK2-D07,-0.009147778,-0.00226225054769,1,2
LK4-C08,-0.024730103,0.00315641942133,1,2
LK1-C06,0.078083465,-0.0589623267547,0,2
LK3-D09,-0.077437477,0.0282942493018,1,2
LK1-G09,-0.110538363,0.022227281219,1,2
LK2-D09,-0.04650311,0.00666300770124,1,2
LK1-D06,-0.060605349,0.0112747600747,1,2
LK3-A01,0.019923344,-0.0604784657431,0,2
LK2-D05,-0.040989887,0.0176154253783,1,2
LK2-A01,-0.003379405,-0.0300695242087,0,2
