Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.000440876683335,2,2
LK3-G08,0.093805708,-2.45689741731e-05,2,2
LK2-G07,-0.019194571,0.0028775432146900004,2,2
LK4-A04,0.036559047,-0.00210407595923,2,2
LK4-H03,0.02296139,0.00104222437467,2,2
LK4-D11,-0.060829465,0.0013236963258,2,2
LK3-E06,0.032744933,-0.000398731096073,2,2
LK1-D10,-0.037986439,-0.0034406107697,2,2
LK1-D12,-0.057403752,-0.00165492109742,2,2
LK6-C05,-0.059662381,-0.00216794113448,2,2
LK4-C09,-0.087799295,-0.0012794324798800002,2,2
LK5-C04,0.054950025,0.00100853663509,2,2
LK1-B03,-0.061280442,-0.0041871355719800005,2,2
LK3-A05,-0.033288214,-0.00239345460145,2,2
LK4-B03,-0.037788014,-0.000402833982282,2,2
LK5-B06,-0.068915324,-0.0119193587136,2,2
LK1-D08,-0.008491259000000001,-0.00173925853777,2,2
LK5-H12,-0.023919485,9.12908254133e-05,2,2
LK1-E01,-0.043467154,-0.000477767564834,2,2
LK3-D08,0.023624539,0.0006628808274520001,2,2
LK4-B08,-0.063909414,-0.000214415409982,2,2
LK6-B07,-0.016711953,-0.00134588890047,2,2
LK6-F03,-0.109289121,0.000223626424668,2,2
LK6-B05,-0.006164366,0.000329395565397,2,2
LK6-E02,-0.107711445,-0.0052802791726200005,2,2
LK2-A11,-0.12701237599999998,0.000308460393947,2,2
LK5-H02,-0.034306781,0.0014947060974,2,2
LK6-A10,-0.087805455,0.00120947495158,2,2
LK3-D01,0.066184564,0.00120864535765,2,2
LK3-G02,-0.021250726,0.00346995562321,2,2
LK5-G03,-0.061380255,-0.00389943171383,2,2
LK1-F05,0.046509142,0.0015086011208699998,2,2
LK4-H12,-0.062143255,-0.00105791537407,2,2
LK6-B10,0.029777903,-0.00461943888717,2,2
LK6-D05,-0.043812384,-5.50794783655e-05,2,2
LK1-A02,0.074568945,-0.00183549130188,2,2
LK5-F08,0.015046178,-0.0006438762767819999,2,2
LK5-H08,-0.000319424,-0.00431876809082,2,2
LK6-B09,-0.06491301099999999,-0.00113295903713,2,2
LK4-D02,-0.026555348,-0.002093608681,2,2
LK5-C01,-0.035507118,-0.0013716294211500002,2,2
LK5-B01,-0.069096858,-0.00179169337486,2,2
LK5-F10,-0.092640198,0.00133880655967,2,2
LK5-C03,-0.034896086,-0.00015163896908300002,2,2
LK2-F11,0.035349227000000004,-0.00132478479126,2,2
LK6-A09,-0.118694117,-0.005978444787279999,2,2
LK6-E04,-0.042724455,0.00122853135351,2,2
LK3-C04,-0.021324099,-0.0007125458911519999,2,2
LK1-B08,-0.092333836,-0.000418837754972,2,2
LK4-B07,0.051667858,-0.00518715974732,2,2
LK3-H03,-0.049118176,0.00080307772658,2,2
LK6-D06,-0.063374275,-0.0011780132511500002,2,2
LK2-C09,-0.029181055,-0.000109359918655,2,2
LK4-B01,-0.060980824,-0.000827628030996,2,2
LK4-B06,-0.0073895240000000015,0.000427927648177,2,2
LK4-G05,-0.078376922,-0.0080722403047,2,2
LK3-B02,-0.061936905999999986,1.99722431151e-07,2,2
LK3-G10,-0.05011661,-0.0007395825535599999,2,2
LK5-E09,-0.014933995,-0.00287015596377,2,2
LK2-C05,-0.072951481,0.000646777074212,2,2
LK5-H07,-0.016148315,1.82295697319e-05,2,2
LK1-E09,0.00130607,0.000334029522816,2,2
LK5-D04,-0.008201942,-5.4768355764e-05,2,2
LK2-E12,-0.003211055,-0.000618560377118,2,2
LK3-B10,0.060567274,0.000383003866567,2,2
LK5-D05,0.039769121,0.000204454772551,2,2
LK5-C11,-0.07890419900000001,-0.000563849093123,2,2
LK2-F04,0.06440686799999999,-0.000477439157526,2,2
LK1-C09,0.097834819,0.000522049653763,2,2
LK3-B03,0.020432307,0.0021147912821300003,2,2
LK6-D07,-0.067901009,-5.6013109531400004e-06,2,2
LK1-G11,0.02621332,-0.00173341359817,2,2
LK1-B04,-0.09425094,-0.00193667513648,2,2
LK1-E04,0.010654118,-0.00255421722591,2,2
LK2-A12,-0.029611706,-0.00185512673411,2,2
LK4-H11,-0.043349795,-0.00144925163099,2,2
LK4-A12,0.044940192,-0.00037010812994,2,2
LK1-A09,-0.063297996,0.00546652641665,2,2
LK6-C11,0.079424925,-0.00254268307649,2,2
LK5-A07,0.022318946,-0.000166164695394,2,2
LK6-A11,-0.101157306,-0.000119423884006,2,2
LK5-D09,0.003683436,-0.00306927141146,2,2
LK5-G09,0.000908654,0.0006391800132230001,2,2
LK1-G08,-0.076569198,0.0007878530270159999,2,2
LK4-B12,-0.022692414,-0.00132180262645,2,2
LK5-A04,0.032954446,-0.000491306334493,2,2
LK3-C12,0.004518577,-0.000984611200528,2,2
LK2-B07,-0.00378999,-0.00190172152373,2,2
LK3-H10,0.004132024000000001,-0.0016501505151199998,2,2
LK4-G09,-0.050985005,-0.000294984281529,2,2
LK3-B08,0.001601827,-0.00134467387579,2,2
LK1-H04,-0.07081425599999999,-0.00186217140905,2,2
LK2-A07,0.005623133000000001,0.00029928549993799995,2,2
LK5-E08,-0.06663271,0.00164780915481,2,2
LK3-F06,-0.125231999,-0.00173678437431,2,2
LK3-C08,0.080039068,0.005804590734539999,2,2
LK4-B05,-0.055145456,-0.0014273582553099998,2,2
LK2-A10,-0.06981008799999999,-0.000219004447722,2,2
LK4-E03,0.013554151,-0.00345717132007,2,2
LK1-A05,0.07181288400000001,-0.000574689181749,2,2
LK4-D01,0.011072576,-0.00196969745127,2,2
LK6-A03,-0.071606045,0.000103270451028,2,2
LK2-E07,0.021067245,0.000438025507901,2,2
LK5-G01,-0.097400427,-0.00182103299378,2,2
LK3-B11,-0.030885663,-0.0013249928255,2,2
LK3-F10,0.031324745,-0.00235156464092,2,2
LK5-A05,0.006670793,0.00152261512163,2,2
LK3-H11,-0.037647523,0.0016425323845100002,2,2
LK6-C12,0.049026118,0.0013149922529500002,2,2
