Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00687125984018,1,1
LK3-G08,0.093805708,-0.023834171027900003,0,1
LK2-G07,-0.019194571,-0.0184105283142,0,0
LK4-A04,0.036559047,-0.0392571788438,0,0
LK4-H03,0.02296139,-0.0100239171302,0,0
LK4-D11,-0.060829465,0.00949228835607,1,1
LK3-E06,0.032744933,-0.0123351976008,0,0
LK1-D10,-0.037986439,-0.00704860718519,1,1
LK1-D12,-0.057403752,0.0192665347987,1,1
LK6-C05,-0.059662381,0.018391194585,1,1
LK4-C09,-0.087799295,-0.00280557391681,1,0
LK5-C04,0.054950025,-0.0144058174102,0,0
LK1-B03,-0.061280442,0.0016352562916500002,1,1
LK3-A05,-0.033288214,0.008817650758,0,1
LK4-B03,-0.037788014,-0.0083456285298,1,0
LK1-D08,-0.008491259000000001,-0.0148416737354,0,0
LK5-H12,-0.023919485,-0.00178620628245,1,0
LK1-E01,-0.043467154,-0.0150982675766,1,1
LK3-D08,0.023624539,-0.0198050931768,0,0
LK4-B08,-0.063909414,-0.00589783946443,1,1
LK6-B07,-0.016711953,0.00217167006964,1,1
LK6-F03,-0.109289121,-4.10840456191e-05,1,0
LK6-B05,-0.006164366,-0.0164355010408,0,0
LK6-E02,-0.107711445,0.0136563004703,1,0
LK2-A11,-0.12701237599999998,-0.0143075038157,1,0
LK5-H02,-0.034306781,0.0036534604906,1,1
LK6-A10,-0.087805455,-0.003591362005969999,1,1
LK3-D01,0.066184564,-0.00987925365219,0,0
LK3-G02,-0.021250726,-0.0112447320205,0,1
LK5-G03,-0.061380255,0.000454988862553,1,0
LK1-F05,0.046509142,-0.008585633811229999,0,0
LK4-H12,-0.062143255,0.00977153535253,1,1
LK6-B10,0.029777903,-0.00381827006074,0,0
LK6-D05,-0.043812384,0.0029842193769,1,1
LK1-A02,0.074568945,-0.0214228323111,0,1
LK5-F08,0.015046178,-0.0306496759038,0,0
LK6-B09,-0.06491301099999999,0.0087597784705,1,1
LK5-C01,-0.035507118,1.26941812103e-05,1,1
LK5-B01,-0.069096858,0.008227583478709999,1,1
LK5-F10,-0.092640198,-0.0117230488804,1,0
LK5-C03,-0.034896086,-0.00905182760358,1,0
LK2-F11,0.035349227000000004,-0.0124690933264,0,0
LK6-A09,-0.118694117,0.00428937351488,1,1
LK3-C04,-0.021324099,-0.0142282096664,0,0
LK1-B08,-0.092333836,-0.00518671949778,1,1
LK4-B07,0.051667858,-0.017476198636599997,0,0
LK3-H03,-0.049118176,-0.00418458797478,1,1
LK6-D06,-0.063374275,0.0251088807197,1,1
LK2-C09,-0.029181055,0.0102227580805,1,1
LK4-B01,-0.060980824,-0.010463389495799998,1,1
LK4-G05,-0.078376922,0.0219436908066,1,1
LK3-B02,-0.061936905999999986,-0.00736091642376,1,0
LK3-G10,-0.05011661,0.007041577024149998,1,1
LK5-E09,-0.014933995,0.00881367848003,1,1
LK2-C05,-0.072951481,-0.0007957679569410001,1,0
LK5-H07,-0.016148315,0.0033607807536,1,1
LK1-E09,0.00130607,-0.0121972719521,0,1
LK5-D04,-0.008201942,-0.0135583967324,0,0
LK2-E12,-0.003211055,-0.00203406765572,0,0
LK3-B10,0.060567274,-0.00692755350165,0,0
LK5-D05,0.039769121,-0.0113168421182,0,0
LK5-C11,-0.07890419900000001,0.0102842683812,1,1
LK2-F04,0.06440686799999999,-0.023901691474900004,0,0
LK1-C09,0.097834819,-0.0158029737875,0,1
LK3-B03,0.020432307,-0.0176007090351,0,0
LK6-D07,-0.067901009,0.004129844176489999,1,1
LK1-G11,0.02621332,-0.00577318143347,0,0
LK1-B04,-0.09425094,-0.004381014263,1,1
LK1-E04,0.010654118,-0.0231573762321,0,0
LK2-A12,-0.029611706,-0.0015895246418900005,1,0
LK4-H11,-0.043349795,0.00026907330487700005,1,1
LK4-A12,0.044940192,-0.0137230518388,0,0
LK1-A09,-0.063297996,-0.00686474687403,1,1
LK6-C11,0.079424925,-0.0135132039561,0,1
LK5-A07,0.022318946,-0.00238334461964,0,0
LK6-A11,-0.101157306,0.00545454371224,1,1
LK5-D09,0.003683436,-0.0286390651663,0,0
LK5-G09,0.000908654,-0.00555374094868,0,0
LK1-G08,-0.076569198,-0.00658068497801,1,0
LK4-B12,-0.022692414,0.012683147668700002,1,1
LK5-A04,0.032954446,-0.007292310621229999,0,0
LK3-C12,0.004518577,-0.015249061904,0,0
LK2-B07,-0.00378999,-0.00797865313081,0,0
LK3-H10,0.004132024000000001,-0.0195422756426,0,0
LK4-G09,-0.050985005,0.00808639034699,1,0
LK3-B08,0.001601827,-0.0100817291675,0,0
LK1-H04,-0.07081425599999999,-0.004396765610310001,1,1
LK2-A07,0.005623133000000001,0.0158134589697,1,1
LK5-E08,-0.06663271,0.00032214456224,0,0
LK3-F06,-0.125231999,-0.0121393492967,1,1
LK4-B05,-0.055145456,0.00334881716088,1,1
LK2-A10,-0.06981008799999999,0.0124590516235,1,1
LK4-E03,0.013554151,-0.0079505354982,0,0
LK1-A05,0.07181288400000001,-0.0214500819731,0,0
LK4-D01,0.011072576,-0.014725374298700003,0,1
LK6-A03,-0.071606045,0.0134812783829,1,1
LK2-E07,0.021067245,-0.0084848283326,0,0
LK5-G01,-0.097400427,0.013949279188,1,1
LK3-B11,-0.030885663,0.007997208354890002,1,1
LK3-F10,0.031324745,-0.0242840960205,0,0
LK5-A05,0.006670793,-0.0157167129628,0,0
LK3-H11,-0.037647523,-0.011931803802200002,1,1
LK6-C12,0.049026118,-0.00273414840569,0,0
LK5-B07,-0.12667103400000002,-0.0027094730161100005,1,0
LK3-B12,-0.069789932,-0.0118171960846,1,0
LK1-B01,0.007985589,-0.00664477243671,0,0
LK1-B05,-0.051014885,0.00942331465976,1,1
LK3-C11,-0.024302582000000003,-0.000365660608638,1,1
LK3-G01,0.001125763,-0.00296925760956,0,0
LK5-F01,0.029027435,-0.0059119704628000005,0,0
LK3-H08,-0.066259295,0.00295825248295,1,1
LK2-B05,0.038236482,-0.0117514949805,0,0
LK2-B04,0.068553692,-0.0101597301601,0,1
LK3-D05,-0.097416376,0.00819932728018,1,1
LK5-B05,-0.068647456,0.00373358262501,1,0
LK6-A07,-0.043732835,-0.0107683588208,0,0
LK1-A06,0.031765912,-0.007977453474729999,0,0
LK2-A05,-0.07650302099999999,0.022399368616400003,1,1
LK2-F07,-0.012979132,-0.00894822594366,0,0
LK4-H10,-0.01690951,-0.007502926524850001,0,0
LK3-H06,0.010126796,-0.0354958708728,0,0
LK5-F03,-0.061319714,0.019854483048,1,1
LK5-E01,-0.08983357800000001,0.00728755876551,1,1
LK5-A03,0.030986837000000007,-0.0304953032976,0,0
LK5-D03,0.072367787,-0.0164209823382,0,1
LK1-G12,-0.066683388,0.0062987388111,1,1
LK5-F07,0.057171065,-0.0106539689081,0,0
LK4-C10,-0.045171086,0.012448697854799998,1,1
LK2-A06,-0.08736029599999999,0.0315006727031,1,1
LK6-A05,0.006446217,-0.00414246318082,0,0
LK3-G11,-0.041289604,-0.008763429303860001,1,1
LK3-C09,-0.003210792,0.00487270252312,1,1
LK5-D08,0.032239849,-0.0470741410609,1,0
LK4-E01,0.007107061,0.00978188681548,1,1
LK1-D02,-0.03975231,-0.0102615673393,1,1
LK6-C02,-0.010438455,0.00713300389894,1,1
LK2-E08,-0.01185898,0.000442014282877,1,1
LK3-A07,-0.008287901,-0.0220664556718,0,0
LK3-H05,0.017018613000000002,-0.0187570814011,0,0
LK2-D07,-0.009147778,-0.0031023378767,1,1
LK1-C07,0.00115568,-0.0073085575253299985,0,0
LK1-C06,0.078083465,-0.0131665924604,0,0
LK3-D09,-0.077437477,0.0033189838489300003,1,1
LK1-G09,-0.110538363,-0.00817511095857,1,1
LK2-D09,-0.04650311,-0.00462356538011,1,1
LK1-D06,-0.060605349,0.00150722719175,1,1
LK3-A01,0.019923344,-0.00141077286115,0,0
LK2-D05,-0.040989887,0.0122553710815,1,1
LK1-C11,0.03763259,-0.012983127214299998,0,0
LK1-G03,0.044068065,-0.0041546559488000005,0,0
LK3-D04,-0.058895829,0.00346143211431,1,0
LK3-C06,0.010954336,-0.0165429246483,0,0
LK2-A01,-0.003379405,-0.00952645473306,0,0
LK2-G10,-0.005487313000000001,-0.00428904736474,1,1
