Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0141423500325,1,1
LK3-G08,0.093805708,-0.008348511061530001,0,1
LK2-G07,-0.019194571,0.0653255747029,1,0
LK4-D11,-0.060829465,0.00641364149073,0,1
LK3-E06,0.032744933,0.006222261973859999,0,0
LK1-D12,-0.057403752,0.0033525187219899995,0,1
LK6-C05,-0.059662381,0.0237512000487,0,1
LK4-C09,-0.087799295,0.0543826612539,1,0
LK5-C04,0.054950025,0.0112236358519,0,0
LK1-B03,-0.061280442,0.0030055097819,0,1
LK4-B03,-0.037788014,0.0566594764937,1,0
LK5-B06,-0.068915324,0.0414508035549,0,0
LK1-D08,-0.008491259000000001,0.034890082772,1,0
LK5-H12,-0.023919485,0.034981319481,1,0
LK1-E01,-0.043467154,0.0367571021297,1,1
LK4-B08,-0.063909414,0.024122520200400004,1,1
LK6-B07,-0.016711953,0.029320437506400007,1,1
LK6-F03,-0.109289121,0.0484352652244,1,0
LK6-B05,-0.006164366,0.0493196058804,0,0
LK6-E02,-0.107711445,0.0288650780937,0,1
LK2-A11,-0.12701237599999998,0.055363901147099985,1,0
LK5-H02,-0.034306781,0.012557232567399998,1,1
LK6-A10,-0.087805455,0.028222062969900007,1,0
LK3-D01,0.066184564,0.034503454088499995,1,0
LK3-G02,-0.021250726,0.0672717456211,1,0
LK5-G03,-0.061380255,0.0214374920172,1,0
LK1-F05,0.046509142,0.00167858287874,0,0
LK6-B10,0.029777903,0.00860239575363,0,1
LK6-D05,-0.043812384,0.0182676596226,0,1
LK1-A02,0.074568945,0.0166705211832,0,1
LK5-F08,0.015046178,0.014523941673999997,1,0
LK6-B09,-0.06491301099999999,0.0122992561909,0,1
LK5-C01,-0.035507118,0.0327116819378,1,1
LK5-B01,-0.069096858,0.0134927505077,0,1
LK5-F10,-0.092640198,0.0463113330679,0,0
LK5-C03,-0.034896086,0.0518130396071,1,0
LK6-A09,-0.118694117,0.046370085089800006,1,0
LK3-C04,-0.021324099,-0.00608512060577,1,0
LK1-B08,-0.092333836,0.0751563026787,1,0
LK6-D06,-0.063374275,0.0128587010168,0,1
LK4-B01,-0.060980824,0.00296632483489,0,1
LK3-B02,-0.061936905999999986,0.0430251884417,1,0
LK3-G10,-0.05011661,0.0452783858665,1,0
LK5-E09,-0.014933995,0.0169007715041,0,1
LK2-C05,-0.072951481,0.0583495901786,0,0
LK5-H07,-0.016148315,0.0182297033161,1,1
LK1-E09,0.00130607,0.00601951000309,1,1
LK5-D04,-0.008201942,0.0436514190166,1,0
LK2-E12,-0.003211055,0.0623132396816,1,0
LK3-B10,0.060567274,0.00271343324661,0,0
LK5-D05,0.039769121,0.0156112495631,1,1
LK5-C11,-0.07890419900000001,0.0148918128613,0,1
LK2-F04,0.06440686799999999,0.00795750127068,0,1
LK1-C09,0.097834819,0.0120255606205,0,1
LK6-D07,-0.067901009,0.0281307655546,1,1
LK1-G11,0.02621332,0.0282841675361,1,0
LK1-B04,-0.09425094,0.0395812134493,1,1
LK1-E04,0.010654118,0.00724903597885,0,0
LK2-A12,-0.029611706,0.0207586633985,0,0
LK4-H11,-0.043349795,0.0350972384385,1,1
LK4-A12,0.044940192,-0.000119864082439,0,0
LK1-A09,-0.063297996,0.0252997570706,1,1
LK6-C11,0.079424925,0.0186051934452,0,1
LK5-A07,0.022318946,0.0207534597869,0,0
LK6-A11,-0.101157306,0.047814454345000014,1,1
LK5-D09,0.003683436,0.0129724735336,1,1
LK1-G08,-0.076569198,0.0285722125088,1,0
LK4-B12,-0.022692414,0.0347953107974,1,1
LK5-A04,0.032954446,0.0261624887688,1,0
LK3-C12,0.004518577,0.0408459510281,1,0
LK2-B07,-0.00378999,0.041485598959,1,0
LK3-H10,0.004132024000000001,0.0311050130128,1,0
LK4-G09,-0.050985005,0.0286539862411,0,0
LK3-B08,0.001601827,0.0394732927339,1,0
LK2-A07,0.005623133000000001,0.004329855140189999,0,1
LK5-E08,-0.06663271,-0.00883810076723,1,0
LK3-F06,-0.125231999,0.0414539731863,1,1
LK4-B05,-0.055145456,0.0421687914484,1,0
LK2-A10,-0.06981008799999999,0.00100885051556,0,1
LK4-E03,0.013554151,0.0603453922351,1,0
LK1-A05,0.07181288400000001,0.0235088514948,0,1
LK4-D01,0.011072576,0.0337841163088,1,1
LK6-A03,-0.071606045,0.0175313189335,0,0
LK5-G01,-0.097400427,0.00416382800853,1,1
LK3-B11,-0.030885663,0.0353665103392,0,0
