Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00251372238312,1,2
LK3-G08,0.093805708,-0.00261204853547,0,2
LK2-G07,-0.019194571,0.009449040275370002,0,2
LK4-A04,0.036559047,-0.0151931489135,0,2
LK4-H03,0.02296139,0.00390697399988,0,2
LK4-D11,-0.060829465,0.0151237080544,1,2
LK3-E06,0.032744933,-0.00103830492939,0,2
LK1-D12,-0.057403752,0.0085555385597,1,2
LK6-C05,-0.059662381,0.0115862941401,1,2
LK4-C09,-0.087799295,0.00135464097951,0,2
LK5-C04,0.054950025,-0.000705448230895,0,2
LK1-B03,-0.061280442,0.00666684126104,1,2
LK3-A05,-0.033288214,0.00065057072704,0,2
LK4-B03,-0.037788014,0.0045578598982,1,2
LK5-B06,-0.068915324,-0.005300081858520001,0,2
LK1-D08,-0.008491259000000001,-0.00498725779551,0,2
LK5-H12,-0.023919485,-0.00375865552515,1,2
LK1-E01,-0.043467154,0.0173319056131,1,2
LK3-D08,0.023624539,0.00442985865428,0,2
LK4-B08,-0.063909414,0.006076156304529999,1,2
LK6-B07,-0.016711953,0.00620167169458,1,2
LK6-F03,-0.109289121,0.00344604134545,1,2
LK6-B05,-0.006164366,0.00249796214612,0,2
LK6-E02,-0.107711445,0.0113984069517,1,2
LK2-A11,-0.12701237599999998,0.00212879802481,1,2
LK5-H02,-0.034306781,0.00306372316139,1,2
LK6-A10,-0.087805455,0.0101809733355,1,2
LK3-D01,0.066184564,0.006192938572,0,2
LK3-G02,-0.021250726,0.00217029653102,1,2
LK5-G03,-0.061380255,0.00809605305423,1,2
LK1-F05,0.046509142,-0.0133580783987,0,2
LK4-H12,-0.062143255,0.0072611985682799985,1,2
LK6-B10,0.029777903,-0.002829645814,0,2
LK6-D05,-0.043812384,0.00989923094745,1,2
LK1-A02,0.074568945,-0.013371523510399998,0,2
LK5-F08,0.015046178,-0.0136355096737,0,2
LK6-B09,-0.06491301099999999,0.00248712264507,1,2
LK5-C01,-0.035507118,0.00843723824417,1,2
LK5-B01,-0.069096858,0.00907569280774,1,2
LK5-F10,-0.092640198,0.007915581007859999,1,2
LK5-C03,-0.034896086,0.000150725508723,0,2
LK6-A09,-0.118694117,0.0032659829006599994,1,2
LK6-E04,-0.042724455,0.00633539169079,1,2
LK3-C04,-0.021324099,-0.00742590882807,0,2
LK1-B08,-0.092333836,-0.0025190768883400004,1,2
LK3-H03,-0.049118176,0.013968741474299998,1,2
LK6-D06,-0.063374275,0.00982431721252,1,2
LK4-B01,-0.060980824,0.000365375549826,1,2
LK4-B06,-0.0073895240000000015,0.0062676915651,0,2
LK4-G05,-0.078376922,-0.013272513854200002,1,2
LK3-B02,-0.061936905999999986,0.00238427935306,0,2
LK3-G10,-0.05011661,0.00214925808025,1,2
LK5-E09,-0.014933995,0.00842918457999,1,2
LK2-C05,-0.072951481,0.005826886981970001,1,2
LK5-H07,-0.016148315,0.011991496801,1,2
LK1-E09,0.00130607,-0.00252584590631,0,2
LK5-D04,-0.008201942,-0.0015071326818900002,0,2
LK2-E12,-0.003211055,0.004320893143850001,0,2
LK3-B10,0.060567274,-0.00665720265883,0,2
LK5-D05,0.039769121,-0.00282935292622,0,2
LK5-C11,-0.07890419900000001,0.00357724126941,1,2
LK2-F04,0.06440686799999999,-0.00343381370304,0,2
LK1-C09,0.097834819,-0.00354341961425,0,2
LK3-B03,0.020432307,0.00318635721524,0,2
LK6-D07,-0.067901009,0.0044385415875,1,2
LK1-G11,0.02621332,-0.00463180813559,0,2
LK1-B04,-0.09425094,0.0118042329067,1,2
LK1-E04,0.010654118,0.00516789266248,1,2
LK2-A12,-0.029611706,-0.00206993657264,0,2
LK4-H11,-0.043349795,0.00921051815881,1,2
LK4-A12,0.044940192,-0.00027928011637599995,0,2
LK1-A09,-0.063297996,-0.00417340057466,1,2
LK6-C11,0.079424925,-0.00454699121071,0,2
LK5-A07,0.022318946,0.00231712566044,0,2
LK6-A11,-0.101157306,0.00864586096485,1,2
LK5-D09,0.003683436,-0.0006006422436059999,0,2
LK5-G09,0.000908654,0.00132843585577,0,2
LK1-G08,-0.076569198,0.0111814652756,1,2
LK4-B12,-0.022692414,0.0155899739722,1,2
LK5-A04,0.032954446,-0.00380686985396,0,2
LK3-C12,0.004518577,-0.00486112299204,0,2
LK2-B07,-0.00378999,-0.00544036830586,0,2
LK3-H10,0.004132024000000001,0.00364430986784,0,2
LK4-G09,-0.050985005,0.0082942772347,1,2
LK3-B08,0.001601827,-0.00237172788592,0,2
LK1-H04,-0.07081425599999999,0.00609358646347,1,2
LK2-A07,0.005623133000000001,0.008563289928699999,1,2
LK5-E08,-0.06663271,-0.006006607093560001,0,2
LK3-F06,-0.125231999,0.0128163225353,1,2
LK3-C08,0.080039068,-0.00441002826229,0,2
LK4-B05,-0.055145456,0.0054927005120300005,1,2
LK2-A10,-0.06981008799999999,0.008203639022380001,1,2
LK4-E03,0.013554151,-0.00326556083915,0,2
LK1-A05,0.07181288400000001,-0.0069475988948100005,0,2
LK4-D01,0.011072576,-0.00652743607216,0,2
LK6-A03,-0.071606045,0.010746956587700002,1,2
LK2-E07,0.021067245,-0.000436885000182,0,2
LK5-G01,-0.097400427,0.0170937274174,1,2
LK3-B11,-0.030885663,0.006265589864439999,1,2
LK3-F10,0.031324745,0.00649352851182,0,2
LK5-A05,0.006670793,0.00191495830295,0,2
LK3-H11,-0.037647523,-0.0030448189794200003,1,2
LK6-C12,0.049026118,-0.0109537826271,0,2
LK5-B07,-0.12667103400000002,0.0137920408052,1,2
LK3-B12,-0.069789932,-0.000986516731857,1,2
LK1-B01,0.007985589,-0.016477899745700002,0,2
LK1-B05,-0.051014885,0.00493064175786,1,2
LK3-C11,-0.024302582000000003,0.006116987018039999,1,2
LK3-G01,0.001125763,-0.0100056399981,0,2
LK5-F01,0.029027435,7.00250464721e-05,0,2
LK3-H08,-0.066259295,0.00721885310871,1,2
LK2-B05,0.038236482,0.00440337380917,0,2
LK2-B04,0.068553692,-0.0156168351321,0,2
LK3-D05,-0.097416376,0.0066244094070200005,1,2
LK5-B05,-0.068647456,0.0030341176480900003,1,2
LK6-A07,-0.043732835,-0.0006866857083539999,0,2
LK1-A06,0.031765912,-0.004708663644800001,0,2
LK2-A05,-0.07650302099999999,0.00844872318025,1,2
LK2-F07,-0.012979132,0.0006870388926569999,0,2
LK4-H10,-0.01690951,0.000903313155307,0,2
LK3-H06,0.010126796,0.00364437906874,0,2
LK5-F03,-0.061319714,0.0118209443921,1,2
LK5-E01,-0.08983357800000001,0.00419366781046,1,2
LK5-A03,0.030986837000000007,-0.0104521993179,0,2
LK5-D03,0.072367787,-0.000761438623454,0,2
LK1-G12,-0.066683388,0.00185457809594,1,2
LK5-F07,0.057171065,-0.0057507042345600005,0,2
LK4-C10,-0.045171086,0.00677838995169,1,2
LK2-A06,-0.08736029599999999,0.0110937226043,1,2
LK6-A05,0.006446217,-0.00721640958842,0,2
LK3-G11,-0.041289604,0.00815458632968,1,2
LK3-C09,-0.003210792,0.012620312094399998,1,2
LK5-D08,0.032239849,-0.0138002465065,1,2
LK4-E01,0.007107061,0.00963606969416,1,2
LK1-D02,-0.03975231,-0.00380261601324,1,2
LK6-C02,-0.010438455,0.0071429213161499985,1,2
LK2-E08,-0.01185898,0.006176128338779999,1,2
LK3-A07,-0.008287901,-0.00679767007772,0,2
LK3-H05,0.017018613000000002,-0.00400171945937,0,2
LK2-D07,-0.009147778,-0.00139327049341,1,2
LK4-C08,-0.024730103,0.00145951436207,0,2
LK1-C07,0.00115568,-0.00143599180422,0,2
LK1-C06,0.078083465,-0.0029867195385700003,0,2
LK3-D09,-0.077437477,0.01070137028,1,2
LK1-G09,-0.110538363,0.00859735216709,1,2
LK2-D09,-0.04650311,0.0066980760288,1,2
LK1-D06,-0.060605349,-0.000172635734699,1,2
LK3-A01,0.019923344,-0.00807904747121,0,2
LK2-D05,-0.040989887,0.0102758873492,1,2
LK1-C11,0.03763259,-0.00942408625716,0,2
LK1-G03,0.044068065,-0.007115973377189998,0,2
LK3-D04,-0.058895829,0.00518105747932,1,2
LK3-C06,0.010954336,0.00310789288022,0,2
LK2-A01,-0.003379405,-0.0150899728876,0,2
LK2-G10,-0.005487313000000001,0.00382920850247,1,2
