Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0312676355883,2,2
LK3-G08,0.093805708,-0.0252843777672,2,2
LK2-G07,-0.019194571,-0.0123233259486,2,2
LK4-D11,-0.060829465,-0.016512477812700002,2,2
LK1-D12,-0.057403752,0.00572065446008,2,2
LK6-C05,-0.059662381,-0.00922792644065,2,2
LK4-C09,-0.087799295,-0.014483598857,2,2
LK3-A05,-0.033288214,-0.00452377806213,2,2
LK4-B03,-0.037788014,0.00529684952969,2,2
LK5-B06,-0.068915324,-0.0324217999665,2,2
LK1-D08,-0.008491259000000001,-0.0169467561667,2,2
LK5-H12,-0.023919485,-0.0282010265012,2,2
LK1-E01,-0.043467154,-0.0277258584944,2,2
LK4-B08,-0.063909414,-0.0324085128742,2,2
LK6-B07,-0.016711953,-0.0102304704506,2,2
LK6-F03,-0.109289121,-0.0227475126083,2,2
LK6-B05,-0.006164366,-0.00575535569417,2,2
LK2-A11,-0.12701237599999998,-0.0160289854642,2,2
LK6-A10,-0.087805455,-0.0112451925333,2,2
LK3-D01,0.066184564,-0.00436451325832,2,2
LK3-G02,-0.021250726,-0.019234079955400003,2,2
LK5-G03,-0.061380255,0.00190057964458,2,2
LK4-H12,-0.062143255,-0.014967897900200004,2,2
LK6-B10,0.029777903,-0.0379462961591,2,2
LK6-D05,-0.043812384,-0.00622517922319,2,2
LK1-A02,0.074568945,-0.0200849855312,2,2
LK5-F08,0.015046178,-0.025170087758,2,2
LK6-B09,-0.06491301099999999,-0.0006781367424809999,2,2
LK5-B01,-0.069096858,-0.0245539275854,2,2
LK5-F10,-0.092640198,-0.00730618173007,2,2
LK5-C03,-0.034896086,-0.011181048597299998,2,2
LK6-A09,-0.118694117,0.005135999108060001,2,2
LK3-C04,-0.021324099,-0.0186314743208,2,2
LK1-B08,-0.092333836,-0.00337344208951,2,2
LK4-B07,0.051667858,-0.015208136323,2,2
LK6-D06,-0.063374275,-0.0197872718773,2,2
LK2-C09,-0.029181055,-0.021413130980000004,2,2
LK4-B01,-0.060980824,-0.038227613908300005,2,2
LK3-B02,-0.061936905999999986,-0.0239645227451,2,2
LK2-C05,-0.072951481,-0.0235268697938,2,2
LK1-E09,0.00130607,-0.0186534459421,2,2
LK5-D04,-0.008201942,-0.0440146915383,2,2
LK2-E12,-0.003211055,0.00456294714612,2,2
LK2-F04,0.06440686799999999,-0.0101350555334,2,2
LK3-B03,0.020432307,-0.033250655165200003,2,2
LK6-D07,-0.067901009,-0.0129959420226,2,2
LK1-G11,0.02621332,-0.0267959192897,2,2
LK1-B04,-0.09425094,-0.027657368360200003,2,2
LK1-E04,0.010654118,-0.0158882414504,2,2
LK4-H11,-0.043349795,-0.0175554505935,2,2
LK4-A12,0.044940192,-0.0666987983014,2,2
LK1-A09,-0.063297996,-0.037214201407400005,2,2
LK6-C11,0.079424925,-0.0339208487347,2,2
LK5-A07,0.022318946,-0.042037428268800005,2,2
LK5-D09,0.003683436,-0.00805825943262,2,2
LK4-B12,-0.022692414,-0.0268357024657,2,2
LK5-A04,0.032954446,-0.0159221460893,2,2
LK3-C12,0.004518577,-0.0169061151876,2,2
LK2-B07,-0.00378999,-0.0235307667105,2,2
LK3-H10,0.004132024000000001,-0.0181510643368,2,2
LK3-B08,0.001601827,-0.0222418411712,2,2
LK2-A07,0.005623133000000001,-0.0155146705635,2,2
LK5-E08,-0.06663271,-0.020476164963900003,2,2
LK3-F06,-0.125231999,-0.0170717058421,2,2
LK4-B05,-0.055145456,-0.0216630659321,2,2
LK4-E03,0.013554151,-0.026868226511,2,2
LK4-D01,0.011072576,-0.0260435598018,2,2
LK5-G01,-0.097400427,-0.0195576058614,2,2
LK3-F10,0.031324745,-0.01298354089,2,2
LK5-A05,0.006670793,-0.00919175042834,2,2
LK3-H11,-0.037647523,-0.0243662904848,2,2
LK5-B07,-0.12667103400000002,-0.00907822399439,2,2
LK3-B12,-0.069789932,-0.011323989739700002,2,2
LK1-B05,-0.051014885,-0.0339755880463,2,2
LK3-C11,-0.024302582000000003,-0.0148604958581,2,2
LK3-G01,0.001125763,-0.012575761915500002,2,2
LK2-B05,0.038236482,-0.030100324474400007,2,2
LK5-B05,-0.068647456,-0.0224281476398,2,2
LK6-A07,-0.043732835,-0.0160085841753,2,2
LK3-H06,0.010126796,-0.0247896374777,2,2
LK5-F03,-0.061319714,-0.018529858124400004,2,2
LK5-E01,-0.08983357800000001,-0.0128813226061,2,2
LK5-D03,0.072367787,-0.0298281730408,2,2
LK1-G12,-0.066683388,-0.022871967675200004,2,2
LK5-F07,0.057171065,-0.0349591034495,2,2
LK4-C10,-0.045171086,-0.0072761845747600015,2,2
LK6-A05,0.006446217,-0.0383107883703,2,2
LK3-G11,-0.041289604,-0.00888572490211,2,2
LK5-D08,0.032239849,-0.0141995340351,2,2
LK4-E01,0.007107061,-0.0418068246159,2,2
LK2-E08,-0.01185898,-0.0121419441764,2,2
LK3-A07,-0.008287901,0.0007953675789580001,2,2
LK2-D07,-0.009147778,-0.0311971566982,2,2
LK1-C07,0.00115568,-0.0112814798963,2,2
LK1-C06,0.078083465,-0.0151186660271,2,2
LK1-G09,-0.110538363,-0.024931766035,2,2
LK2-D09,-0.04650311,-0.0285736415584,2,2
LK1-D06,-0.060605349,-0.0256478507706,2,2
LK3-A01,0.019923344,-0.016638815160299997,2,2
LK2-D05,-0.040989887,-0.0188316828924,2,2
