Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0302381331352,1,1
LK3-G08,0.093805708,0.0126367364867,0,0
LK2-G07,-0.019194571,0.0241244895669,0,0
LK4-A04,0.036559047,0.00624654832813,0,0
LK4-H03,0.02296139,-0.000988736625202,0,1
LK4-D11,-0.060829465,0.0492156582895,1,1
LK3-E06,0.032744933,-0.0256890296553,0,0
LK1-D10,-0.037986439,0.0142560357253,1,1
LK1-D12,-0.057403752,0.0403824500007,1,0
LK6-C05,-0.059662381,0.0426496471312,1,0
LK4-C09,-0.087799295,0.0399655752155,1,0
LK5-C04,0.054950025,-0.0230837605479,0,1
LK1-B03,-0.061280442,0.0571792442806,1,0
LK4-B03,-0.037788014,0.0323012750506,1,1
LK5-B06,-0.068915324,0.0552475956237,1,0
LK1-D08,-0.008491259000000001,0.0175657829447,0,0
LK5-H12,-0.023919485,0.0445330490479,1,0
LK1-E01,-0.043467154,0.0346922259744,1,0
LK4-B08,-0.063909414,0.0415206834851,1,0
LK6-B07,-0.016711953,0.0422946644824,1,1
LK6-F03,-0.109289121,0.045099112094800005,1,0
LK6-B05,-0.006164366,-0.006827989942229999,0,1
LK6-E02,-0.107711445,0.0425609197298,1,0
LK2-A11,-0.12701237599999998,0.041605249705199986,1,0
LK5-H02,-0.034306781,0.0311389025546,1,1
LK6-A10,-0.087805455,0.070030545338,1,0
LK3-D01,0.066184564,0.00952145711753,0,1
LK3-G02,-0.021250726,0.024285166250400003,0,1
LK5-G03,-0.061380255,0.0393978489286,1,0
LK1-F05,0.046509142,-0.0024961207537,0,1
LK4-H12,-0.062143255,0.0406602510431,1,0
LK6-B10,0.029777903,0.0133104581914,0,0
LK6-D05,-0.043812384,0.0589199981794,1,1
LK1-A02,0.074568945,0.00375402391777,0,0
LK5-F08,0.015046178,0.0110018071711,0,0
LK5-H08,-0.000319424,0.032639976121799995,0,0
LK6-B09,-0.06491301099999999,0.0385804210729,1,0
LK5-C01,-0.035507118,0.0441306206702,1,1
LK5-B01,-0.069096858,0.0566081776126,1,0
LK5-F10,-0.092640198,0.046623524318,1,0
LK6-A09,-0.118694117,0.08684600063480001,1,0
LK6-E04,-0.042724455,0.0524263096025,1,0
LK3-C04,-0.021324099,-9.93911194878e-05,0,1
LK1-B08,-0.092333836,0.0385536864146,1,1
LK3-H03,-0.049118176,0.0386348067503,1,0
LK6-D06,-0.063374275,0.0472578600446,1,1
LK2-C09,-0.029181055,0.0395536182339,1,1
LK4-B01,-0.060980824,0.0467842870906,1,0
LK4-G05,-0.078376922,0.0330732680025,1,1
LK3-B02,-0.061936905999999986,0.00967093107692,1,1
LK3-G10,-0.05011661,0.0334768508981,1,1
LK5-E09,-0.014933995,0.0514042266273,1,0
LK2-C05,-0.072951481,0.034368523681099994,1,1
LK5-H07,-0.016148315,0.0352397388213,1,1
LK1-E09,0.00130607,0.0162862294474,0,1
LK5-D04,-0.008201942,0.012991603624,0,0
LK2-E12,-0.003211055,0.0229552625435,0,0
LK3-B10,0.060567274,-0.004468139884720001,0,1
LK5-D05,0.039769121,-0.00746187217162,0,1
LK5-C11,-0.07890419900000001,0.0371995225985,1,0
LK2-F04,0.06440686799999999,0.00916960966794,0,0
LK1-C09,0.097834819,0.00179515352364,0,1
LK3-B03,0.020432307,0.00348535599721,0,0
LK6-D07,-0.067901009,0.055906868427300006,1,0
LK1-G11,0.02621332,-0.0196577217523,0,1
LK1-B04,-0.09425094,0.049672310800800014,1,0
LK1-E04,0.010654118,0.0257653545443,0,0
LK2-A12,-0.029611706,0.012562760088,1,1
LK4-H11,-0.043349795,0.0534783567177,1,0
LK4-A12,0.044940192,-0.00233420795696,0,0
LK1-A09,-0.063297996,0.030676494131900007,1,0
LK6-C11,0.079424925,0.025640738385200004,0,0
LK5-A07,0.022318946,0.00874176113563,0,1
LK6-A11,-0.101157306,0.0517171194644,1,0
LK5-D09,0.003683436,0.0750549028713,0,0
LK1-G08,-0.076569198,0.0388316425075,1,1
LK4-B12,-0.022692414,0.0348152413913,1,1
LK5-A04,0.032954446,0.0101594440687,0,1
LK3-C12,0.004518577,0.0061341642529,0,1
LK2-B07,-0.00378999,0.00248544480453,0,1
LK3-H10,0.004132024000000001,0.0167635667122,0,0
LK4-G09,-0.050985005,0.036190691381,1,0
LK3-B08,0.001601827,0.007347936264399999,0,1
LK1-H04,-0.07081425599999999,0.030145658182200007,1,1
LK2-A07,0.005623133000000001,0.0410939203613,1,1
LK5-E08,-0.06663271,-0.00517416151312,0,1
LK3-F06,-0.125231999,0.0403133899473,1,0
LK2-A10,-0.06981008799999999,0.0559406746317,1,1
LK4-E03,0.013554151,0.008171756721,0,1
LK1-A05,0.07181288400000001,0.0125742815843,0,0
LK4-D01,0.011072576,0.029356662934,0,1
LK6-A03,-0.071606045,0.0643684490335,1,0
LK2-E07,0.021067245,0.0219229265597,0,0
LK5-G01,-0.097400427,0.0375758175222,1,0
LK3-B11,-0.030885663,0.0323959975874,1,0
LK3-F10,0.031324745,0.0196303580442,0,1
LK5-A05,0.006670793,0.00958738627097,0,1
LK3-H11,-0.037647523,0.0465666209532,1,0
LK6-C12,0.049026118,0.0118167631698,0,0
LK5-B07,-0.12667103400000002,0.023456729616400003,1,1
LK3-B12,-0.069789932,0.06577747221609999,1,0
LK1-B01,0.007985589,-0.009136409675889998,0,1
LK1-B05,-0.051014885,0.0632471492085,1,0
LK3-C11,-0.024302582000000003,0.0530166127767,1,0
LK3-G01,0.001125763,-0.0019678257924,0,1
LK5-F01,0.029027435,0.0262627049704,0,0
LK3-H08,-0.066259295,0.04801072606919999,1,1
LK2-B05,0.038236482,0.007848691192770001,0,1
LK2-B04,0.068553692,0.00471000299004,0,1
LK3-D05,-0.097416376,0.06677491001590001,1,0
LK5-B05,-0.068647456,0.0459045672067,1,0
LK6-A07,-0.043732835,0.00708267958054,0,1
LK1-A06,0.031765912,-0.0114136148437,0,1
LK2-A05,-0.07650302099999999,0.0450052059211,1,0
LK2-F07,-0.012979132,0.0139335753419,0,0
LK4-H10,-0.01690951,-0.00286732415475,0,1
LK3-H06,0.010126796,0.0191129651895,0,0
LK5-F03,-0.061319714,0.0468524961658,1,1
LK5-E01,-0.08983357800000001,0.047462993101500005,1,1
LK5-A03,0.030986837000000007,0.0295929904803,0,0
LK5-D03,0.072367787,-0.0004674672096150001,0,1
LK1-G12,-0.066683388,0.0485682476843,1,0
LK5-F07,0.057171065,0.00552868406459,0,1
LK4-C10,-0.045171086,0.05572458012,1,1
LK2-A06,-0.08736029599999999,0.041471545744,1,0
LK6-A05,0.006446217,0.025985168985,0,1
LK3-G11,-0.041289604,0.0401359144083,1,0
LK3-C09,-0.003210792,0.0475314903477,1,0
LK5-D08,0.032239849,0.0412054696674,1,0
LK4-E01,0.007107061,0.0391203093335,1,0
LK1-D02,-0.03975231,0.0617702612768,1,0
LK6-C02,-0.010438455,0.0378917063293,1,1
LK2-E08,-0.01185898,0.0404548180149,1,1
LK3-A07,-0.008287901,0.0218560782474,0,0
LK3-H05,0.017018613000000002,0.00839427246292,0,0
LK2-D07,-0.009147778,0.0406650688735,1,1
LK4-C08,-0.024730103,0.0319767291423,1,1
LK1-C07,0.00115568,0.000290759285899,0,1
LK1-C06,0.078083465,0.00416848459342,0,1
LK3-D09,-0.077437477,0.0359346048245,1,1
LK1-G09,-0.110538363,0.0283800713507,1,0
LK2-D09,-0.04650311,0.0319714447215,1,1
LK1-D06,-0.060605349,0.0377834422098,1,0
LK3-A01,0.019923344,-0.00528830583058,0,0
LK2-D05,-0.040989887,0.0618550288559,1,0
LK1-C11,0.03763259,-0.000598774171368,0,0
LK1-G03,0.044068065,-0.00983987531708,0,1
LK3-D04,-0.058895829,0.052784378413,1,0
LK3-C06,0.010954336,0.0112989805881,0,0
LK2-A01,-0.003379405,0.00613391151938,0,1
LK2-G10,-0.005487313000000001,0.0310008839168,1,0
