Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.017210023306099997,1,1
LK3-G08,0.093805708,-0.0188422933144,0,1
LK2-G07,-0.019194571,-0.0577909693342,1,0
LK4-A04,0.036559047,-0.0376383512134,0,0
LK4-H03,0.02296139,-0.0347741933323,1,0
LK4-D11,-0.060829465,-0.0072504779786400015,1,1
LK3-E06,0.032744933,-0.008012120396829999,0,0
LK1-D12,-0.057403752,-0.0169247218107,0,1
LK6-C05,-0.059662381,-0.00972422591691,0,1
LK5-C04,0.054950025,-0.0294323559078,0,0
LK1-B03,-0.061280442,-0.00442432931523,0,1
LK4-B03,-0.037788014,-0.0466244257506,1,0
LK1-D08,-0.008491259000000001,-0.0399093858279,1,0
LK5-H12,-0.023919485,-0.0366211508423,1,0
LK1-E01,-0.043467154,-0.0316268972313,1,1
LK3-D08,0.023624539,-0.0502650181039,1,0
LK4-B08,-0.063909414,-0.041749740689300006,1,1
LK6-F03,-0.109289121,-0.0321257646576,1,0
LK6-B05,-0.006164366,-0.0373895141533,0,0
LK6-E02,-0.107711445,-0.00414515673588,0,0
LK2-A11,-0.12701237599999998,-0.0250025519399,1,0
LK5-H02,-0.034306781,-0.0284390971728,1,1
LK6-A10,-0.087805455,-0.0278012366015,1,1
LK3-D01,0.066184564,-0.039310381136800014,1,0
LK1-F05,0.046509142,-0.0406152135864,0,0
LK4-H12,-0.062143255,-0.0289611010778,1,1
LK1-A02,0.074568945,-0.030664447497900007,0,1
LK5-F08,0.015046178,-0.0362762744664,1,0
LK5-H08,-0.000319424,-0.0358517785527,1,0
LK6-B09,-0.06491301099999999,-0.015248620085,0,1
LK5-B01,-0.069096858,-0.00742931229683,0,1
LK5-F10,-0.092640198,-0.0362979211275,0,0
LK3-C04,-0.021324099,-0.014581327581,1,0
LK1-B08,-0.092333836,-0.0470165387616,1,0
LK4-B07,0.051667858,-0.0451808875087,1,1
LK3-H03,-0.049118176,-0.022638921784,1,1
LK6-D06,-0.063374275,-0.00405077846217,0,1
LK4-B01,-0.060980824,-0.0112726833531,0,1
LK3-B02,-0.061936905999999986,-0.0318926849386,1,0
LK3-G10,-0.05011661,-0.024309682980900003,1,0
LK5-E09,-0.014933995,-0.0233773195982,0,1
LK2-C05,-0.072951481,-0.0317458267864,0,0
LK5-H07,-0.016148315,-0.008740100021299999,1,1
LK1-E09,0.00130607,-0.0247519556879,1,1
LK5-D04,-0.008201942,-0.0480819036571,1,0
LK2-E12,-0.003211055,-0.0313999584796,1,0
LK3-B10,0.060567274,-0.0386653785499,1,0
LK5-D05,0.039769121,-0.0482448725669,1,0
LK5-C11,-0.07890419900000001,-0.00988292805091,0,1
LK2-F04,0.06440686799999999,-0.0192753913138,0,1
LK1-C09,0.097834819,-0.0282141383225,0,1
LK6-D07,-0.067901009,-0.0151849104966,1,1
LK1-G11,0.02621332,-0.0355151267161,1,0
LK1-B04,-0.09425094,-0.0377721184618,1,1
LK2-A12,-0.029611706,-0.0414885968007,0,0
LK4-H11,-0.043349795,-0.00764768327803,1,1
LK4-A12,0.044940192,-0.0259287731105,0,0
LK1-A09,-0.063297996,-0.00940297876634,1,1
LK6-A11,-0.101157306,-0.026858616298700004,1,1
LK5-D09,0.003683436,-0.043911398743400006,1,0
LK1-G08,-0.076569198,-0.0186803496468,0,0
LK4-B12,-0.022692414,-0.0163228054885,0,1
LK5-A04,0.032954446,-0.0330653386731,1,0
LK3-C12,0.004518577,-0.00336295578203,1,0
LK2-B07,-0.00378999,-0.0331641336661,1,0
LK3-H10,0.004132024000000001,-0.0363757488239,1,0
LK4-G09,-0.050985005,-0.026760037823900004,0,0
LK3-B08,0.001601827,-0.0448877265939,1,0
LK1-H04,-0.07081425599999999,-0.0328057099307,1,0
LK2-A07,0.005623133000000001,-0.00496604727189,0,1
LK5-E08,-0.06663271,-0.0242139673789,1,0
LK3-F06,-0.125231999,-0.0275431430932,1,1
LK4-B05,-0.055145456,-0.0257343722904,1,1
LK2-A10,-0.06981008799999999,0.0013198138843299998,0,1
LK4-E03,0.013554151,-0.0333662575818,1,0
LK1-A05,0.07181288400000001,-0.0414189659996,0,0
LK6-A03,-0.071606045,-0.016226223713,0,1
LK2-E07,0.021067245,-0.026755551044700003,0,0
LK5-G01,-0.097400427,-0.0211161022625,1,1
LK3-B11,-0.030885663,-0.0189762988853,0,0
LK3-F10,0.031324745,-0.0256667975724,0,1
LK5-A05,0.006670793,-0.00034126356272700005,0,0
LK3-H11,-0.037647523,-0.0361364327006,1,1
LK6-C12,0.049026118,-0.025240683421,0,0
LK5-B07,-0.12667103400000002,-0.0384479453939,1,0
LK3-B12,-0.069789932,-0.0221575062372,1,0
LK1-B01,0.007985589,-0.0386735383584,0,0
LK1-B05,-0.051014885,-0.0206085132552,0,1
LK3-C11,-0.024302582000000003,-0.0177589181176,0,1
LK3-G01,0.001125763,-0.0231702519223,1,0
LK5-F01,0.029027435,-0.0334971829996,1,0
LK3-H08,-0.066259295,-0.022710766220900003,1,1
LK2-B05,0.038236482,-0.0260254318165,1,0
LK2-B04,0.068553692,-0.0324464716835,0,1
LK6-A07,-0.043732835,-0.0260929105306,1,0
LK1-A06,0.031765912,-0.0267891824252,0,0
LK2-A05,-0.07650302099999999,-0.00758527090067,1,1
LK2-F07,-0.012979132,-0.0311477773485,1,0
LK4-H10,-0.01690951,-0.0328676596845,1,0
LK5-F03,-0.061319714,0.004706579432270001,0,1
LK5-E01,-0.08983357800000001,-0.013202512967399998,0,1
LK5-A03,0.030986837000000007,-0.0391769929164,1,0
LK5-D03,0.072367787,-0.0399100863829,1,1
LK1-G12,-0.066683388,-0.014496906659799996,1,1
LK5-F07,0.057171065,-0.0450207379564,1,0
LK4-C10,-0.045171086,-0.0251089551488,0,1
LK2-A06,-0.08736029599999999,-0.0228735652696,0,1
LK6-A05,0.006446217,-0.0324916954107,1,0
LK3-G11,-0.041289604,-0.0442258000749,1,1
LK3-C09,-0.003210792,-0.0351691646419,1,1
LK5-D08,0.032239849,-0.0331423877845,0,0
LK1-D02,-0.03975231,-0.0141988407732,0,1
LK6-C02,-0.010438455,-0.0295914436767,1,1
LK2-E08,-0.01185898,-0.0259983186976,0,1
LK3-A07,-0.008287901,-0.0377908456104,1,0
LK3-H05,0.017018613000000002,-0.0288870610493,0,0
LK2-D07,-0.009147778,-0.0257427335497,1,1
LK1-C07,0.00115568,-0.0394012680137,1,0
LK1-C06,0.078083465,-0.0223611410682,1,1
LK3-D09,-0.077437477,-0.0151206435342,0,1
LK2-D09,-0.04650311,-0.025778126557400003,1,1
LK1-D06,-0.060605349,-0.0263548143211,1,1
LK3-A01,0.019923344,-0.0390557496396,1,0
LK2-D05,-0.040989887,-0.014672466775200003,0,1
LK1-C11,0.03763259,-0.0203336833511,0,0
LK1-G03,0.044068065,-0.0206969358303,0,0
LK3-D04,-0.058895829,-0.0316777141052,1,0
LK3-C06,0.010954336,-0.0321879802051,1,0
LK2-A01,-0.003379405,-0.0266065177625,0,0
LK2-G10,-0.005487313000000001,-0.0288220363045,0,1
