Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.010909541382600002,1,1
LK3-G08,0.093805708,-0.0021449747893900004,0,1
LK2-G07,-0.019194571,-0.0038393637087,0,0
LK4-H03,0.02296139,0.00101222809189,0,0
LK4-D11,-0.060829465,0.0144566319556,1,1
LK3-E06,0.032744933,-0.00377252263562,0,0
LK1-D10,-0.037986439,0.00877851674395,1,1
LK1-D12,-0.057403752,0.014607431483100003,1,1
LK6-C05,-0.059662381,0.0234727951968,1,1
LK4-C09,-0.087799295,0.0118741864287,1,0
LK5-C04,0.054950025,-0.0038814037644,0,0
LK1-B03,-0.061280442,0.0149320931592,1,1
LK3-A05,-0.033288214,0.00217854842318,0,1
LK4-B03,-0.037788014,0.00373852575571,1,0
LK5-B06,-0.068915324,0.0110837891575,1,0
LK1-D08,-0.008491259000000001,-0.0043312164323,0,0
LK5-H12,-0.023919485,0.00401014908092,1,0
LK1-E01,-0.043467154,0.0198957347108,1,1
LK3-D08,0.023624539,-0.0028911800912,0,0
LK4-B08,-0.063909414,0.0155326049955,1,1
LK6-B07,-0.016711953,0.0139715684125,1,1
LK6-F03,-0.109289121,0.00822680003704,1,0
LK6-B05,-0.006164366,-0.00243911378034,0,0
LK6-E02,-0.107711445,0.0104724258737,1,0
LK2-A11,-0.12701237599999998,0.014513893693,1,0
LK5-H02,-0.034306781,0.0132242670354,1,1
LK6-A10,-0.087805455,0.0178483834942,1,1
LK3-D01,0.066184564,-0.00261996333048,0,0
LK3-G02,-0.021250726,-0.000168763573956,0,0
LK5-G03,-0.061380255,0.0121348797374,1,0
LK1-F05,0.046509142,0.00040401376827800013,0,0
LK4-H12,-0.062143255,0.00989205881158,1,1
LK6-B10,0.029777903,0.008631466710219998,0,0
LK6-D05,-0.043812384,0.0187041231638,1,1
LK1-A02,0.074568945,-0.00211986841679,0,1
LK5-F08,0.015046178,-0.00193301107609,0,0
LK6-B09,-0.06491301099999999,0.013839261913299998,1,1
LK5-C01,-0.035507118,0.015993379880899997,1,1
LK5-B01,-0.069096858,0.0213699703974,1,1
LK5-F10,-0.092640198,0.0112852399419,1,0
LK5-C03,-0.034896086,0.00167176320401,1,0
LK2-F11,0.035349227000000004,0.00109859548537,0,1
LK6-A09,-0.118694117,0.00961126876965,1,0
LK3-C04,-0.021324099,-3.74300254221e-05,0,0
LK1-B08,-0.092333836,0.00907788729436,1,0
LK4-B07,0.051667858,0.0009000689912819998,0,1
LK3-H03,-0.049118176,0.0181999917133,1,1
LK6-D06,-0.063374275,0.0153927291874,1,1
LK2-C09,-0.029181055,0.0150156963582,1,1
LK4-B01,-0.060980824,0.0152923424704,1,1
LK4-B06,-0.0073895240000000015,-0.00375928465071,0,0
LK4-G05,-0.078376922,0.0126648137561,1,1
LK3-B02,-0.061936905999999986,0.00102783718138,1,0
LK3-G10,-0.05011661,0.0110002748236,1,0
LK5-E09,-0.014933995,0.014491854065100004,1,1
LK2-C05,-0.072951481,0.00671489233429,1,0
LK5-H07,-0.016148315,0.0109943832399,1,1
LK1-E09,0.00130607,-0.0029605935872100003,0,1
LK5-D04,-0.008201942,-0.000880691468481,0,0
LK2-E12,-0.003211055,-1.3453644921700002e-06,0,0
LK3-B10,0.060567274,-0.006810754404579999,0,0
LK5-D05,0.039769121,-0.00150293187244,0,0
LK5-C11,-0.07890419900000001,0.0165109350136,1,1
LK2-F04,0.06440686799999999,-0.00202201295311,0,1
LK1-C09,0.097834819,-0.00331555952199,0,1
LK3-B03,0.020432307,-0.00102396392437,0,0
LK6-D07,-0.067901009,0.0181939387213,1,1
LK1-G11,0.02621332,-0.000950639468971,0,0
LK1-B04,-0.09425094,0.0186751727367,1,1
LK1-E04,0.010654118,-0.00175907915247,0,0
LK2-A12,-0.029611706,-0.0006876559433310001,1,0
LK4-H11,-0.043349795,0.015840385481300002,1,1
LK4-A12,0.044940192,-0.00225497685569,0,0
LK1-A09,-0.063297996,0.0073196625329999985,1,1
LK6-C11,0.079424925,0.000496098026331,0,1
LK5-A07,0.022318946,-0.000932750023362,0,0
LK6-A11,-0.101157306,0.0171971788027,1,1
