Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00772877368724,1,0
LK3-G08,0.093805708,-0.0214954394151,0,1
LK2-G07,-0.019194571,0.0020570021684,0,1
LK4-A04,0.036559047,-0.00904283510938,0,0
LK4-H03,0.02296139,-0.00111226145653,0,0
LK4-D11,-0.060829465,-0.000228401315806,1,1
LK3-E06,0.032744933,-0.00639700429557,0,1
LK1-D12,-0.057403752,0.00261529813623,1,0
LK6-C05,-0.059662381,-0.00981516459975,1,0
LK4-C09,-0.087799295,-0.00275001132742,0,0
LK5-C04,0.054950025,-0.008032698550890002,0,1
LK1-B03,-0.061280442,-0.00990649231346,1,0
LK3-A05,-0.033288214,-0.0141646399641,0,0
LK4-B03,-0.037788014,0.0034195425497,1,1
LK5-B06,-0.068915324,-0.0392733947016,0,0
LK1-D08,-0.008491259000000001,-0.00752615800061,0,0
LK5-H12,-0.023919485,-0.0103262847286,1,0
LK1-E01,-0.043467154,-0.009106473781979998,1,0
LK3-D08,0.023624539,0.00529870389936,0,1
LK4-B08,-0.063909414,-0.00467978954959,1,0
LK6-B07,-0.016711953,-0.000208190557998,1,1
LK6-F03,-0.109289121,0.00558139188114,1,1
LK6-B05,-0.006164366,-0.0074496152623100016,0,0
LK6-E02,-0.107711445,0.011183707785200002,1,1
LK2-A11,-0.12701237599999998,0.00408500431125,1,1
LK5-H02,-0.034306781,-0.002546485956010001,1,0
LK6-A10,-0.087805455,0.00873745241101,1,1
LK3-D01,0.066184564,-0.00645933119376,0,1
LK3-G02,-0.021250726,-0.0016123253519,1,1
LK5-G03,-0.061380255,0.00548750334258,1,1
LK1-F05,0.046509142,-0.0242309725081,0,0
LK4-H12,-0.062143255,-0.00163577086056,1,1
LK6-B10,0.029777903,-0.0164599682315,0,1
LK6-D05,-0.043812384,-0.00147952673824,1,0
LK1-A02,0.074568945,-0.0115879547736,0,1
LK5-F08,0.015046178,0.00156578461457,0,1
LK6-B09,-0.06491301099999999,-0.00253154486923,1,1
LK5-C01,-0.035507118,-0.013785499305,1,1
LK5-B01,-0.069096858,6.487261872890001e-07,1,1
LK5-F10,-0.092640198,0.0030213259370900003,1,1
LK5-C03,-0.034896086,0.00749581895548,0,1
LK6-A09,-0.118694117,0.00122588256155,1,0
LK6-E04,-0.042724455,-0.00272451866492,1,1
LK3-C04,-0.021324099,-0.0137294808389,0,1
LK1-B08,-0.092333836,0.004621362855,1,1
LK4-B07,0.051667858,0.00249769241456,0,1
LK3-H03,-0.049118176,0.0016438369226800002,1,0
LK6-D06,-0.063374275,0.0103837715132,1,1
LK2-C09,-0.029181055,0.000104031865558,1,1
LK4-B01,-0.060980824,0.00190850668114,1,1
LK4-B06,-0.0073895240000000015,-0.0037976994385,0,0
LK4-G05,-0.078376922,-0.0009321367630860002,1,0
LK3-B02,-0.061936905999999986,-0.00352504742554,0,0
LK3-G10,-0.05011661,-0.00273939387866,1,0
LK5-E09,-0.014933995,0.000577761663099,1,1
LK2-C05,-0.072951481,-0.00304967736233,1,0
LK5-H07,-0.016148315,0.00141803546463,1,0
LK1-E09,0.00130607,0.00362300499479,0,1
LK5-D04,-0.008201942,-0.00536201092519,0,0
LK2-E12,-0.003211055,-0.0221504042845,0,0
LK3-B10,0.060567274,-0.0313482602117,0,0
LK5-D05,0.039769121,-0.0152543309728,0,0
LK5-C11,-0.07890419900000001,-0.00220431123181,1,1
LK2-F04,0.06440686799999999,-0.0127315634464,0,0
LK1-C09,0.097834819,-0.000319647210836,0,1
LK3-B03,0.020432307,0.00205422444097,0,1
LK6-D07,-0.067901009,-0.00212962135119,1,0
LK1-G11,0.02621332,-0.0142307383209,0,0
LK1-B04,-0.09425094,-0.000209795227213,1,1
LK1-E04,0.010654118,2.10238302433e-05,1,1
LK2-A12,-0.029611706,-0.02846459867,0,0
LK4-H11,-0.043349795,0.0014738429921199998,1,1
LK4-A12,0.044940192,-0.0029067696154,0,1
LK1-A09,-0.063297996,-0.005026955895510001,1,0
LK6-C11,0.079424925,-0.00142876189814,0,1
LK5-A07,0.022318946,-0.0335063612239,0,0
LK6-A11,-0.101157306,0.006479365685630001,1,1
LK5-D09,0.003683436,-0.00136177644971,0,1
LK5-G09,0.000908654,0.000449471814803,0,1
LK1-G08,-0.076569198,0.006745054622939999,1,0
LK4-B12,-0.022692414,-0.00205749773086,1,1
LK5-A04,0.032954446,-0.0122506934236,0,0
LK3-C12,0.004518577,-0.0120346740191,0,0
LK2-B07,-0.00378999,-0.0300567849535,0,0
LK3-H10,0.004132024000000001,-0.015545950534700002,0,0
LK4-G09,-0.050985005,-0.000827953532275,1,0
LK3-B08,0.001601827,-0.0014807901493900002,0,1
LK1-H04,-0.07081425599999999,-0.0118370806525,1,0
LK2-A07,0.005623133000000001,0.00627700527446,1,0
LK5-E08,-0.06663271,-0.0057936761398,0,0
LK3-F06,-0.125231999,0.00230837037868,1,0
LK3-C08,0.080039068,0.00285013751367,0,1
LK4-B05,-0.055145456,0.00351830378452,1,0
LK2-A10,-0.06981008799999999,-0.00457985931015,1,0
LK4-E03,0.013554151,-0.00238120439419,0,0
LK1-A05,0.07181288400000001,-0.013134294137899998,0,0
LK4-D01,0.011072576,-0.0123305505799,0,0
LK6-A03,-0.071606045,-0.00188855172733,1,0
LK2-E07,0.021067245,0.0027571076863400004,0,1
LK5-G01,-0.097400427,-0.00505396092551,1,0
LK3-B11,-0.030885663,-0.0109001119213,1,0
LK3-F10,0.031324745,0.00749313361237,0,1
LK5-A05,0.006670793,-0.0044848448209,0,0
LK3-H11,-0.037647523,0.00393145774133,1,1
LK6-C12,0.049026118,-0.00484636122117,0,1
LK5-B07,-0.12667103400000002,-0.00048646601458,1,1
LK3-B12,-0.069789932,-0.00906569841801,1,0
LK1-B01,0.007985589,-0.0024325104972100003,0,0
LK1-B05,-0.051014885,0.00812912008441,1,1
LK3-C11,-0.024302582000000003,-0.00218710400994,1,0
LK3-G01,0.001125763,-0.015789355323700002,0,1
LK5-F01,0.029027435,0.0003405247026420001,0,1
LK3-H08,-0.066259295,-0.0016947345508900005,1,0
