Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.0944894621177,1,0
LK2-G07,-0.019194571,-0.0126317013532,1,1
LK4-H03,0.02296139,-0.0420287196608,1,1
LK3-E06,0.032744933,-0.013303790647,0,1
LK6-C05,-0.059662381,-0.06324146111159999,1,0
LK5-C04,0.054950025,-0.0258506329649,1,1
LK3-A05,-0.033288214,-0.014978688909700003,0,1
LK4-B03,-0.037788014,-0.00296998395021,1,1
LK1-D08,-0.008491259000000001,-0.08918039939860001,1,0
LK5-H12,-0.023919485,-0.0313247123723,1,1
LK3-D08,0.023624539,-0.0157862517246,1,1
LK4-B08,-0.063909414,-0.0362470214694,1,1
LK6-B07,-0.016711953,-0.00379419823606,1,1
LK6-F03,-0.109289121,-0.013538657140799996,0,1
LK6-B05,-0.006164366,-0.0134932871011,0,0
LK2-A11,-0.12701237599999998,-0.0154513930462,1,1
LK5-H02,-0.034306781,-0.0102795368627,0,0
LK6-A10,-0.087805455,-0.0101579816592,0,1
LK3-D01,0.066184564,-0.049148864293599985,1,0
LK3-G02,-0.021250726,-0.014149020624599997,0,1
LK5-G03,-0.061380255,-0.01076643137,0,0
LK1-F05,0.046509142,-0.0703784538337,1,1
LK4-H12,-0.062143255,-0.0114599228666,0,0
LK6-B10,0.029777903,-0.0696689436725,1,0
LK6-D05,-0.043812384,-0.0579353844424,0,0
LK1-A02,0.074568945,-0.00868830262216,1,1
LK5-F08,0.015046178,-0.025349397465300003,1,1
LK6-B09,-0.06491301099999999,-0.0264481013685,0,1
LK4-D02,-0.026555348,-0.00601393731013,0,1
LK5-C01,-0.035507118,-0.00696760075858,1,1
LK5-B01,-0.069096858,-0.0107341459447,0,0
LK5-F10,-0.092640198,-0.005266605258870001,0,0
LK5-C03,-0.034896086,-0.0139229084068,1,1
LK2-F11,0.035349227000000004,-0.055953378116800005,1,0
LK6-A09,-0.118694117,-0.00902962674501,0,0
LK3-C04,-0.021324099,-0.105895079429,1,0
LK1-B08,-0.092333836,-0.01390703514,0,0
LK4-B07,0.051667858,-0.0258041965281,1,0
LK3-H03,-0.049118176,-0.00339321389384,0,1
LK6-D06,-0.063374275,-0.00962368166018,1,1
LK2-C09,-0.029181055,-0.0228131761103,1,0
LK4-B06,-0.0073895240000000015,0.00589454116716,0,0
LK3-B02,-0.061936905999999986,-0.0137745106082,1,1
LK3-G10,-0.05011661,-0.08430709801030001,1,0
LK5-E09,-0.014933995,-0.07573754763019999,0,0
LK5-H07,-0.016148315,-0.0205024154365,0,0
LK1-E09,0.00130607,-0.0158380866363,1,1
LK5-D04,-0.008201942,-0.0380213117939,0,1
LK2-E12,-0.003211055,-0.0361529909067,1,1
LK3-B10,0.060567274,-0.0295145875285,1,1
LK5-D05,0.039769121,-0.0975019876117,0,0
LK5-C11,-0.07890419900000001,-0.008994554364229999,1,0
LK2-F04,0.06440686799999999,-0.006115749768140001,0,1
LK1-C09,0.097834819,-0.0185991585472,1,1
LK3-B03,0.020432307,-0.027693748659,1,1
LK6-D07,-0.067901009,-0.0333362530536,0,1
LK1-G11,0.02621332,-0.016378802470499998,0,1
LK1-B04,-0.09425094,-0.006970580257380001,1,1
LK2-A12,-0.029611706,-0.103037730347,1,1
LK4-H11,-0.043349795,-0.00667257389832,1,1
LK4-A12,0.044940192,-0.0420690662206,1,0
LK1-A09,-0.063297996,-0.0268130049521,0,0
LK6-C11,0.079424925,-0.00645079380397,0,1
LK6-A11,-0.101157306,-0.0116205294119,1,1
LK5-D09,0.003683436,-0.021053382557900003,1,1
LK5-G09,0.000908654,-0.00898544134754,0,1
LK1-G08,-0.076569198,-0.0180746423245,0,0
LK4-B12,-0.022692414,-0.012987715264700002,0,0
LK2-B07,-0.00378999,-0.090189110491,1,1
LK4-G09,-0.050985005,-0.0183514752861,0,0
LK3-B08,0.001601827,-0.0223451206329,0,0
LK1-H04,-0.07081425599999999,-0.0171958123923,0,1
LK2-A07,0.005623133000000001,-0.0282832726766,0,0
LK3-F06,-0.125231999,-0.006884617526500001,0,1
LK2-A10,-0.06981008799999999,-0.0351135383359,0,0
LK4-E03,0.013554151,-0.0652243363925,0,0
LK1-A05,0.07181288400000001,-0.0147545855925,0,1
LK4-D01,0.011072576,-0.04074973736,1,1
LK6-A03,-0.071606045,-0.0069925947225,0,1
LK2-E07,0.021067245,-0.00858241096826,1,1
LK5-G01,-0.097400427,-0.0126907425919,0,1
LK3-F10,0.031324745,-0.0262852812031,1,0
LK3-H11,-0.037647523,-0.0352987843989,0,0
LK6-C12,0.049026118,-0.0240778371783,1,0
LK5-B07,-0.12667103400000002,-0.04484887268,1,0
LK3-B12,-0.069789932,-0.0184658463093,0,1
LK1-B05,-0.051014885,-0.0142145045377,0,1
LK3-G01,0.001125763,-0.0398611399048,0,0
LK5-F01,0.029027435,-0.00739241596359,1,1
LK3-H08,-0.066259295,-0.0077648055741,0,1
LK2-B05,0.038236482,-0.0158000164412,0,1
LK2-B04,0.068553692,-0.0286511165988,0,0
LK3-D05,-0.097416376,-0.0779829200248,1,0
LK6-A07,-0.043732835,-0.0181698788086,1,0
LK2-A05,-0.07650302099999999,-0.017014157547,1,1
LK2-F07,-0.012979132,-0.0392011041142,1,1
LK4-H10,-0.01690951,-0.0130471475741,1,1
LK3-H06,0.010126796,-0.0582503031725,1,1
LK5-F03,-0.061319714,-0.046179716478500006,0,1
LK5-A03,0.030986837000000007,-0.07080433185530001,1,0
LK5-D03,0.072367787,-0.0244765071507,1,0
LK1-G12,-0.066683388,-0.0185551606163,0,0
LK5-F07,0.057171065,-0.0177893620372,1,1
LK4-C10,-0.045171086,2.64802052037e-06,0,1
LK2-A06,-0.08736029599999999,0.00476580503819,0,1
LK6-A05,0.006446217,-0.0236030443831,0,0
LK3-G11,-0.041289604,-0.0424264533796,1,0
LK3-C09,-0.003210792,-0.121468897898,1,0
LK4-E01,0.007107061,-0.00700302491654,0,1
LK6-C02,-0.010438455,-0.0442412499141,0,0
LK2-E08,-0.01185898,-0.050713246969800015,1,0
LK3-H05,0.017018613000000002,-0.0406651138639,0,1
LK2-D07,-0.009147778,-0.0610637443065,1,0
LK4-C08,-0.024730103,-0.0513040529184,1,1
LK1-C07,0.00115568,-0.0652056297459,0,0
LK1-C06,0.078083465,-0.0109033721918,0,1
LK3-D09,-0.077437477,-0.0148734425346,0,0
LK2-D09,-0.04650311,-0.0397017928209,0,1
LK1-D06,-0.060605349,-0.0904402818224,1,0
LK3-A01,0.019923344,-0.0162914550287,1,1
LK2-D05,-0.040989887,-0.12054251197,1,0
LK1-C11,0.03763259,-0.16904074595,1,0
LK3-D04,-0.058895829,-0.0334413643338,0,0
LK3-C06,0.010954336,-0.0299242066977,0,1
LK2-A01,-0.003379405,-0.0324076596801,0,0
LK2-G10,-0.005487313000000001,-0.0655861545347,1,0
