Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00157490475336,1,0
LK3-G08,0.093805708,-0.00493125002716,0,0
LK2-G07,-0.019194571,-0.00312328126504,0,0
LK4-H03,0.02296139,-0.0147322155534,0,0
LK4-D11,-0.060829465,0.008131138868380001,1,0
LK3-E06,0.032744933,0.00391113755039,0,1
LK1-D10,-0.037986439,-0.010488413833,1,0
LK1-D12,-0.057403752,0.0113536368486,1,0
LK6-C05,-0.059662381,0.00941501887518,1,1
LK4-C09,-0.087799295,-0.00595157446357,0,0
LK5-C04,0.054950025,-0.0190906794342,0,0
LK1-B03,-0.061280442,0.00516990326634,1,1
LK3-A05,-0.033288214,-0.0047437040683,0,1
LK4-B03,-0.037788014,0.00373052493953,1,0
LK5-B06,-0.068915324,-0.0190743914305,0,0
LK1-D08,-0.008491259000000001,-0.0146474725032,0,0
LK5-H12,-0.023919485,-0.00185356475497,1,0
LK1-E01,-0.043467154,-0.00132045886842,1,0
LK3-D08,0.023624539,-0.00599875754587,0,0
LK4-B08,-0.063909414,0.00367313681199,1,0
LK6-B07,-0.016711953,0.012079401183,1,1
LK6-F03,-0.109289121,0.00642812041723,1,1
LK6-B05,-0.006164366,-0.009501695671620002,0,0
LK6-E02,-0.107711445,0.006919439725029999,1,1
LK2-A11,-0.12701237599999998,0.00136476167849,1,0
LK5-H02,-0.034306781,0.00743449687696,1,0
LK6-A10,-0.087805455,0.00598615745591,1,1
LK3-D01,0.066184564,0.00211399098541,0,0
LK3-G02,-0.021250726,-0.00746991164552,1,0
LK5-G03,-0.061380255,0.00409146862504,1,1
LK1-F05,0.046509142,-0.024220471123599995,0,0
LK4-H12,-0.062143255,0.0067864709629,1,0
LK6-B10,0.029777903,-0.019381538885,0,0
LK6-D05,-0.043812384,0.00958889807598,1,1
LK1-A02,0.074568945,-0.0028120843824300003,0,1
LK5-F08,0.015046178,-0.00365304737069,0,1
LK6-B09,-0.06491301099999999,0.0103655890514,1,0
LK5-C01,-0.035507118,0.00884294636665,1,1
LK5-B01,-0.069096858,0.0075967683191899985,1,0
LK5-F10,-0.092640198,-0.0027616202414,1,0
LK5-C03,-0.034896086,0.0033904359096,0,1
LK2-F11,0.035349227000000004,0.000243966889863,0,0
LK6-A09,-0.118694117,0.007182477869609998,1,1
LK6-E04,-0.042724455,-0.000539660067423,1,0
LK3-C04,-0.021324099,-0.023850258762,0,0
LK1-B08,-0.092333836,-0.000191219654611,1,0
LK3-H03,-0.049118176,0.00786325363078,1,1
LK6-D06,-0.063374275,0.011394250326,1,1
LK2-C09,-0.029181055,0.00852510835481,1,0
LK4-B01,-0.060980824,0.00315684065068,1,0
LK4-B06,-0.0073895240000000015,0.00403370407204,0,1
LK4-G05,-0.078376922,0.00733520065815,1,1
LK3-B02,-0.061936905999999986,-0.0102152658046,0,0
LK3-G10,-0.05011661,0.00584928332008,1,1
LK5-E09,-0.014933995,0.00148254063462,1,0
LK2-C05,-0.072951481,-5.10060094018e-05,1,0
LK5-H07,-0.016148315,0.0074357511474,1,0
LK1-E09,0.00130607,-0.00148892757848,0,1
LK5-D04,-0.008201942,-0.00196914714645,0,0
LK2-E12,-0.003211055,0.00378568456191,0,1
LK3-B10,0.060567274,-0.0124149792914,0,0
LK5-D05,0.039769121,-0.00314012033383,0,1
LK5-C11,-0.07890419900000001,0.0054662694655,1,0
