Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0146055865977,2,2
LK3-G08,0.093805708,-0.007860814686689999,2,2
LK2-G07,-0.019194571,-0.0131461505733,2,2
LK4-H03,0.02296139,-0.0156686395317,2,2
LK4-D11,-0.060829465,-0.0173308284615,2,2
LK3-E06,0.032744933,-0.0180273081069,2,2
LK1-D12,-0.057403752,-0.0176931615608,2,2
LK6-C05,-0.059662381,-0.0236739990605,2,2
LK4-C09,-0.087799295,-0.0187594571142,2,2
LK5-C04,0.054950025,-0.013059691474,2,2
LK1-B03,-0.061280442,-0.0134903146734,2,2
LK4-B03,-0.037788014,-0.017295802380000003,2,2
LK5-B06,-0.068915324,-0.0362787504946,2,2
LK1-D08,-0.008491259000000001,-0.0157657477415,2,2
LK5-H12,-0.023919485,-0.016717584078,2,2
LK1-E01,-0.043467154,-0.0185441505429,2,2
LK3-D08,0.023624539,-0.0239637405577,2,2
LK4-B08,-0.063909414,-0.0186812792719,2,2
LK6-B07,-0.016711953,-0.0206648417307,2,2
LK6-F03,-0.109289121,-0.0174017167478,2,2
LK6-B05,-0.006164366,-0.027012687278,2,2
LK6-E02,-0.107711445,-0.0185644127939,2,2
LK2-A11,-0.12701237599999998,-0.0200056399654,2,2
LK5-H02,-0.034306781,-0.0182394365813,2,2
LK6-A10,-0.087805455,-0.0185642465836,2,2
LK3-D01,0.066184564,-0.008222727501180001,2,2
LK5-G03,-0.061380255,-0.0170027094377,2,2
LK1-F05,0.046509142,-0.010320453734,2,2
LK4-H12,-0.062143255,-0.0215351941046,2,2
LK6-B10,0.029777903,-0.00464474220322,2,2
LK6-D05,-0.043812384,-0.0189700464738,2,2
LK1-A02,0.074568945,-0.0143644190164,2,2
LK5-F08,0.015046178,-0.0141343679956,2,2
LK6-B09,-0.06491301099999999,-0.0255216747544,2,2
LK4-D02,-0.026555348,-0.010792731053,2,2
LK5-C01,-0.035507118,-0.0209142370229,2,2
LK5-B01,-0.069096858,-0.0160595173255,2,2
LK5-F10,-0.092640198,-0.0113000837781,2,2
LK5-C03,-0.034896086,-0.0169160535363,2,2
LK6-A09,-0.118694117,-0.0180248839409,2,2
LK3-C04,-0.021324099,-0.00652100956553,2,2
LK1-B08,-0.092333836,-0.014096642153700004,2,2
LK6-D06,-0.063374275,-0.0196504365134,2,2
LK2-C09,-0.029181055,-0.0149064357366,2,2
LK4-B01,-0.060980824,-0.0206139340157,2,2
LK3-B02,-0.061936905999999986,-0.0193452174419,2,2
LK3-G10,-0.05011661,-0.0169082535497,2,2
LK5-E09,-0.014933995,-0.023034655468,2,2
LK2-C05,-0.072951481,-0.0177462612073,2,2
LK5-H07,-0.016148315,0.005305574968,2,2
LK1-E09,0.00130607,-0.0286053191023,2,2
LK5-D04,-0.008201942,-0.0139040552971,2,2
LK2-E12,-0.003211055,-0.0271174995232,2,2
LK3-B10,0.060567274,-0.0153568890039,2,2
LK5-D05,0.039769121,-0.012446342134,2,2
LK5-C11,-0.07890419900000001,-0.015922314374,2,2
LK2-F04,0.06440686799999999,-0.00523576945532,2,2
LK1-C09,0.097834819,-0.0167690741793,2,2
LK6-D07,-0.067901009,-0.0221730405114,2,2
