Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00847835470201,2,2
LK3-G08,0.093805708,-0.017637954780999998,2,2
LK2-G07,-0.019194571,-0.00919773975734,2,2
LK4-A04,0.036559047,-0.0221679931566,2,2
LK4-H03,0.02296139,0.000607593652283,2,2
LK3-E06,0.032744933,0.00319614008829,2,2
LK1-D12,-0.057403752,-0.0163605587793,2,2
LK6-C05,-0.059662381,-0.0187279976997,2,2
LK4-C09,-0.087799295,-0.0243113725817,2,2
LK5-C04,0.054950025,-0.00944039600738,2,2
LK1-B03,-0.061280442,0.00019187356795400006,2,2
LK3-A05,-0.033288214,-0.017232236080900003,2,2
LK4-B03,-0.037788014,-0.00986912407194,2,2
LK5-H12,-0.023919485,-0.016879628163900002,2,2
LK1-E01,-0.043467154,-0.0174560632965,2,2
LK3-D08,0.023624539,-0.0228313442061,2,2
LK4-B08,-0.063909414,-0.0122009590239,2,2
LK6-B07,-0.016711953,0.005298622891460001,2,2
LK6-B05,-0.006164366,-0.020046075914900003,2,2
LK6-E02,-0.107711445,-0.023969121143,2,2
LK2-A11,-0.12701237599999998,-0.00042781318333699986,2,2
LK5-H02,-0.034306781,0.00033965365401200003,2,2
LK6-A10,-0.087805455,-0.0276036703193,2,2
LK3-D01,0.066184564,-0.0206930399952,2,2
LK3-G02,-0.021250726,-0.0112830634344,2,2
LK1-F05,0.046509142,-0.0334740216132,2,2
LK4-H12,-0.062143255,-0.0186275073876,2,2
LK6-B10,0.029777903,-0.0226278164822,2,2
LK6-D05,-0.043812384,0.000476446300846,2,2
LK1-A02,0.074568945,-0.0167173615494,2,2
LK5-F08,0.015046178,-0.0340883400875,2,2
LK6-B09,-0.06491301099999999,-0.0390755690682,2,2
LK5-C01,-0.035507118,-0.0205195977572,2,2
LK5-B01,-0.069096858,-0.0217316662817,2,2
LK5-F10,-0.092640198,-0.028158589399200008,2,2
LK5-C03,-0.034896086,-0.0206178103238,2,2
LK3-C04,-0.021324099,-0.0449976775521,2,2
LK1-B08,-0.092333836,-0.00749212222374,2,2
LK4-B07,0.051667858,-0.0163751527609,2,2
LK6-D06,-0.063374275,-0.0157644804331,2,2
LK2-C09,-0.029181055,-0.0150038892472,2,2
LK4-B01,-0.060980824,-0.0174398945596,2,2
LK3-B02,-0.061936905999999986,-0.0125926154834,2,2
LK3-G10,-0.05011661,-0.0318684942899,2,2
LK5-E09,-0.014933995,-0.014723200804700003,2,2
LK2-C05,-0.072951481,-0.0147462829225,2,2
LK5-H07,-0.016148315,-0.0268008131623,2,2
LK1-E09,0.00130607,-0.0190995390743,2,2
LK5-D04,-0.008201942,-0.0204318928117,2,2
LK2-E12,-0.003211055,-0.006138870010479999,2,2
LK3-B10,0.060567274,-0.0248865262787,2,2
LK5-D05,0.039769121,-0.016424019116,2,2
LK5-C11,-0.07890419900000001,-0.0169693765169,2,2
LK2-F04,0.06440686799999999,-0.035282678929,2,2
LK1-C09,0.097834819,-0.0366903045054,2,2
LK6-D07,-0.067901009,-0.0108199636915,2,2
LK1-G11,0.02621332,-0.00764737186992,2,2
LK1-B04,-0.09425094,-0.0149894957903,2,2
LK2-A12,-0.029611706,-0.0103851722134,2,2
LK4-H11,-0.043349795,-0.0255875760054,2,2
LK4-A12,0.044940192,-0.0149639899581,2,2
LK1-A09,-0.063297996,-0.012363308737,2,2
LK5-A07,0.022318946,-0.007815730871249999,2,2
LK5-D09,0.003683436,-0.06431079346429999,2,2
LK5-G09,0.000908654,-0.0249285726972,2,2
LK1-G08,-0.076569198,-0.00411379587343,2,2
LK4-B12,-0.022692414,-0.0181080784976,2,2
LK5-A04,0.032954446,-0.018526475381,2,2
LK3-C12,0.004518577,-0.0142791183997,2,2
LK2-B07,-0.00378999,-0.0239690834578,2,2
LK3-H10,0.004132024000000001,-0.00090360172848,2,2
LK4-G09,-0.050985005,-0.0128401527367,2,2
LK3-B08,0.001601827,-0.020292369533,2,2
LK2-A07,0.005623133000000001,-0.00482057690924,2,2
LK5-E08,-0.06663271,-0.00657924829602,2,2
LK3-F06,-0.125231999,-0.0303690874248,2,2
LK4-B05,-0.055145456,-0.0261937076533,2,2
LK2-A10,-0.06981008799999999,-0.008778244633770001,2,2
LK4-E03,0.013554151,-0.0285621915047,2,2
LK1-A05,0.07181288400000001,-0.0112033283616,2,2
LK4-D01,0.011072576,-0.0106773580174,2,2
LK6-A03,-0.071606045,-0.0175556797751,2,2
LK5-G01,-0.097400427,-0.006472362569170001,2,2
LK3-B11,-0.030885663,-0.0188562938486,2,2
LK3-F10,0.031324745,-0.0126607721073,2,2
LK5-A05,0.006670793,-0.018703774374400003,2,2
LK3-H11,-0.037647523,-0.0108439991336,2,2
LK6-C12,0.049026118,-0.0231666001108,2,2
LK5-B07,-0.12667103400000002,-0.033728806052599994,2,2
LK3-B12,-0.069789932,-0.0272537143832,2,2
LK1-B01,0.007985589,-0.00645888990947,2,2
LK1-B05,-0.051014885,-0.0226512720528,2,2
LK3-C11,-0.024302582000000003,-0.0145837120121,2,2
LK3-G01,0.001125763,-0.0268344829683,2,2
LK5-F01,0.029027435,-0.0172461202552,2,2
LK2-B05,0.038236482,-0.017228548942299998,2,2
LK2-B04,0.068553692,-0.0195792823229,2,2
LK5-B05,-0.068647456,-0.035795470994599995,2,2
LK6-A07,-0.043732835,-0.0157687524061,2,2
LK1-A06,0.031765912,-0.00673481270686,2,2
LK2-A05,-0.07650302099999999,-0.00847612557027,2,2
LK2-F07,-0.012979132,-0.0189455101583,2,2
LK4-H10,-0.01690951,-0.0119651371291,2,2
LK3-H06,0.010126796,-0.0283312908795,2,2
LK5-F03,-0.061319714,-0.0357464986334,2,2
LK5-E01,-0.08983357800000001,-0.014505573158799996,2,2
LK5-A03,0.030986837000000007,-0.0236923877133,2,2
LK5-D03,0.072367787,-0.021010508763700003,2,2
LK1-G12,-0.066683388,-0.0172161273003,2,2
LK5-F07,0.057171065,-0.0118630132637,2,2
LK4-C10,-0.045171086,-0.00780908589125,2,2
LK2-A06,-0.08736029599999999,-0.008759986863639999,2,2
LK6-A05,0.006446217,-0.007937572006660001,2,2
LK3-G11,-0.041289604,-0.0193718595085,2,2
LK3-C09,-0.003210792,-0.017460199442599997,2,2
LK5-D08,0.032239849,-0.08466362760510003,2,2
LK4-E01,0.007107061,-0.0175686445952,2,2
LK1-D02,-0.03975231,-0.031976851729,2,2
LK6-C02,-0.010438455,-0.00657485326122,2,2
LK2-E08,-0.01185898,-0.0300947251687,2,2
LK3-A07,-0.008287901,-0.0452121820533,2,2
LK3-H05,0.017018613000000002,-0.0194754590185,2,2
LK2-D07,-0.009147778,-0.0115202918437,2,2
LK4-C08,-0.024730103,-0.021739704298900004,2,2
LK1-C07,0.00115568,-0.0174900306137,2,2
LK1-C06,0.078083465,-0.00894556059961,2,2
LK3-D09,-0.077437477,-0.0202350425724,2,2
