Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00180302163536,2,2
LK3-G08,0.093805708,-0.00222814523935,2,2
LK2-G07,-0.019194571,-0.00191682689303,2,2
LK4-A04,0.036559047,0.00128929132408,2,2
LK4-H03,0.02296139,-0.00402254926518,2,2
LK4-D11,-0.060829465,-0.00429159134826,2,2
LK3-E06,0.032744933,-0.00344422052198,2,2
LK1-D10,-0.037986439,-0.0130049575992,2,2
LK1-D12,-0.057403752,-0.0013607304955899995,2,2
LK6-C05,-0.059662381,-0.0014351091309799998,2,2
LK4-C09,-0.087799295,-0.0011104610880999998,2,2
LK5-C04,0.054950025,-0.0019243446921,2,2
LK1-B03,-0.061280442,-0.00159178778092,2,2
LK3-A05,-0.033288214,5.6651291344e-05,2,2
LK4-B03,-0.037788014,-0.00104224232767,2,2
LK5-B06,-0.068915324,0.00250528968803,2,2
LK1-D08,-0.008491259000000001,0.000179253037513,2,2
LK5-H12,-0.023919485,-0.00165796946321,2,2
LK1-E01,-0.043467154,-0.0020037552371,2,2
LK3-D08,0.023624539,0.0024571683607,2,2
LK4-B08,-0.063909414,-0.00247229190237,2,2
LK6-B07,-0.016711953,0.0008085806778929999,2,2
LK6-F03,-0.109289121,0.0006101573546690001,2,2
LK6-B05,-0.006164366,0.0010120846161900002,2,2
LK6-E02,-0.107711445,-0.00448278597056,2,2
LK2-A11,-0.12701237599999998,0.000390009135694,2,2
LK5-H02,-0.034306781,-0.00247016651147,2,2
LK6-A10,-0.087805455,-0.0056554931360900005,2,2
LK3-D01,0.066184564,-0.000867305271871,2,2
LK3-G02,-0.021250726,-0.0014266474803,2,2
LK5-G03,-0.061380255,-0.00153703477335,2,2
LK1-F05,0.046509142,0.0011628676058,2,2
LK4-H12,-0.062143255,-0.0014216125180899998,2,2
LK6-B10,0.029777903,0.00258111530024,2,2
LK6-D05,-0.043812384,0.0017642016640399996,2,2
LK1-A02,0.074568945,0.00277319897586,2,2
LK5-F08,0.015046178,-0.00185723550897,2,2
LK5-H08,-0.000319424,0.00026088778667,2,2
LK6-B09,-0.06491301099999999,-0.0011919474401300002,2,2
LK4-D02,-0.026555348,0.00237406370696,2,2
LK5-C01,-0.035507118,0.013428664839,2,2
LK5-B01,-0.069096858,-0.00187435739433,2,2
LK5-F10,-0.092640198,-0.00076586720057,2,2
LK5-C03,-0.034896086,-0.000624652442498,2,2
LK2-F11,0.035349227000000004,0.00098250151276,2,2
LK6-A09,-0.118694117,-0.0007749210248450001,2,2
LK3-C04,-0.021324099,-0.00106841689424,2,2
LK1-B08,-0.092333836,-0.000548304064385,2,2
LK3-H03,-0.049118176,-0.00585991481405,2,2
LK6-D06,-0.063374275,0.00360985630687,2,2
LK2-C09,-0.029181055,-0.00464313449641,2,2
LK4-B01,-0.060980824,-0.00239683318802,2,2
LK4-G05,-0.078376922,-0.004423569057220001,2,2
LK3-B02,-0.061936905999999986,-0.00099056820083,2,2
LK3-G10,-0.05011661,-0.00286600439231,2,2
LK5-E09,-0.014933995,-0.0004642624392759999,2,2
LK2-C05,-0.072951481,-0.00114717813937,2,2
LK5-H07,-0.016148315,0.000223358070648,2,2
LK1-E09,0.00130607,-0.0006856588009190001,2,2
LK5-D04,-0.008201942,0.0021580058603,2,2
LK2-E12,-0.003211055,0.00230664333719,2,2
LK3-B10,0.060567274,-6.38020750148e-05,2,2
LK5-D05,0.039769121,0.00121152999117,2,2
LK5-C11,-0.07890419900000001,0.00205415308553,2,2
LK2-F04,0.06440686799999999,-0.000776359853768,2,2
LK1-C09,0.097834819,-0.00351367839337,2,2
LK3-B03,0.020432307,-0.000384670999312,2,2
LK6-D07,-0.067901009,0.000788502094986,2,2
LK1-G11,0.02621332,-0.00306206721371,2,2
LK1-B04,-0.09425094,-0.0048432839476000005,2,2
LK1-E04,0.010654118,0.00203296363202,2,2
LK2-A12,-0.029611706,0.0005471696692509999,2,2
LK4-H11,-0.043349795,-0.00097722811822,2,2
LK4-A12,0.044940192,0.000950041702269,2,2
LK1-A09,-0.063297996,0.00592146060208,2,2
LK6-C11,0.079424925,0.00222337956698,2,2
LK5-A07,0.022318946,0.0007026502940630001,2,2
LK6-A11,-0.101157306,-0.000508875955614,2,2
LK5-D09,0.003683436,-0.00111510713994,2,2
LK5-G09,0.000908654,0.000267575311371,2,2
LK1-G08,-0.076569198,0.000584250986301,2,2
LK4-B12,-0.022692414,-0.00139292553727,2,2
LK5-A04,0.032954446,0.00016749993374699998,2,2
LK3-C12,0.004518577,0.00104034057553,2,2
LK2-B07,-0.00378999,0.00225209250585,2,2
LK3-H10,0.004132024000000001,0.0007664968838239999,2,2
LK4-G09,-0.050985005,0.00019322485857,2,2
LK3-B08,0.001601827,-0.0005806587477819999,2,2
LK1-H04,-0.07081425599999999,-0.00281568757196,2,2
LK2-A07,0.005623133000000001,0.00125553643028,2,2
