Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00111685591426,1,0
LK3-G08,0.093805708,-0.0391572702552,0,1
LK2-G07,-0.019194571,-0.0294210863981,0,0
LK4-A04,0.036559047,-0.0226449645415,0,1
LK4-H03,0.02296139,-0.0282161437918,0,0
LK4-D11,-0.060829465,-0.0120217089315,1,0
LK3-E06,0.032744933,-0.0270670879912,0,0
LK1-D10,-0.037986439,-0.010611604130799998,1,0
LK1-D12,-0.057403752,-0.00649790742962,1,0
LK6-C05,-0.059662381,0.00803008560491,1,1
LK4-C09,-0.087799295,0.00452880906893,1,1
LK5-C04,0.054950025,-0.0359438102662,0,0
LK1-B03,-0.061280442,-0.00282893153887,1,1
LK3-A05,-0.033288214,-0.0226399629487,0,1
LK4-B03,-0.037788014,-0.0102462816124,1,0
LK5-B06,-0.068915324,-0.0102874883111,1,0
LK1-D08,-0.008491259000000001,-0.034732148031099995,0,0
LK5-H12,-0.023919485,-0.0102079029024,1,0
LK1-E01,-0.043467154,-0.000998197019489,1,0
LK3-D08,0.023624539,-0.033846250858,0,0
LK4-B08,-0.063909414,0.00109820452045,1,0
LK6-B07,-0.016711953,-0.0034073985344600004,1,1
LK6-F03,-0.109289121,0.000994450002422,1,1
LK6-B05,-0.006164366,-0.0248659111303,0,0
LK6-E02,-0.107711445,0.00951700224323,1,1
LK2-A11,-0.12701237599999998,0.00520485743073,1,0
LK5-H02,-0.034306781,-0.00368847037036,1,0
LK6-A10,-0.087805455,-0.005487332622720001,1,0
LK3-D01,0.066184564,-0.0230207777388,0,0
LK3-G02,-0.021250726,-0.0230351054327,0,0
LK5-G03,-0.061380255,0.0107872862431,1,1
LK1-F05,0.046509142,-0.0246253440591,0,0
LK4-H12,-0.062143255,-0.0059558320020800005,1,0
LK6-B10,0.029777903,-0.0336615032729,0,1
LK6-D05,-0.043812384,0.0112186566009,1,1
LK1-A02,0.074568945,-0.0238377601629,0,1
LK5-F08,0.015046178,-0.0248569766495,0,1
LK5-H08,-0.000319424,-0.0422681932692,0,0
LK6-B09,-0.06491301099999999,-0.00442333500456,1,0
LK4-D02,-0.026555348,0.0006640994227159999,1,0
LK5-C01,-0.035507118,0.005858337670840001,1,1
LK5-B01,-0.069096858,0.011278498076799998,1,0
LK5-F10,-0.092640198,-0.00194585124371,1,0
LK5-C03,-0.034896086,0.000315454852854,1,1
LK6-A09,-0.118694117,0.00646086482954,1,1
LK3-C04,-0.021324099,-0.0402557406405,0,0
LK1-B08,-0.092333836,0.00326991610587,1,0
LK4-B07,0.051667858,-0.0261610163138,0,1
LK3-H03,-0.049118176,0.000229609043966,1,1
LK6-D06,-0.063374275,0.0104257629956,1,1
LK2-C09,-0.029181055,0.00325088188693,1,0
LK4-B01,-0.060980824,0.0016510264596300002,1,0
LK4-G05,-0.078376922,0.00683968984559,1,1
LK3-B02,-0.061936905999999986,-0.0011130763221,1,0
LK3-G10,-0.05011661,-0.00360321018977,1,1
LK5-E09,-0.014933995,0.000975168355852,1,0
LK2-C05,-0.072951481,0.00241602457057,1,0
LK5-H07,-0.016148315,-0.000420748757242,1,0
LK1-E09,0.00130607,-0.0232377600048,0,1
LK5-D04,-0.008201942,-0.034004434424900004,0,0
LK2-E12,-0.003211055,-0.0214328822732,0,1
LK3-B10,0.060567274,-0.0316439435023,0,0
LK5-D05,0.039769121,-0.0322989547072,0,1
LK5-C11,-0.07890419900000001,0.00275783003823,1,0
LK2-F04,0.06440686799999999,-0.038842632003,0,0
LK1-C09,0.097834819,-0.0192305661121,0,1
LK3-B03,0.020432307,-0.0221921897821,0,1
LK6-D07,-0.067901009,-0.00995286017175,1,1
LK1-G11,0.02621332,-0.034776046748800006,0,0
LK1-B04,-0.09425094,0.00991309643085,1,0
LK1-E04,0.010654118,-0.0260555625225,0,1
LK2-A12,-0.029611706,-0.00637390630122,1,0
LK4-H11,-0.043349795,-0.00654681540755,1,1
LK4-A12,0.044940192,-0.048488627746,0,0
LK1-A09,-0.063297996,-0.00725767195993,1,0
LK6-C11,0.079424925,-0.04522393473619999,0,0
LK5-A07,0.022318946,-0.0351121345625,0,0
LK6-A11,-0.101157306,0.000156179985783,1,1
LK5-D09,0.003683436,-0.0368616386993,0,0
LK5-G09,0.000908654,-0.035728624978,0,1
LK1-G08,-0.076569198,0.00970226828418,1,0
