Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0642909876409,0,2
LK3-G08,0.093805708,-0.0901934113072,1,2
LK2-G07,-0.019194571,-0.0300874590366,0,2
LK4-H03,0.02296139,-0.0498651043994,0,2
LK4-D11,-0.060829465,-0.0764784242931,1,2
LK6-C05,-0.059662381,-0.0132602879147,0,2
LK4-C09,-0.087799295,-0.0347342649566,1,2
LK5-B06,-0.068915324,-0.0463177545185,0,2
LK1-D08,-0.008491259000000001,-0.061740311730699986,1,2
LK5-H12,-0.023919485,-0.0646843150759,1,2
LK1-E01,-0.043467154,-0.0571467014291,0,2
LK3-D08,0.023624539,-0.07429011536949999,1,2
LK4-B08,-0.063909414,-0.0590964612206,1,2
LK6-F03,-0.109289121,-0.0463273536416,1,2
LK6-B05,-0.006164366,-0.0267134040645,0,2
LK6-E02,-0.107711445,-0.0382911626162,1,2
LK2-A11,-0.12701237599999998,-0.0238176489697,0,2
LK5-H02,-0.034306781,-0.058745487147,0,2
LK3-G02,-0.021250726,-0.0518395801056,1,2
LK1-F05,0.046509142,-0.105080668949,1,2
LK4-H12,-0.062143255,-0.0591073625179,1,2
LK6-B10,0.029777903,-0.08572826809419999,1,2
LK6-B09,-0.06491301099999999,-0.0782167972078,1,2
LK4-D02,-0.026555348,-0.0614067804082,0,2
LK5-B01,-0.069096858,-0.0797172457098,1,2
LK5-F10,-0.092640198,-0.05854916943,1,2
LK2-F11,0.035349227000000004,-0.049608692938400006,0,2
LK1-B08,-0.092333836,-0.037324180220699985,1,2
LK3-H03,-0.049118176,-0.0516217917621,1,2
LK4-B01,-0.060980824,-0.0687777434188,1,2
LK3-B02,-0.061936905999999986,-0.0470302041251,1,2
LK5-E09,-0.014933995,-0.08731124782880001,0,2
LK2-C05,-0.072951481,-0.0347967591774,1,2
LK5-D04,-0.008201942,-0.0452574626277,0,2
LK3-B10,0.060567274,-0.0805640190097,0,2
LK2-F04,0.06440686799999999,-0.07574073052010001,1,2
LK3-B03,0.020432307,-0.06886678872480001,0,2
LK1-G11,0.02621332,-0.0656631722557,0,2
LK1-B04,-0.09425094,-0.046749677736800006,0,2
LK1-E04,0.010654118,-0.0626434025878,0,2
LK2-A12,-0.029611706,-0.0462870767799,0,2
LK4-H11,-0.043349795,-0.032122900789,0,2
LK4-A12,0.044940192,0.0181447751937,0,2
LK1-A09,-0.063297996,-0.0758774683927,1,2
LK5-A07,0.022318946,-0.0736301428631,1,2
LK5-G09,0.000908654,-0.0589732771238,1,2
LK4-B12,-0.022692414,-0.0681255468135,0,2
LK5-A04,0.032954446,-0.0582436976743,1,2
LK3-C12,0.004518577,-0.0583143115584,1,2
LK2-B07,-0.00378999,-0.0716206027327,0,2
LK3-H10,0.004132024000000001,-0.0440506653168,0,2
LK3-B08,0.001601827,-0.0051720834523000005,0,2
LK1-H04,-0.07081425599999999,-0.040188680248199986,1,2
LK3-F06,-0.125231999,-0.0523606558132,0,2
LK3-C08,0.080039068,-0.056781711585300015,0,2
LK4-B05,-0.055145456,-0.0575437899809,1,2
LK4-E03,0.013554151,-0.07480458266310001,1,2
LK1-A05,0.07181288400000001,-0.0896949686269,1,2
LK2-E07,0.021067245,-0.0634693944752,0,2
LK5-G01,-0.097400427,-0.0573234264294,0,2
LK3-F10,0.031324745,-0.0338252481427,0,2
LK5-A05,0.006670793,-0.0462350890196,0,2
LK3-H11,-0.037647523,-0.0628145562047,1,2
LK5-B07,-0.12667103400000002,-0.030178055684700007,1,2
LK3-B12,-0.069789932,-0.049474610141000006,1,2
LK1-B01,0.007985589,-0.07900559958669999,1,2
LK3-C11,-0.024302582000000003,-0.0553938696631,1,2
LK3-H08,-0.066259295,-0.0531097369069,1,2
LK5-B05,-0.068647456,-0.0431222046142,1,2
LK6-A07,-0.043732835,-0.0580266357577,1,2
LK3-H06,0.010126796,-0.0636171891066,0,2
LK5-F03,-0.061319714,-0.0535084914662,0,2
LK5-E01,-0.08983357800000001,-0.0558216153439,0,2
LK5-A03,0.030986837000000007,-0.043712967395,0,2
LK5-D03,0.072367787,-0.0816919549772,1,2
LK1-G12,-0.066683388,-0.0258092002682,0,2
LK5-F07,0.057171065,-0.0960661745218,1,2
LK6-A05,0.006446217,-0.0501587922575,0,2
LK3-G11,-0.041289604,-0.0691948121836,1,2
LK4-E01,0.007107061,-0.0847607032028,1,2
LK2-E08,-0.01185898,-0.0700159325187,1,2
LK3-A07,-0.008287901,-0.0424450760876,0,2
LK2-D07,-0.009147778,-0.0628996507254,0,2
LK4-C08,-0.024730103,-0.0679623672062,1,2
LK1-C07,0.00115568,-0.041610755614900005,0,2
LK1-C06,0.078083465,-0.0946143753919,1,2
LK1-G09,-0.110538363,-0.050685600047000005,1,2
LK2-D09,-0.04650311,-0.0532623345292,1,2
LK1-D06,-0.060605349,-0.06442415936769999,0,2
LK2-D05,-0.040989887,-0.053379184153699986,1,2
LK3-D04,-0.058895829,-0.0541094336647,1,2
LK2-G10,-0.005487313000000001,-0.0691867072088,0,2
