Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0194269876296,2,2
LK3-G08,0.093805708,-0.0121491885146,2,2
LK2-G07,-0.019194571,-0.00469799876959,2,2
LK4-D11,-0.060829465,-0.0178579390949,2,2
LK3-E06,0.032744933,-0.0100659679714,2,2
LK1-D12,-0.057403752,-0.0183023293465,2,2
LK6-C05,-0.059662381,-0.056401370889,2,2
LK4-C09,-0.087799295,-0.007108095982529998,2,2
LK5-C04,0.054950025,-0.013878029202299998,2,2
LK1-B03,-0.061280442,-0.0158642619986,2,2
LK3-A05,-0.033288214,-0.00669207289932,2,2
LK4-B03,-0.037788014,-0.0275646033784,2,2
LK5-B06,-0.068915324,-0.0252037667276,2,2
LK1-D08,-0.008491259000000001,-0.0211614448899,2,2
LK5-H12,-0.023919485,-0.0268807842969,2,2
LK1-E01,-0.043467154,-0.067664732162,2,2
LK4-B08,-0.063909414,-0.0184022585143,2,2
LK6-B07,-0.016711953,-0.0284545975002,2,2
LK6-F03,-0.109289121,-0.0462889249695,2,2
LK6-B05,-0.006164366,-0.0420216988451,2,2
LK2-A11,-0.12701237599999998,-0.0012351723166,2,2
LK5-H02,-0.034306781,-0.0111024886049,2,2
LK6-A10,-0.087805455,-0.0351632196184,2,2
LK3-D01,0.066184564,-0.014871308973999997,2,2
LK3-G02,-0.021250726,-0.00571652352732,2,2
LK5-G03,-0.061380255,-0.00857781226096,2,2
LK1-F05,0.046509142,-0.0151047289998,2,2
LK4-H12,-0.062143255,-0.00241826593956,2,2
LK6-B10,0.029777903,-0.068283753189,2,2
LK6-D05,-0.043812384,-0.0158316965672,2,2
LK1-A02,0.074568945,-0.0136359016436,2,2
LK5-F08,0.015046178,-0.0353766417925,2,2
LK5-H08,-0.000319424,-0.0641928941045,2,2
LK6-B09,-0.06491301099999999,-0.0133520272505,2,2
LK5-C01,-0.035507118,-0.0132465925457,2,2
LK5-F10,-0.092640198,-0.0136040575138,2,2
LK5-C03,-0.034896086,-0.034291927826400004,2,2
LK6-A09,-0.118694117,-0.00693671489309,2,2
LK3-C04,-0.021324099,-0.0569149952209,2,2
